Выборы Президента Российской Федерации																																																																
																																																																
Наименование Избирательной комиссии:    Красносулинская																																																																
																																																																
Итоги голосования 																																																																
																																																																
		Сумма	УИК №2278	УИК №2279	УИК №2280	УИК №2281	УИК №2282	УИК №2283	УИК №2284	УИК №2285	УИК №2286	УИК №2287	УИК №2288	УИК №2289	УИК №2290	УИК №2291	УИК №2292	УИК №2293	УИК №2294	УИК №2295	УИК №2296	УИК №2297	УИК №2298	УИК №2299	УИК №2300	УИК №2301	УИК №2302	УИК №2304	УИК №2305	УИК №2306	УИК №2307	УИК №2308	УИК №2309	УИК №2310	УИК №2311	УИК №2312	УИК №2313	УИК №2314	УИК №2315	УИК №2316	УИК №2317	УИК №2318	УИК №2319	УИК №2320	УИК №2321	УИК №2322	УИК №2323	УИК №2324	УИК №2325	УИК №2326	УИК №2327	УИК №2328	УИК №2329	УИК №2330	УИК №2331	УИК №2332	УИК №2333	УИК №2334	УИК №2537					
1	"Число избирателей, внесенных в список"	62829	2332	1630	2114	1670	1070	988	1015	1049	1553	1931	430	2066	2159	1553	1209	1739	2083	1631	2117	1393	1245	1086	1371	1604	434	960	1801	721	853	385	2084	721	2649	356	527	681	518	648	225	1700	574	355	1021	464	382	409	330	584	324	1532	480	517	1886	239	972	272	187					
2	Число полученных избирательных бюллетеней	62556	2284	1607	2085	1677	1051	962	1001	1042	1517	1960	445	2039	2123	1533	1188	1721	2072	1586	2094	1361	1238	1093	1352	1568	430	948	1852	744	880	383	2072	714	2649	369	550	677	510	688	220	1681	602	373	1019	466	377	457	330	615	319	1528	477	513	1848	227	981	268	190					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	45189	1196	861	1541	735	397	370	642	583	689	1308	235	1331	1591	1087	893	1183	1447	1209	1527	769	930	562	898	1032	384	881	1659	664	793	361	1575	667	2498	312	453	622	477	579	206	1479	443	256	896	419	337	270	243	514	300	1335	434	345	1407	151	829	222	162					
5	"Число избирательных бюллетеней, выданных вне помещения"	3242	90	102	66	202	305	89	65	69	195	285	33	43	127	79	41	63	149	24	69	210	64	65	55	132	18	31	13	26	14	0	0	0	19	11	33	0	0	0	0	50	71	62	58	12	9	0	30	12	0	0	0	0	0	61	65	18	7					
6	Число погашенных избирательных бюллетеней	14125	998	644	478	740	349	503	294	390	633	367	177	665	405	367	254	475	476	353	498	382	244	466	399	404	28	36	180	54	73	22	497	47	132	46	64	55	33	109	14	152	88	55	65	35	31	187	57	89	19	193	43	168	441	15	87	28	21					
7	Число избирательных бюллетеней в переносных ящиках	3242	90	102	66	202	305	89	65	69	195	285	33	43	127	79	41	63	149	24	69	210	64	65	55	132	18	31	13	26	14	0	0	0	19	11	33	0	0	0	0	50	71	62	58	12	9	0	30	12	0	0	0	0	0	61	65	18	7					
8	Число бюллетеней в стационарных ящиках для голосования	45153	1196	861	1541	735	397	368	642	583	689	1304	235	1331	1591	1087	893	1183	1447	1209	1527	769	930	562	898	1032	384	881	1659	664	793	361	1575	667	2498	312	453	622	477	579	206	1479	443	256	896	419	337	270	243	514	300	1335	434	345	1377	151	829	222	162					
9	Число недействительных избирательных бюллетеней	251	10	1	7	2	2	2	9	2	11	20	0	5	5	7	9	5	0	8	8	5	1	9	8	42	0	2	12	2	4	0	18	4	2	0	7	0	0	2	0	0	0	0	3	0	0	0	0	1	0	0	0	1	6	0	7	2	0					
10	Число действительных избирательных бюллетеней	48144	1276	962	1600	935	700	455	698	650	873	1569	268	1369	1713	1159	925	1241	1596	1225	1588	974	993	618	945	1122	402	910	1660	688	803	361	1557	663	2515	323	479	622	477	577	206	1529	514	318	951	431	346	270	273	525	300	1335	434	344	1371	212	887	238	169					
