Выборы Президента Российской Федерации																																																																													
Дата голосования: 18.03.2018																																																																													
																																																																													
Наименование Избирательной комиссии:    Красносулинская																																																																													
																																																																													
Сводная таблица итогов голосования																																																																													
																																																																													
	Число участковых избирательных комиссий	66																																																																											
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	66																																																																											
																																																																													
		Сумма	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016									
		0.47%	0.77%	0.57%	0.52%	0.93%	1.30%	0.00%	0.20%	0.41%	0.14%	0.78%	1.15%	1.08%	0.59%	0.51%	0.39%	0.69%	0.94%	0.58%	0.22%	0.55%	0.82%	0.50%	0.77%	0.00%	0.15%	0.00%	0.00%	0.21%	0.42%	0.41%	0.39%	0.34%	0.37%	1.00%	0.00%	0.00%	0.00%	0.56%	0.50%	0.47%	0.51%	1.77%	1.58%	1.61%	0.00%	1.67%	0.37%	0.67%	0.34%	0.17%	0.34%	0.50%	0.84%	0.51%	0.33%	0.47%	0.10%	0.00%	0.78%	0.00%	0.27%	0.00%	0.00%	0.00%	0.46%	0.00%									
14	Грудинин Павел Николаевич	4108	161	95	119	125	71	62	52	75	73	30	141	165	107	85	163	134	117	117	94	73	57	99	87	8	41	109	2	30	36	33	151	20	35	27	20	35	18	22	4	45	7	18	19	1	11	11	98	228	39	165	26	8	9	57	6	8	98	39	25	6	48	12	39	37	143	12									
		11.65%	13.76%	13.49%	15.54%	16.60%	15.33%	12.58%	10.22%	15.46%	10.22%	11.67%	16.23%	16.21%	15.76%	14.33%	16.07%	15.51%	13.80%	13.46%	10.53%	13.35%	15.62%	16.58%	13.41%	2.67%	5.99%	11.35%	2.22%	6.29%	5.01%	13.47%	14.70%	6.78%	12.92%	9.03%	9.62%	8.73%	3.91%	12.22%	1.98%	10.56%	3.59%	6.36%	10.00%	0.81%	3.47%	18.33%	9.01%	25.31%	13.45%	13.67%	4.39%	3.98%	3.77%	7.31%	1.96%	3.74%	9.55%	14.29%	9.73%	4.23%	6.50%	6.86%	5.68%	6.03%	16.31%	10.91%									
15	Жириновский Владимир Вольфович	2272	79	60	56	81	29	50	44	42	62	20	54	69	64	35	64	69	60	70	47	37	23	30	49	9	45	54	2	23	35	14	82	28	24	29	10	22	36	11	13	29	13	8	13	3	14	5	67	48	12	78	23	6	18	32	19	7	34	10	20	4	54	7	38	10	54	15									
		6.45%	6.75%	8.52%	7.31%	10.76%	6.26%	10.14%	8.64%	8.66%	8.68%	7.78%	6.21%	6.78%	9.43%	5.90%	6.31%	7.99%	7.08%	8.06%	5.26%	6.76%	6.30%	5.03%	7.55%	3.00%	6.57%	5.63%	2.22%	4.82%	4.87%	5.71%	7.98%	9.49%	8.86%	9.70%	4.81%	5.49%	7.83%	6.11%	6.44%	6.81%	6.67%	2.83%	6.84%	2.42%	4.42%	8.33%	6.16%	5.33%	4.14%	6.46%	3.89%	2.99%	7.53%	4.10%	6.21%	3.27%	3.31%	3.66%	7.78%	2.82%	7.31%	4.00%	5.53%	1.63%	6.16%	13.64%									
16	Путин Владимир Владимирович	27629	868	516	550	516	335	362	381	338	551	194	625	729	479	462	741	619	634	639	730	407	265	436	487	283	591	775	85	405	639	197	755	238	203	233	176	338	395	140	182	335	172	245	150	117	287	43	893	592	226	919	527	183	201	678	272	193	881	221	206	130	618	152	599	561	649	80									
		78.38%	74.19%	73.30%	71.80%	68.53%	72.35%	73.43%	74.85%	69.69%	77.17%	75.49%	71.92%	71.61%	70.54%	77.91%	73.08%	71.64%	74.76%	73.53%	81.75%	74.41%	72.60%	73.03%	75.04%	94.33%	86.28%	80.73%	94.44%	84.91%	88.87%	80.41%	73.52%	80.68%	74.91%	77.93%	84.62%	84.29%	85.87%	77.78%	90.10%	78.64%	88.21%	86.57%	78.95%	94.35%	90.54%	71.67%	82.08%	65.70%	77.93%	76.14%	89.02%	91.04%	84.10%	86.92%	88.89%	90.19%	85.87%	80.95%	80.16%	91.55%	83.63%	86.86%	87.19%	91.37%	74.00%	72.73%									
17	Собчак Ксения Анатольевна	254	15	10	11	5	0	4	7	2	4	3	12	10	3	0	17	13	11	12	5	6	7	6	5	0	2	4	0	4	1	0	13	1	1	1	0	2	2	0	1	3	0	1	2	0	0	0	3	4	1	8	5	0	5	1	0	0	7	0	2	0	4	0	1	2	3	2									
		0.72%	1.28%	1.42%	1.44%	0.66%	0.00%	0.81%	1.38%	0.41%	0.56%	1.17%	1.38%	0.98%	0.44%	0.00%	1.68%	1.50%	1.30%	1.38%	0.56%	1.10%	1.92%	1.01%	0.77%	0.00%	0.29%	0.42%	0.00%	0.84%	0.14%	0.00%	1.27%	0.34%	0.37%	0.33%	0.00%	0.50%	0.43%	0.00%	0.50%	0.70%	0.00%	0.35%	1.05%	0.00%	0.00%	0.00%	0.28%	0.44%	0.34%	0.66%	0.84%	0.00%	2.09%	0.13%	0.00%	0.00%	0.68%	0.00%	0.78%	0.00%	0.54%	0.00%	0.15%	0.33%	0.34%	1.82%									
18	Сурайкин Максим Александрович	289	12	9	10	4	4	8	4	8	7	1	9	7	3	7	6	6	7	11	2	5	4	8	6	0	0	5	1	11	1	0	7	2	4	2	2	2	5	6	1	6	1	3	3	0	2	0	10	11	5	4	3	0	0	5	2	3	2	0	1	2	10	1	2	4	12	0									
		0.82%	1.03%	1.28%	1.31%	0.53%	0.86%	1.62%	0.79%	1.65%	0.98%	0.39%	1.04%	0.69%	0.44%	1.18%	0.59%	0.69%	0.83%	1.27%	0.22%	0.91%	1.10%	1.34%	0.92%	0.00%	0.00%	0.52%	1.11%	2.31%	0.14%	0.00%	0.68%	0.68%	1.48%	0.67%	0.96%	0.50%	1.09%	3.33%	0.50%	1.41%	0.51%	1.06%	1.58%	0.00%	0.63%	0.00%	0.92%	1.22%	1.72%	0.33%	0.51%	0.00%	0.00%	0.64%	0.65%	1.40%	0.19%	0.00%	0.39%	1.41%	1.35%	0.57%	0.29%	0.65%	1.37%	0.00%									
19	Титов Борис Юрьевич	154	2	4	3	3	5	0	3	7	6	1	8	10	9	0	7	2	1	3	5	5	2	3	3	0	1	6	0	1	3	0	1	2	1	1	0	1	0	0	0	3	1	1	0	0	2	0	3	9	0	6	0	0	0	0	6	0	0	2	1	0	1	3	1	0	5	1									
		0.44%	0.17%	0.57%	0.39%	0.40%	1.08%	0.00%	0.59%	1.44%	0.84%	0.39%	0.92%	0.98%	1.33%	0.00%	0.69%	0.23%	0.12%	0.35%	0.56%	0.91%	0.55%	0.50%	0.46%	0.00%	0.15%	0.63%	0.00%	0.21%	0.42%	0.00%	0.10%	0.68%	0.37%	0.33%	0.00%	0.25%	0.00%	0.00%	0.00%	0.70%	0.51%	0.35%	0.00%	0.00%	0.63%	0.00%	0.28%	0.99%	0.00%	0.50%	0.00%	0.00%	0.00%	0.00%	1.96%	0.00%	0.00%	0.73%	0.39%	0.00%	0.14%	1.71%	0.15%	0.00%	0.57%	0.91%									
20	Явлинский Григорий Алексеевич	95	8	2	4	1	6	2	2	4	2	2	0	5	2	0	4	3	3	3	0	2	1	4	2	0	1	1	0	1	0	0	2	1	1	0	0	0	0	0	0	0	0	2	0	1	0	0	1	3	0	5	0	1	1	1	0	2	1	0	0	0	2	0	5	0	1	0									
