Выборы Президента Российской Федерации														
														
Наименование Избирательной комиссии:    Электрогорская городская														
														
Итоги голосования 														
														
		Сумма	УИК №3183	УИК №3184	УИК №3185	УИК №3186	УИК №3187	УИК №3188	УИК №3189					
1	"Число избирателей, внесенных в список"	16770	2344	2312	2359	2449	2365	2438	2503					
2	Число полученных избирательных бюллетеней	16019	2271	2223	2257	2329	2254	2322	2363					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9236	1199	1144	1127	1404	1406	1432	1524					
5	"Число избирательных бюллетеней, выданных вне помещения"	359	75	41	93	54	22	47	27					
6	Число погашенных избирательных бюллетеней	6424	997	1038	1037	871	826	843	812					
7	Число избирательных бюллетеней в переносных ящиках	359	75	41	93	54	22	47	27					
8	Число бюллетеней в стационарных ящиках для голосования	9232	1199	1142	1127	1402	1406	1432	1524					
9	Число недействительных избирательных бюллетеней	69	8	8	5	18	4	13	13					
10	Число действительных избирательных бюллетеней	9522	1266	1175	1215	1438	1424	1466	1538					
11	Число полученных открепительных  удостоверений	1000	100	100	100	400	100	100	100					
12	Число выданных открепительных удостоверений	60	6	7	8	14	10	7	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	74	9	4	15	12	14	11	9					
14	Число неиспользованных открепительных удостоверений	940	94	93	92	386	90	93	92					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"														
18	. Глазьев Сергей Юрьевич	650	92	93	76	92	118	107	72					
		6.78%	7.22%	7.86%	6.23%	6.32%	8.26%	7.23%	4.64%					
19	. Малышкин Олег Александрович	200	20	22	17	34	39	37	31					
		2.09%	1.57%	1.86%	1.39%	2.34%	2.73%	2.50%	2.00%					
20	. Миронов Сергей Михайлович	50	10	9	5	8	10	5	3					
		0.52%	0.78%	0.76%	0.41%	0.55%	0.70%	0.34%	0.19%					
21	. Путин Владимир Владимирович	6868	904	832	860	1054	1016	1040	1162					
		71.61%	70.96%	70.33%	70.49%	72.39%	71.15%	70.32%	74.92%					
22	. Хакамада Ирина Муцуовна	299	27	43	37	53	45	50	44					
		3.12%	2.12%	3.63%	3.03%	3.64%	3.15%	3.38%	2.84%					
23	. Харитонов Николай Михайлович	872	158	99	131	110	112	133	129					
		9.09%	12.40%	8.37%	10.74%	7.55%	7.84%	8.99%	8.32%					
														
24	Против всех	583	55	77	89	87	84	94	97					
		6.08%	4.32%	6.51%	7.30%	5.98%	5.88%	6.36%	6.25%					
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
