Выборы Президента Российской Федерации																																			
																																			
Наименование Избирательной комиссии:    Котовская																																			
																																			
Итоги голосования 																																			
																																			
		Сумма	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060					
1	"Число избирателей, внесенных в список"	29465	3106	2880	2807	2947	3092	2920	2980	680	154	484	171	405	338	91	478	807	792	224	623	132	211	181	789	712	196	806	266	193					
2	Число полученных избирательных бюллетеней	29008	3000	2781	2736	2768	2902	2812	2943	678	161	484	172	401	338	93	479	819	801	232	865	134	206	182	797	715	201	848	270	190					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	16744	1614	1446	1629	1737	1800	1494	1399	439	118	290	128	289	200	53	365	487	554	164	591	85	138	115	441	368	121	411	141	127					
5	"Число избирательных бюллетеней, выданных вне помещения"	1280	98	127	66	172	53	41	102	36	5	45	21	29	30	1	18	110	45	12	32	12	13	11	37	47	14	58	35	10					
6	Число погашенных избирательных бюллетеней	10984	1288	1208	1041	859	1049	1277	1442	203	38	149	23	83	108	39	96	222	202	56	242	37	55	56	319	300	66	379	94	53					
7	Число избирательных бюллетеней в переносных ящиках	1280	98	127	66	172	53	41	102	36	5	45	21	29	30	1	18	110	45	12	32	12	13	11	37	47	14	58	35	10					
8	Число бюллетеней в стационарных ящиках для голосования	16743	1614	1446	1629	1737	1800	1493	1399	439	118	290	128	289	200	53	365	487	554	164	591	85	138	115	441	368	121	411	141	127					
9	Число недействительных избирательных бюллетеней	156	14	14	8	17	11	5	10	1	0	7	1	4	1	0	5	7	2	0	11	1	2	2	9	7	3	5	2	7					
10	Число действительных избирательных бюллетеней	17867	1698	1559	1687	1892	1842	1529	1491	474	123	328	148	314	229	54	378	590	597	176	612	96	149	124	469	408	132	464	174	130					
11	Число полученных открепительных  удостоверений	392	25	25	25	25	25	25	25	14	8	14	8	8	8	8	8	14	14	8	14	8	8	8	15	15	8	15	8	6					
12	Число выданных открепительных удостоверений	165	13	12	25	16	18	19	10	1	1	2	2	0	4	1	4	8	2	5	0	0	1	0	8	4	3	6	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	81	3	1	4	8	20	11	6	3	0	1	1	2	0	0	0	1	4	0	3	0	2	1	5	2	1	1	0	1					
14	Число неиспользованных открепительных удостоверений	227	12	13	0	9	7	6	15	13	7	12	6	8	4	7	4	6	12	3	14	8	7	8	7	11	5	9	8	6					
15	"Число открепительных удостоверений, выданных в ТИК"	8	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																			
18	. Глазьев Сергей Юрьевич	685	93	56	75	91	76	72	72	23	0	7	8	3	2	0	11	12	13	1	12	1	2	1	15	4	4	22	4	5					
		3.80%	5.43%	3.56%	4.42%	4.77%	4.10%	4.69%	4.80%	4.84%	0.00%	2.09%	5.37%	0.94%	0.87%	0.00%	2.87%	2.01%	2.17%	0.57%	1.93%	1.03%	1.32%	0.79%	3.14%	0.96%	2.96%	4.69%	2.27%	3.65%					
19	. Малышкин Олег Александрович	496	34	44	41	42	46	56	38	15	6	8	5	7	8	0	6	26	31	2	27	0	2	3	23	7	5	10	3	1					
		2.75%	1.99%	2.80%	2.42%	2.20%	2.48%	3.65%	2.53%	3.16%	4.88%	2.39%	3.36%	2.20%	3.48%	0.00%	1.57%	4.36%	5.18%	1.14%	4.33%	0.00%	1.32%	2.38%	4.81%	1.69%	3.70%	2.13%	1.70%	0.73%					
20	. Миронов Сергей Михайлович	237	81	18	13	19	17	16	18	4	6	1	2	2	2	1	2	6	8	3	2	0	1	0	7	2	0	2	2	2					
		1.31%	4.73%	1.14%	0.77%	1.00%	0.92%	1.04%	1.20%	0.84%	4.88%	0.30%	1.34%	0.63%	0.87%	1.85%	0.52%	1.01%	1.34%	1.70%	0.32%	0.00%	0.66%	0.00%	1.46%	0.48%	0.00%	0.43%	1.14%	1.46%					
21	. Путин Владимир Владимирович	9327	770	713	846	997	968	834	804	240	41	213	103	175	111	22	194	337	358	127	291	56	89	83	282	165	82	244	89	93					
		51.75%	44.98%	45.33%	49.91%	52.23%	52.24%	54.37%	53.56%	50.53%	33.33%	63.58%	69.13%	55.03%	48.26%	40.74%	50.65%	56.45%	59.77%	72.16%	46.71%	57.73%	58.94%	65.87%	59.00%	39.76%	60.74%	52.03%	50.57%	67.88%					
22	. Хакамада Ирина Муцуовна	647	71	55	62	86	91	80	41	10	1	9	3	8	6	1	7	10	20	4	21	2	1	2	21	12	4	13	1	5					
		3.59%	4.15%	3.50%	3.66%	4.50%	4.91%	5.22%	2.73%	2.11%	0.81%	2.69%	2.01%	2.52%	2.61%	1.85%	1.83%	1.68%	3.34%	2.27%	3.37%	2.06%	0.66%	1.59%	4.39%	2.89%	2.96%	2.77%	0.57%	3.65%					
23	. Харитонов Николай Михайлович	5964	589	631	589	587	575	385	477	173	68	87	27	115	100	29	151	191	159	39	255	37	54	34	110	209	36	166	72	19					
		33.09%	34.40%	40.11%	34.75%	30.75%	31.03%	25.10%	31.78%	36.42%	55.28%	25.97%	18.12%	36.16%	43.48%	53.70%	39.43%	31.99%	26.54%	22.16%	40.93%	38.14%	35.76%	26.98%	23.01%	50.36%	26.67%	35.39%	40.91%	13.87%					
																																			
24	Против всех	511	60	42	61	70	69	86	41	9	1	3	0	4	0	1	7	8	8	0	4	0	0	1	11	9	1	7	3	5					
		2.84%	3.50%	2.67%	3.60%	3.67%	3.72%	5.61%	2.73%	1.89%	0.81%	0.90%	0.00%	1.26%	0.00%	1.85%	1.83%	1.34%	1.34%	0.00%	0.64%	0.00%	0.00%	0.79%	2.30%	2.17%	0.74%	1.49%	1.70%	3.65%					
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
