Выборы Президента Российской Федерации																
																
Наименование Избирательной комиссии:    Лермонтовская городская																
																
Итоги голосования 																
																
		Сумма	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726					
1	"Число избирателей, внесенных в список"	18884	1976	1973	1943	2044	2146	2554	2231	2027	1990					
2	Число полученных избирательных бюллетеней	19415	2041	2024	2023	2119	2209	2508	2331	2105	2055					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	10659	1142	1103	1150	1186	1169	1284	1264	1209	1152					
5	"Число избирательных бюллетеней, выданных вне помещения"	607	99	75	68	37	78	47	60	56	87					
6	Число погашенных избирательных бюллетеней	8149	800	846	805	896	962	1177	1007	840	816					
7	Число избирательных бюллетеней в переносных ящиках	607	99	75	68	37	78	47	60	56	87					
8	Число бюллетеней в стационарных ящиках для голосования	10652	1142	1101	1150	1185	1167	1283	1264	1209	1151					
9	Число недействительных избирательных бюллетеней	54	6	4	6	5	5	4	4	14	6					
10	Число действительных избирательных бюллетеней	11205	1235	1172	1212	1217	1240	1326	1320	1251	1232					
11	Число полученных открепительных  удостоверений	295	31	33	33	33	33	33	33	33	33					
12	Число выданных открепительных удостоверений	78	4	6	5	5	14	11	12	10	11					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	29	6	2	3	0	1	4	3	7	3					
14	Число неиспользованных открепительных удостоверений	217	27	27	28	28	19	22	21	23	22					
15	"Число открепительных удостоверений, выданных в ТИК"	5	0	0	1	1	0	0	1	1	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																
18	. Глазьев Сергей Юрьевич	556	60	48	56	56	84	80	59	54	59					
		4.94%	4.83%	4.08%	4.60%	4.58%	6.75%	6.02%	4.46%	4.27%	4.77%					
19	. Малышкин Олег Александрович	271	39	29	30	21	30	39	34	25	24					
		2.41%	3.14%	2.47%	2.46%	1.72%	2.41%	2.93%	2.57%	1.98%	1.94%					
20	. Миронов Сергей Михайлович	106	17	12	10	11	15	6	13	12	10					
		0.94%	1.37%	1.02%	0.82%	0.90%	1.20%	0.45%	0.98%	0.95%	0.81%					
21	. Путин Владимир Владимирович	7094	757	746	726	768	768	838	871	812	808					
		63.01%	61.00%	63.44%	59.61%	62.85%	61.69%	63.01%	65.79%	64.19%	65.27%					
22	. Хакамада Ирина Муцуовна	449	44	48	56	50	59	58	62	36	36					
		3.99%	3.55%	4.08%	4.60%	4.09%	4.74%	4.36%	4.68%	2.85%	2.91%					
23	. Харитонов Николай Михайлович	2181	273	244	273	232	228	224	202	256	249					
		19.37%	22.00%	20.75%	22.41%	18.99%	18.31%	16.84%	15.26%	20.24%	20.11%					
																
24	Против всех	548	45	45	61	79	56	81	79	56	46					
		4.87%	3.63%	3.83%	5.01%	6.46%	4.50%	6.09%	5.97%	4.43%	3.72%					
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
