Выборы Президента Российской Федерации																															
																															
Наименование Избирательной комиссии:    Юкаменская																															
																															
Итоги голосования 																															
																															
		Сумма	УИК №3201	УИК №3202	УИК №3203	УИК №3204	УИК №3205	УИК №3206	УИК №3207	УИК №3208	УИК №3209	УИК №3210	УИК №3211	УИК №3212	УИК №3213	УИК №3214	УИК №3215	УИК №3216	УИК №3217	УИК №3218	УИК №3219	УИК №3220	УИК №3221	УИК №3222	УИК №3223	УИК №3224					
14	Число неиспользованных открепительных удостоверений	77	1	6	0	0	0	5	1	5	5	0	8	4	4	5	5	1	5	5	2	2	5	1	4	3					
15	"Число открепительных удостоверений, выданных в ТИК"	7	1	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																															
18	. Глазьев Сергей Юрьевич	106	24	22	4	7	2	5	2	4	1	3	4	1	3	2	1	0	13	0	0	1	3	1	0	3					
		1.44%	2.37%	2.16%	1.04%	1.76%	1.64%	2.75%	0.99%	2.55%	0.77%	0.96%	0.71%	0.78%	1.42%	2.50%	0.37%	0.00%	2.67%	0.00%	0.00%	0.64%	0.92%	0.41%	0.00%	1.19%					
19	. Малышкин Олег Александрович	186	27	35	6	13	1	4	8	7	4	6	8	3	7	0	5	5	7	1	4	1	6	7	9	12					
		2.52%	2.67%	3.44%	1.56%	3.27%	0.82%	2.20%	3.96%	4.46%	3.08%	1.93%	1.42%	2.34%	3.30%	0.00%	1.84%	2.24%	1.44%	1.56%	1.69%	0.64%	1.83%	2.85%	4.43%	4.74%					
20	. Миронов Сергей Михайлович	25	4	1	4	0	2	0	1	3	0	0	0	0	0	3	0	0	1	0	3	1	0	1	1	0					
