Выборы Президента Российской Федерации																																																																																			
Дата голосования: 02.03.2008																																																																																			
																																																																																			
"Наименование Избирательной комиссии:    Курган, Восточная"																																																																																			
																																																																																			
Сводная таблица результатов выборов																																																																																			
																																																																																			
	Число участковых избирательных комиссий	76																																																																																	
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	76																																																																																	
																																																																																			
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №74	УИК №75	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №131	УИК №132	УИК №134	УИК №137	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185					
1	"Число избирателей, включенных в списки избирателей"	139380	1170	1225	1816	1457	1396	1565	1802	2139	2276	1504	2164	2222	2399	2672	2027	2232	2009	2641	2104	2496	1648	1900	2037	2420	1813	1409	1487	1910	1816	2272	2238	1984	1968	2324	1819	781	428	1798	2395	1510	2094	1624	2694	2174	2319	2341	2599	2319	2512	1810	2661	2494	2036	1671	1700	2232	2763	2302	1916	1672	1422	2356	2205	1541	2707	1151	1280	1971	1275	1533	1523	340	285	158	266	161					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	135760	1100	1200	1800	1400	1350	1550	1750	2100	2200	1450	2100	2150	2350	2650	2000	2200	1950	2600	2050	2450	1600	1850	2000	2350	1750	1400	1450	1850	1800	2250	2200	1900	1950	2250	1750	700	350	1750	2300	1500	2050	2000	2650	2150	2250	2300	2550	2250	2450	1750	2600	2450	2000	1650	1650	2100	2750	2250	1850	1600	1300	2350	2200	1450	2200	1150	1200	1900	1250	1300	1500	350	260	200	300	200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	68962	482	489	695	530	561	456	835	680	835	604	1144	1184	1150	1416	993	1238	1096	1532	1154	1343	983	1162	1075	1317	967	783	785	1103	988	1208	1183	879	951	957	755	153	213	863	858	635	1003	779	1348	833	757	980	1335	1255	1159	727	1514	1159	881	892	1045	1279	1489	1315	1123	968	833	1302	1082	749	1785	658	605	946	697	663	743	231	191	157	140	104					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	3314	11	22	28	16	46	31	17	33	27	11	39	45	40	25	24	21	47	25	14	34	47	41	37	38	56	61	52	38	38	61	42	35	55	21	40	144	4	22	128	28	44	37	26	31	64	29	54	59	32	39	43	38	35	42	42	62	81	71	41	42	21	75	43	131	72	21	38	19	47	23	35	109	68	0	99	57					
6	Число погашенных избирательных бюллетеней	63484	607	689	1077	854	743	1063	898	1387	1338	835	917	921	1160	1209	983	941	807	1043	882	1073	570	647	888	995	727	556	613	709	774	981	975	986	944	1272	955	403	133	865	1314	837	1003	1184	1276	1286	1429	1291	1161	936	1259	984	1043	1253	1084	716	563	759	1180	864	686	590	446	973	1075	570	343	471	557	935	506	614	722	10	1	43	61	39					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3314	11	22	28	16	46	31	17	33	27	11	39	45	40	25	24	21	47	25	14	34	47	41	37	38	56	61	52	38	38	61	42	35	55	21	40	144	4	22	128	28	44	37	26	31	64	29	54	59	32	39	43	38	35	42	42	62	81	71	41	42	21	75	43	131	72	21	38	19	47	23	35	109	68	0	99	57					
8	Число бюллетеней в стационарных ящиках для голосования	68908	482	489	695	529	561	456	835	680	831	604	1144	1184	1150	1416	992	1235	1092	1530	1151	1342	983	1162	1075	1304	967	782	785	1103	985	1208	1179	879	951	957	755	153	213	863	858	635	1003	779	1348	833	757	980	1334	1252	1159	726	1514	1159	881	892	1045	1273	1489	1315	1123	968	833	1302	1080	748	1785	658	605	946	697	663	743	231	191	157	140	104					
9	Число недействительных избирательных бюллетеней	666	4	8	7	7	4	11	8	6	12	12	6	15	10	12	5	15	13	9	11	9	4	12	8	10	9	11	7	19	9	9	23	11	15	10	5	0	1	9	5	6	8	9	6	7	4	13	9	11	9	11	12	10	5	10	11	17	14	16	11	9	14	8	11	11	12	7	5	7	3	7	8	0	1	1	2	0					
10	Число действительных избирательных бюллетеней	71556	489	503	716	538	603	476	844	707	846	603	1177	1214	1180	1429	1011	1241	1126	1546	1154	1367	1026	1191	1104	1332	1014	832	830	1122	1014	1260	1198	903	991	968	790	297	216	876	981	657	1039	807	1368	857	817	996	1379	1300	1182	754	1545	1187	911	924	1076	1318	1556	1370	1153	1001	840	1369	1112	868	1845	672	638	958	741	679	770	340	258	156	237	161					
11	Число полученных открепительных  удостоверений	2045	20	20	25	30	25	25	30	35	35	30	30	35	25	35	30	35	25	35	35	35	30	25	35	35	25	25	15	30	30	35	35	25	25	35	20	10	10	30	25	20	25	25	40	25	20	35	45	35	30	20	25	35	25	30	25	40	35	30	35	40	25	45	35	25	45	20	10	25	30	30	20	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1335	6	16	11	9	8	6	16	10	11	16	13	23	16	24	20	27	18	32	14	28	25	20	22	23	17	21	8	28	24	20	33	17	22	19	11	3	4	12	13	10	18	15	32	9	16	13	34	25	16	17	14	18	25	17	19	32	22	24	32	24	20	39	27	11	45	15	10	17	20	20	13	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1471	8	20	10	12	9	6	11	16	25	9	22	16	17	15	17	18	24	9	23	15	25	25	12	27	16	10	16	35	14	23	39	35	22	35	13	24	20	17	18	12	9	10	23	7	20	21	17	27	22	17	32	8	24	11	36	21	24	36	38	50	24	12	26	12	31	3	16	22	11	14	21	28	8	26	19	5					
14	Число неиспользованных открепительных удостоверений	710	14	4	14	21	17	19	14	25	24	14	17	12	9	11	10	8	7	3	21	7	5	5	13	12	8	4	7	2	6	15	2	8	3	16	9	7	6	18	12	10	7	10	8	16	4	22	11	10	14	3	11	17	0	13	6	8	13	6	3	16	5	6	8	14	0	5	0	8	10	10	7	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям ТИК"	62	1	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	2	1	1	0	1	2	2	3	0	2	0	2	1	0	0	0	2	0	1	0	2	1	0	1	0	0	2	0	1	0	0	1	0	0	1	2	0	1	0	4	3	2	2	0	3	1	0	5	0	1	0	2	2	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
