Выборы Президента Российской Федерации																																												
																																												
Наименование Избирательной комиссии:    район Раменки																																												
																																												
Итоги голосования 																																												
																																												
		Сумма	УИК №2549	УИК №2550	УИК №2551	УИК №2552	УИК №2553	УИК №2554	УИК №2555	УИК №2556	УИК №2557	УИК №2558	УИК №2559	УИК №2560	УИК №2561	УИК №2562	УИК №2563	УИК №2564	УИК №2565	УИК №2566	УИК №2567	УИК №2568	УИК №2569	УИК №2570	УИК №2571	УИК №2572	УИК №2573	УИК №2574	УИК №2575	УИК №2576	УИК №2577	УИК №2578	УИК №2579	УИК №2580	УИК №2581	УИК №2582	УИК №2583	УИК №3187	УИК №3188					
1	"Число избирателей, внесенных в список"	74190	2005	1302	2151	1731	2677	2190	1617	2460	1218	2634	2744	2552	1670	1766	1886	2766	2243	1950	1904	2496	2118	1701	2575	2667	2900	2650	2171	1673	2221	2076	2084	2038	2113	1734	1244	86	177					
2	Число полученных избирательных бюллетеней	68030	1820	1210	1950	1590	2430	2020	1420	2410	1120	2380	2490	2330	1580	1600	1740	2450	2050	1750	1710	2190	1960	1600	2350	2440	2550	2420	1970	1530	2020	1900	1850	1850	1950	1600	1070	190	540					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	48092	1287	742	1454	1144	1518	1214	946	1362	795	1549	1376	1454	969	929	1050	1545	1824	1619	1584	1454	1212	1049	1412	2214	2396	2120	1225	994	1666	1515	1660	1529	1112	992	922	86	173					
5	"Число избирательных бюллетеней, выданных вне помещения"	1212	37	23	51	43	75	75	37	15	70	53	56	40	9	22	25	33	14	12	22	18	35	48	32	23	16	22	18	15	42	42	35	23	58	73	0	0	0					
6	Число погашенных избирательных бюллетеней	18726	496	445	445	403	837	731	437	1033	255	778	1058	836	602	649	665	872	212	119	104	718	713	503	906	203	138	278	727	521	312	343	155	298	780	535	148	104	367					
7	Число избирательных бюллетеней в переносных ящиках	1212	37	23	51	43	75	75	37	15	70	53	56	40	9	22	25	33	14	12	22	18	35	48	32	23	16	22	18	15	42	42	35	23	58	73	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	47632	1286	741	1454	1144	1518	1214	941	1362	794	1496	1376	1414	963	913	1048	1545	1824	1619	1579	1454	1206	951	1409	2214	2380	2098	1225	987	1660	1515	1528	1506	1107	991	911	86	173					
9	Число недействительных избирательных бюллетеней	377	15	6	10	2	7	11	6	15	1	11	10	10	3	3	10	6	21	2	4	6	5	6	8	25	71	9	10	5	11	9	17	9	8	13	6	0	6					
10	Число действительных избирательных бюллетеней	48467	1308	758	1495	1185	1586	1278	972	1362	863	1538	1422	1444	969	932	1063	1572	1817	1629	1597	1466	1236	993	1433	2212	2325	2111	1233	997	1691	1548	1546	1520	1157	1051	905	86	167					
11	Число полученных открепительных  удостоверений	2085	50	50	50	50	59	50	50	70	50	65	60	50	50	50	50	80	60	50	50	68	60	50	85	85	80	55	50	50	66	64	70	50	58	50	100	0	0					
12	Число выданных открепительных удостоверений	1552	44	37	34	37	53	34	29	47	36	52	57	49	9	12	33	59	52	24	32	62	52	42	64	76	61	48	34	22	62	44	45	38	48	38	86	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1283	38	20	25	13	49	43	78	31	14	55	29	23	58	53	39	42	45	27	75	0	24	13	35	24	40	24	22	22	72	23	24	38	39	19	77	17	13					
14	Число неиспользованных открепительных удостоверений	533	6	13	16	13	6	16	21	23	14	13	3	1	41	38	17	21	8	26	18	6	8	8	21	9	19	7	16	28	4	20	25	12	10	12	14	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	14	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	2	1	2	0	1	1	0	0	1	0	0	0	0	1	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																												
18	. Глазьев Сергей Юрьевич	2928	78	54	80	76	144	88	75	97	92	50	92	92	63	57	77	109	40	98	25	125	104	62	140	64	65	185	90	82	54	94	86	91	78	73	34	5	9					
		5.99%	5.90%	7.07%	5.32%	6.40%	9.04%	6.83%	7.67%	7.04%	10.65%	3.23%	6.42%	6.33%	6.48%	6.10%	7.18%	6.91%	2.18%	6.01%	1.56%	8.49%	8.38%	6.21%	9.72%	2.86%	2.71%	8.73%	7.24%	8.18%	3.17%	6.04%	5.50%	5.95%	6.70%	6.86%	3.73%	5.81%	5.20%					
19	. Малышкин Олег Александрович	530	64	8	12	20	13	11	11	8	4	12	11	16	10	6	4	12	12	10	9	14	8	6	15	14	19	13	17	7	42	60	7	23	10	6	11	3	2					
		1.09%	4.84%	1.05%	0.80%	1.68%	0.82%	0.85%	1.12%	0.58%	0.46%	0.77%	0.77%	1.10%	1.03%	0.64%	0.37%	0.76%	0.65%	0.61%	0.56%	0.95%	0.64%	0.60%	1.04%	0.63%	0.79%	0.61%	1.37%	0.70%	2.47%	3.85%	0.45%	1.50%	0.86%	0.56%	1.21%	3.49%	1.16%					
20	. Миронов Сергей Михайлович	307	51	4	5	4	6	5	6	3	3	9	10	5	7	5	2	9	9	7	5	6	1	9	10	4	11	6	6	10	21	18	9	14	8	6	13	0	0					
		0.63%	3.85%	0.52%	0.33%	0.34%	0.38%	0.39%	0.61%	0.22%	0.35%	0.58%	0.70%	0.34%	0.72%	0.53%	0.19%	0.57%	0.49%	0.43%	0.31%	0.41%	0.08%	0.90%	0.69%	0.18%	0.46%	0.28%	0.48%	1.00%	1.23%	1.16%	0.58%	0.92%	0.69%	0.56%	1.43%	0.00%	0.00%					
21	. Путин Владимир Владимирович	34251	853	485	1062	908	1018	879	634	879	422	1368	882	887	500	433	655	1024	1646	1240	1411	924	1021	670	887	1998	2060	1338	774	643	1421	985	1173	1007	769	659	555	56	125					
		70.12%	64.47%	63.48%	70.56%	76.50%	63.90%	68.19%	64.83%	63.83%	48.84%	88.32%	61.59%	61.00%	51.44%	46.31%	61.04%	64.89%	89.55%	76.03%	88.13%	62.77%	82.27%	67.07%	61.55%	89.32%	85.98%	63.11%	62.27%	64.17%	83.49%	63.26%	75.05%	65.86%	66.01%	61.94%	60.92%	65.12%	72.25%					
22	. Хакамада Ирина Муцуовна	4167	105	102	153	76	208	125	106	148	91	41	182	142	171	164	182	205	23	115	98	123	50	55	127	55	60	262	121	81	35	181	103	126	115	115	105	8	8					
		8.53%	7.94%	13.35%	10.17%	6.40%	13.06%	9.70%	10.84%	10.75%	10.53%	2.65%	12.71%	9.77%	17.59%	17.54%	16.96%	12.99%	1.25%	7.05%	6.12%	8.36%	4.03%	5.51%	8.81%	2.46%	2.50%	12.36%	9.73%	8.08%	2.06%	11.62%	6.59%	8.24%	9.87%	10.81%	11.53%	9.30%	4.62%					
23	. Харитонов Николай Михайлович	3203	85	48	95	60	117	98	63	110	168	36	136	170	51	67	48	84	40	77	30	148	48	44	132	48	50	180	119	94	69	138	103	167	93	133	27	12	15					
