Выборы Президента Российской Федерации																																																
																																																
Наименование Избирательной комиссии:    Зеленодольская городская																																																
																																																
Итоги голосования 																																																
																																																
		Сумма	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550					
1	"Число избирателей, внесенных в список"	76769	810	1163	2223	2075	1822	1842	1857	2174	1975	235	1596	2099	1650	216	1931	1491	1925	1747	2161	1808	2086	2132	2096	2199	1462	460	1974	2070	2284	684	1213	2592	2741	2722	2653	2629	2641	2667	2756	1243	2665					
2	Число полученных избирательных бюллетеней	77472	760	1145	2235	2090	1820	1860	1885	2155	1980	237	1635	2120	1635	200	1940	1515	1905	1770	2170	1830	2105	2135	2095	2240	1460	445	2050	2090	2305	670	1170	2680	2765	2745	2810	2665	2690	2730	2795	1215	2725					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	52476	564	832	1513	1429	1309	1254	1223	1591	1345	0	1031	1426	1114	121	1317	1037	1319	1149	1570	1228	1423	1436	1423	1463	1038	328	1311	1420	1525	386	660	1683	1763	1766	1999	2132	1803	1843	1974	745	1983					
5	"Число избирательных бюллетеней, выданных вне помещения"	3385	75	39	70	143	29	93	124	44	98	232	114	65	42	25	46	88	63	78	119	50	58	96	80	44	59	117	220	51	40	111	82	128	54	58	61	101	45	16	90	201	36					
6	Число погашенных избирательных бюллетеней	21611	121	274	652	518	482	513	538	520	537	5	490	629	479	54	577	390	523	543	481	552	624	603	592	733	363	0	519	619	740	173	428	869	948	921	750	432	842	871	731	269	706					
7	Число избирательных бюллетеней в переносных ящиках	3385	75	39	70	143	29	93	124	44	98	232	114	65	42	25	46	88	63	78	119	50	58	96	80	44	59	117	220	51	40	111	82	128	54	58	61	101	45	16	90	201	36					
8	Число бюллетеней в стационарных ящиках для голосования	52461	564	832	1513	1429	1309	1254	1223	1591	1345	0	1031	1426	1114	121	1317	1037	1319	1149	1570	1228	1423	1436	1423	1463	1038	328	1311	1420	1525	386	660	1683	1763	1766	1999	2132	1789	1843	1974	744	1983					
9	Число недействительных избирательных бюллетеней	1039	9	29	35	25	36	29	22	27	15	2	27	16	10	2	23	19	42	24	0	22	29	20	22	28	40	13	36	29	20	3	17	50	35	33	34	38	26	34	12	21	85					
10	Число действительных избирательных бюллетеней	54807	630	842	1548	1547	1302	1318	1325	1608	1428	230	1118	1475	1146	144	1340	1106	1340	1203	1689	1256	1452	1512	1481	1479	1057	432	1495	1442	1545	494	725	1761	1782	1791	2026	2195	1808	1825	2052	924	1934					
