Выборы Президента Российской Федерации																																														
																																														
Наименование Избирательной комиссии:    Мазановская																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422					
1	"Число избирателей, внесенных в список"	11821	572	1617	1327	440	155	241	243	85	195	457	132	265	36	585	519	663	58	77	230	164	50	58	45	469	39	137	204	119	299	333	79	93	40	85	73	883	306	334	114					
2	Число полученных избирательных бюллетеней	11484	553	1494	1253	428	149	234	241	83	193	460	129	263	49	546	485	665	54	74	227	157	50	56	44	465	39	138	205	118	290	329	76	88	40	100	71	882	300	331	125					
3	"Число избирательных бюллетеней, выданных  досрочно"	152	0	0	0	0	0	0	0	0	0	0	0	0	12	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7759	337	894	796	254	115	175	167	60	142	252	90	212	16	365	386	444	41	52	186	129	38	52	34	332	34	94	145	90	209	263	65	80	33	85	64	516	214	200	98					
5	"Число избирательных бюллетеней, выданных вне помещения"	413	10	63	128	5	0	8	7	0	5	20	12	0	0	0	22	19	0	0	6	7	3	0	5	17	0	7	10	5	13	0	0	0	0	0	0	4	13	24	0					
6	Число погашенных избирательных бюллетеней	3160	206	537	329	169	34	51	67	23	46	188	27	51	21	41	77	202	13	22	35	21	9	4	5	116	5	37	50	23	68	66	11	8	7	15	7	362	73	107	27					
7	Число избирательных бюллетеней в переносных ящиках	565	10	63	128	5	0	8	7	0	5	20	12	0	12	140	22	19	0	0	6	7	3	0	5	17	0	7	10	5	13	0	0	0	0	0	0	4	13	24	0					
8	Число бюллетеней в стационарных ящиках для голосования	7758	337	893	796	254	115	175	167	60	142	252	90	212	16	365	386	444	41	52	186	129	38	52	34	332	34	94	145	90	209	263	65	80	33	85	64	516	214	200	98					
9	Число недействительных избирательных бюллетеней	179	2	6	113	3	0	4	2	0	2	4	1	2	0	3	0	4	0	0	1	3	0	0	0	2	0	1	4	1	3	3	0	0	0	0	0	6	4	4	1					
10	Число действительных избирательных бюллетеней	8144	345	950	811	256	115	179	172	60	145	268	101	210	28	502	408	459	41	52	191	133	41	52	39	347	34	100	151	94	219	260	65	80	33	85	64	514	223	220	97					
