Выборы Президента Российской Федерации																																													
																																													
Наименование Избирательной комиссии:    Тулунская городская																																													
																																													
Итоги голосования 																																													
																																													
		Сумма	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241					
1	"Число избирателей, внесенных в список"	37841	593	1360	794	1066	1210	1005	1034	1070	1454	1103	649	1074	984	1062	1444	801	1131	1108	1236	586	491	901	898	1207	1209	1333	1402	902	1024	1171	996	759	852	898	1029	1448	285	272					
2	Число полученных избирательных бюллетеней	35100	500	1400	700	1000	1200	900	1000	900	1300	1000	600	1000	900	1000	1400	800	1000	1000	1100	500	400	900	800	1100	1100	1200	1300	800	900	1100	900	700	800	900	900	1300	400	400					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	17731	357	669	433	523	557	460	484	510	735	571	308	631	526	480	583	294	567	536	615	226	198	305	403	487	555	577	636	440	329	447	514	360	359	464	421	632	267	272					
5	"Число избирательных бюллетеней, выданных вне помещения"	1674	10	30	3	34	77	47	51	27	4	13	14	42	15	60	99	55	18	20	34	35	31	77	50	34	27	131	102	47	99	101	1	24	37	6	103	116	0	0					
6	Число погашенных избирательных бюллетеней	15695	133	701	264	443	566	393	465	363	561	416	278	327	359	460	718	451	415	444	451	239	171	518	347	579	518	492	562	313	472	552	385	316	404	430	376	552	133	128					
7	Число избирательных бюллетеней в переносных ящиках	1674	10	30	3	34	77	47	51	27	4	13	14	42	15	60	99	55	18	20	34	35	31	77	50	34	27	131	102	47	99	101	1	24	37	6	103	116	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	17731	357	669	433	523	557	460	484	510	735	571	308	631	526	480	583	294	567	536	615	226	198	305	403	487	555	577	636	440	329	447	514	360	359	464	421	632	267	272					
9	Число недействительных избирательных бюллетеней	157	3	5	8	7	2	5	5	4	6	7	2	5	6	5	7	3	9	4	8	0	1	1	6	3	3	9	0	4	1	2	4	2	2	5	5	4	2	2					
10	Число действительных избирательных бюллетеней	19248	364	694	428	550	632	502	530	533	733	577	320	668	535	535	675	346	576	552	641	261	228	381	447	518	579	699	738	483	427	546	511	382	394	465	519	744	265	270					
11	Число полученных открепительных  удостоверений	508	10	15	10	15	15	15	15	15	15	15	10	15	15	15	15	10	15	15	15	10	8	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	0	0					
12	Число выданных открепительных удостоверений	139	2	7	5	2	0	1	11	2	6	3	4	9	7	4	1	2	13	3	2	2	1	1	10	2	6	9	10	4	1	1	1	2	1	3	1	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	183	0	2	0	2	0	1	5	2	4	1	0	4	1	2	2	1	6	3	1	1	1	4	5	1	1	4	5	3	2	1	0	1	12	3	0	0	0	102					
14	Число неиспользованных открепительных удостоверений	369	8	8	5	13	15	14	4	13	9	12	6	6	8	11	14	8	2	12	13	8	7	14	5	13	9	6	5	11	14	14	14	13	14	12	14	15	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	92	0	3	1	6	1	0	5	0	3	2	2	2	2	3	3	3	2	2	0	1	0	5	4	1	0	3	6	0	4	5	1	2	2	5	7	6	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																													
18	. Глазьев Сергей Юрьевич	909	10	27	18	20	37	36	39	33	65	24	19	32	34	32	43	16	36	32	41	17	8	22	19	29	19	15	31	20	16	12	7	16	12	15	20	29	7	1					
		4.68%	2.72%	3.86%	4.13%	3.59%	5.84%	7.10%	7.29%	6.15%	8.80%	4.11%	5.90%	4.75%	6.28%	5.93%	6.30%	4.58%	6.15%	5.76%	6.32%	6.51%	3.49%	5.76%	4.19%	5.57%	3.26%	2.12%	4.20%	4.11%	3.74%	2.19%	1.36%	4.17%	3.03%	3.19%	3.82%	3.88%	2.62%	0.37%					
19	. Малышкин Олег Александрович	715	17	34	16	26	28	20	24	8	19	15	11	23	9	25	39	21	11	10	24	16	5	25	9	23	14	26	13	25	27	28	11	13	22	11	21	24	5	17					
		3.68%	4.63%	4.86%	3.67%	4.67%	4.42%	3.94%	4.49%	1.49%	2.57%	2.57%	3.42%	3.42%	1.66%	4.63%	5.72%	6.02%	1.88%	1.80%	3.70%	6.13%	2.18%	6.54%	1.99%	4.41%	2.41%	3.67%	1.76%	5.13%	6.31%	5.11%	2.14%	3.39%	5.56%	2.34%	4.01%	3.21%	1.87%	6.25%					
20	. Миронов Сергей Михайлович	217	1	9	1	13	7	7	1	2	7	11	5	4	4	6	9	6	7	5	25	2	3	6	1	3	3	5	5	5	6	6	8	2	3	5	9	12	3	0					
		1.12%	0.27%	1.29%	0.23%	2.33%	1.10%	1.38%	0.19%	0.37%	0.95%	1.88%	1.55%	0.59%	0.74%	1.11%	1.32%	1.72%	1.20%	0.90%	3.85%	0.77%	1.31%	1.57%	0.22%	0.58%	0.52%	0.71%	0.68%	1.03%	1.40%	1.09%	1.55%	0.52%	0.76%	1.06%	1.72%	1.60%	1.12%	0.00%					
21	. Путин Владимир Владимирович	11098	241	372	245	311	335	300	250	272	357	343	173	399	276	311	362	193	330	333	346	162	140	222	300	300	328	417	400	281	268	347	360	211	223	303	308	381	205	193					
		57.19%	65.67%	53.22%	56.19%	55.83%	52.84%	59.17%	46.73%	50.65%	48.31%	58.73%	53.73%	59.29%	51.02%	57.59%	53.08%	55.30%	56.41%	59.89%	53.31%	62.07%	61.14%	58.12%	66.23%	57.58%	56.36%	58.90%	54.20%	57.70%	62.62%	63.32%	69.90%	54.95%	56.31%	64.47%	58.78%	50.94%	76.78%	70.96%					
22	. Хакамада Ирина Муцуовна	907	16	33	20	28	48	18	41	33	52	42	30	17	36	29	25	18	26	16	35	9	8	11	11	21	37	26	40	24	12	10	13	11	14	25	13	34	12	13					
		4.67%	4.36%	4.72%	4.59%	5.03%	7.57%	3.55%	7.66%	6.15%	7.04%	7.19%	9.32%	2.53%	6.65%	5.37%	3.67%	5.16%	4.44%	2.88%	5.39%	3.45%	3.49%	2.88%	2.43%	4.03%	6.36%	3.67%	5.42%	4.93%	2.80%	1.82%	2.52%	2.86%	3.54%	5.32%	2.48%	4.55%	4.49%	4.78%					
23	. Харитонов Николай Михайлович	4499	71	174	113	133	170	85	149	156	196	119	60	138	142	105	174	84	153	135	134	49	58	82	94	117	148	185	197	118	85	125	97	106	101	89	127	203	17	10					
		23.18%	19.35%	24.89%	25.92%	23.88%	26.81%	16.77%	27.85%	29.05%	26.52%	20.38%	18.63%	20.51%	26.25%	19.44%	25.51%	24.07%	26.15%	24.28%	20.65%	18.77%	25.33%	21.47%	20.75%	22.46%	25.43%	26.13%	26.69%	24.23%	19.86%	22.81%	18.83%	27.60%	25.51%	18.94%	24.24%	27.14%	6.37%	3.68%					
																																													
24	Против всех	903	8	45	15	19	7	36	26	29	37	23	22	55	34	27	23	8	13	21	36	6	6	13	13	25	30	25	52	10	13	18	15	23	19	17	21	61	16	36					
