Выборы Президента Российской Федерации																																																																													
Дата голосования: 18.03.2018																																																																													
																																																																													
Наименование Избирательной комиссии:    Табасаранская																																																																													
																																																																													
Сводная таблица итогов голосования																																																																													
																																																																													
	Число участковых избирательных комиссий	66																																																																											
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	66																																																																											
																																																																													
		Сумма	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1380	УИК №1381	УИК №1382	УИК №1383	УИК №1384	УИК №1385	УИК №1386	УИК №1387	УИК №1388	УИК №1389	УИК №1390	УИК №1391									
		0.01%	0.00%	0.00%	0.00%	0.94%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
14	Грудинин Павел Николаевич	1951	19	12	26	14	5	5	4	3	16	16	5	68	22	26	31	60	47	8	71	3	65	93	20	41	29	13	12	18	6	32	25	26	6	40	34	25	8	19	15	41	83	54	18	5	12	18	16	31	115	23	6	57	77	10	17	80	75	47	10	24	12	27	41	17	22	25									
		6.74%	5.54%	4.30%	9.35%	13.21%	1.54%	2.78%	1.37%	0.81%	6.20%	9.76%	1.34%	18.04%	8.49%	5.21%	7.51%	7.20%	6.14%	1.56%	7.73%	0.80%	20.63%	7.49%	5.88%	16.87%	12.13%	2.39%	6.09%	7.86%	5.56%	8.04%	9.09%	8.15%	2.08%	11.36%	11.45%	13.16%	10.67%	1.34%	1.89%	4.96%	8.66%	7.22%	7.11%	1.85%	6.90%	17.14%	7.80%	7.62%	11.97%	14.02%	1.01%	7.52%	6.05%	5.85%	5.38%	6.65%	14.71%	7.90%	2.59%	19.05%	6.52%	6.92%	6.17%	5.99%	7.24%	7.10%									
15	Жириновский Владимир Вольфович	411	5	2	2	0	21	2	22	31	4	0	23	0	0	0	3	11	11	31	11	0	0	12	5	0	2	5	3	1	0	4	1	3	0	3	0	0	0	77	11	11	3	0	3	2	4	0	2	0	0	0	27	6	5	3	4	2	0	5	1	2	0	5	10	4	3	3									
		1.42%	1.46%	0.72%	0.72%	0.00%	6.46%	1.11%	7.56%	8.38%	1.55%	0.00%	6.17%	0.00%	0.00%	0.00%	0.73%	1.32%	1.44%	6.04%	1.20%	0.00%	0.00%	0.97%	1.47%	0.00%	0.84%	0.92%	1.52%	0.44%	0.00%	1.01%	0.36%	0.94%	0.00%	0.85%	0.00%	0.00%	0.00%	5.45%	1.38%	1.33%	0.31%	0.00%	1.19%	0.74%	2.30%	0.00%	0.98%	0.00%	0.00%	0.00%	4.55%	0.79%	0.39%	1.75%	1.27%	0.17%	0.00%	0.84%	0.26%	1.59%	0.00%	1.28%	1.50%	1.41%	0.99%	0.85%									
16	Путин Владимир Владимирович	26278	312	265	245	89	293	170	263	336	234	148	330	302	235	469	376	758	689	468	832	366	242	1130	306	199	201	527	179	210	102	358	249	290	282	302	257	159	67	1299	759	762	866	680	230	263	158	87	184	376	841	138	559	688	1182	156	286	1118	431	541	375	100	172	340	605	258	277	307									
		90.74%	90.96%	94.98%	88.13%	83.96%	90.15%	94.44%	90.38%	90.81%	90.70%	90.24%	88.47%	80.11%	90.73%	93.99%	91.04%	90.99%	90.07%	91.23%	90.63%	98.12%	76.83%	90.98%	90.00%	81.89%	84.10%	96.70%	90.86%	91.70%	94.44%	89.95%	90.55%	90.91%	97.92%	85.80%	86.53%	83.68%	89.33%	91.87%	95.47%	92.14%	90.40%	90.91%	90.91%	97.41%	90.80%	82.86%	89.76%	92.38%	87.51%	84.15%	94.11%	90.77%	92.85%	91.23%	90.51%	92.93%	84.51%	90.92%	97.15%	79.37%	93.48%	87.18%	90.98%	90.85%	91.12%	87.22%									
17	Собчак Ксения Анатольевна	22	0	0	0	2	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0									
		0.08%	0.00%	0.00%	0.00%	1.89%	0.00%	1.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.80%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.63%	0.00%	0.59%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.59%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
18	Сурайкин Максим Александрович	15	0	0	2	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	4	0	1	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.05%	0.00%	0.00%	0.72%	0.00%	0.00%	0.56%	0.00%	0.00%	0.00%	0.00%	0.00%	0.80%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.27%	0.00%	0.29%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.57%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
