Выборы Президента Российской Федерации																																												
																																												
Наименование Избирательной комиссии:    Красноярская																																												
																																												
Итоги голосования 																																												
																																												
		Сумма	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №656					
1	"Число избирателей, внесенных в список"	26800	147	253	347	352	531	2112	452	677	1102	813	751	334	163	912	97	1216	147	593	387	1244	1828	799	1679	1110	1336	1031	789	687	867	423	735	623	1050	292	219	449	253					
2	Число полученных избирательных бюллетеней	23998	145	255	314	322	680	1528	397	594	1011	737	670	296	158	826	97	1094	147	541	352	1143	1612	725	1548	1013	1233	935	634	612	780	371	687	524	949	261	196	381	230					
3	"Число избирательных бюллетеней, выданных  досрочно"	61	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	16356	132	232	264	265	483	1399	348	532	733	478	440	187	108	628	74	797	114	402	280	759	881	491	804	538	698	511	389	404	519	252	512	387	536	189	118	258	214					
5	"Число избирательных бюллетеней, выданных вне помещения"	1131	7	11	12	18	48	15	45	25	45	37	36	24	0	55	5	99	7	58	30	58	52	28	39	20	30	11	102	25	53	43	29	5	14	11	18	7	9					
6	Число погашенных избирательных бюллетеней	6450	6	12	38	39	149	114	4	37	172	222	194	85	50	143	18	198	26	81	42	326	679	206	705	455	505	413	143	183	208	76	146	132	399	61	60	116	7					
7	Число избирательных бюллетеней в переносных ящиках	1192	7	11	12	18	48	15	45	25	106	37	36	24	0	55	5	99	7	58	30	58	52	28	39	20	30	11	102	25	53	43	29	5	14	11	18	7	9					
8	Число бюллетеней в стационарных ящиках для голосования	16355	132	232	264	265	483	1399	348	532	733	478	440	187	108	628	74	797	114	402	280	759	881	491	804	538	698	511	389	403	519	252	512	387	536	189	118	258	214					
9	Число недействительных избирательных бюллетеней	249	6	1	2	13	9	10	4	2	13	7	8	3	0	13	1	16	1	4	5	12	16	7	9	6	12	7	5	2	11	19	14	3	3	0	3	1	1					
10	Число действительных избирательных бюллетеней	17298	133	242	274	270	522	1404	389	555	826	508	468	208	108	670	78	880	120	456	305	805	917	512	834	552	716	515	486	426	561	276	527	389	547	200	133	264	222					
11	Число полученных открепительных  удостоверений	700	7	7	12	15	19	60	20	15	25	15	15	10	7	20	7	30	12	20	17	35	40	15	35	20	30	20	12	10	20	10	25	20	25	10	10	25	5					
12	Число выданных открепительных удостоверений	380	0	0	1	12	19	34	13	11	14	7	4	3	0	13	1	13	0	10	13	21	18	9	15	8	19	12	10	8	1	0	23	11	21	3	10	20	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	795	0	2	5	4	4	557	7	10	2	5	2	7	2	2	2	9	1	7	5	4	5	4	2	1	9	2	8	9	3	1	5	48	12	7	0	41	1					
14	Число неиспользованных открепительных удостоверений	320	7	7	11	3	0	26	7	4	11	8	11	7	7	7	6	17	12	10	4	14	22	6	20	12	11	8	2	2	19	10	2	9	4	7	0	5	2					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
