Выборы Президента Российской Федерации																																		
																																		
Наименование Избирательной комиссии:    Щигровская																																		
																																		
Итоги голосования 																																		
																																		
		Сумма	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210					
1	"Число избирателей, внесенных в список"	11626	154	352	541	1002	122	258	453	159	503	500	480	512	192	589	680	889	579	392	373	575	197	424	150	534	249	360	407					
2	Число полученных избирательных бюллетеней	10813	145	339	497	991	113	244	414	146	496	450	440	469	170	567	617	790	512	353	358	533	191	420	136	484	233	334	371					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6799	100	224	231	624	86	176	259	80	297	291	312	303	97	314	446	468	325	220	243	310	106	264	93	350	150	209	221					
5	"Число избирательных бюллетеней, выданных вне помещения"	2617	42	102	151	96	19	41	77	28	164	146	116	126	68	184	130	91	100	96	88	152	47	120	36	82	69	107	139					
6	Число погашенных избирательных бюллетеней	1397	3	13	115	271	8	27	78	38	35	13	12	40	5	69	41	231	87	37	27	71	38	36	7	52	14	18	11					
7	Число избирательных бюллетеней в переносных ящиках	2617	42	102	151	96	19	41	77	28	164	146	116	126	68	184	130	91	100	96	88	152	47	120	36	82	69	107	139					
8	Число бюллетеней в стационарных ящиках для голосования	6794	100	224	231	624	86	176	259	80	297	291	310	303	97	314	446	468	325	220	242	308	106	264	93	350	150	209	221					
9	Число недействительных избирательных бюллетеней	99	1	5	5	7	1	3	2	0	2	5	5	1	0	3	9	6	6	3	1	5	0	4	2	3	9	6	5					
10	Число действительных избирательных бюллетеней	9312	141	321	377	713	104	214	334	108	459	432	421	428	165	495	567	553	419	313	329	455	153	380	127	429	210	310	355					
11	Число полученных открепительных  удостоверений	216	10	15	7	10	5	8	5	5	5	5	5	5	5	5	8	5	5	5	5	5	13	32	5	5	15	13	5					
12	Число выданных открепительных удостоверений	164	8	15	7	5	2	7	5	4	5	1	4	4	0	0	8	3	1	1	0	5	13	32	2	3	13	13	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	65	3	2	3	5	2	2	1	2	3	4	1	3	3	1	5	4	4	0	1	0	0	3	1	3	4	2	3					
14	Число неиспользованных открепительных удостоверений	52	2	0	0	5	3	1	0	1	0	4	1	1	5	5	0	2	4	4	5	0	0	0	3	2	2	0	2					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																		
18	. Глазьев Сергей Юрьевич	225	1	10	3	16	2	5	6	1	12	8	7	12	0	19	13	19	24	5	2	3	3	3	1	4	7	35	4					
		2.39%	0.70%	3.07%	0.79%	2.22%	1.90%	2.30%	1.79%	0.93%	2.60%	1.83%	1.64%	2.80%	0.00%	3.82%	2.26%	3.40%	5.65%	1.58%	0.61%	0.65%	1.96%	0.78%	0.78%	0.93%	3.20%	11.08%	1.11%					
19	. Малышкин Олег Александрович	231	3	10	9	23	2	1	9	0	19	6	14	12	1	13	18	11	9	2	1	7	3	11	4	5	19	11	8					
		2.45%	2.11%	3.07%	2.36%	3.19%	1.90%	0.46%	2.68%	0.00%	4.12%	1.37%	3.29%	2.80%	0.61%	2.61%	3.12%	1.97%	2.12%	0.63%	0.30%	1.52%	1.96%	2.86%	3.10%	1.16%	8.68%	3.48%	2.22%					
20	. Миронов Сергей Михайлович	72	0	3	1	12	1	2	2	1	0	5	3	7	0	4	4	5	0	3	3	6	3	2	1	0	1	1	2					
		0.77%	0.00%	0.92%	0.26%	1.67%	0.95%	0.92%	0.60%	0.93%	0.00%	1.14%	0.70%	1.63%	0.00%	0.80%	0.69%	0.89%	0.00%	0.95%	0.91%	1.30%	1.96%	0.52%	0.78%	0.00%	0.46%	0.32%	0.56%					
21	. Путин Владимир Владимирович	5883	99	178	230	373	47	104	214	62	341	253	229	290	118	358	384	343	224	228	190	372	75	227	73	285	142	189	255					
		62.51%	69.72%	54.60%	60.21%	51.81%	44.76%	47.93%	63.69%	57.41%	73.97%	57.89%	53.76%	67.60%	71.52%	71.89%	66.67%	61.36%	52.71%	72.15%	57.58%	80.87%	49.02%	59.11%	56.59%	65.97%	64.84%	59.81%	70.83%					
22	. Хакамада Ирина Муцуовна	152	1	6	11	18	3	5	5	2	6	9	3	4	4	11	8	10	4	1	2	4	2	10	0	11	6	3	3					
		1.62%	0.70%	1.84%	2.88%	2.50%	2.86%	2.30%	1.49%	1.85%	1.30%	2.06%	0.70%	0.93%	2.42%	2.21%	1.39%	1.79%	0.94%	0.32%	0.61%	0.87%	1.31%	2.60%	0.00%	2.55%	2.74%	0.95%	0.83%					
23	. Харитонов Николай Михайлович	2618	35	111	121	257	46	94	91	39	73	147	146	99	42	86	138	158	143	70	131	61	66	118	47	119	32	66	82					
		27.82%	24.65%	34.05%	31.68%	35.69%	43.81%	43.32%	27.08%	36.11%	15.84%	33.64%	34.27%	23.08%	25.45%	17.27%	23.96%	28.26%	33.65%	22.15%	39.70%	13.26%	43.14%	30.73%	36.43%	27.55%	14.61%	20.89%	22.78%					
																																		
24	Против всех	131	2	3	2	14	3	3	7	3	8	4	19	4	0	4	2	7	15	4	0	2	1	9	1	5	3	5	1					
		1.39%	1.41%	0.92%	0.52%	1.94%	2.86%	1.38%	2.08%	2.78%	1.74%	0.92%	4.46%	0.93%	0.00%	0.80%	0.35%	1.25%	3.53%	1.27%	0.00%	0.43%	0.65%	2.34%	0.78%	1.16%	1.37%	1.58%	0.28%					
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
