Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																							
Дата голосования: 04.12.2011																																																							
																																																							
Наименование Избирательной комиссии:    Муромцевская																																																							
																																																							
Сводная таблица результатов выборов																																																							
																																																							
		Сумма	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	460	15	10	15	10	1	5	5	15	10	5	5	1	5	15	5	15	5	1	1	15	5	1	15	10	1	2	15	10	1	2	10	1	1	10	1	2	2	10	2	30	30	25	30	20	25	30	5	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	125	3	0	0	0	0	0	0	5	9	0	0	1	0	3	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	25	24	13	10	7	15	4	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	106	4	3	0	2	2	2	3	6	0	2	3	3	2	4	1	1	0	0	1	1	1	1	1	3	0	2	1	1	1	3	1	1	1	4	1	1	1	2	1	12	12	0	2	4	4	2	2	1					
14	Число погашенных неиспользованных открепительных удостоверений	335	12	10	15	10	1	5	5	10	1	5	5	0	5	12	5	15	5	1	1	15	5	1	13	9	1	2	15	10	1	2	10	1	1	8	1	2	2	10	2	5	6	12	20	13	10	26	5	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	20	3	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	3	2	1	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																							
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1228	69	26	20	22	1	10	9	51	6	8	15	6	25	52	8	20	6	1	9	40	16	0	24	23	3	13	28	13	3	0	13	2	6	25	4	1	6	17	3	161	140	62	67	26	89	49	14	16					
		10.73%	12.61%	11.71%	6.76%	8.70%	3.33%	7.94%	6.87%	12.32%	2.55%	6.25%	7.61%	8.82%	11.85%	11.66%	5.59%	6.64%	4.80%	1.79%	21.95%	12.46%	16.00%	0.00%	8.33%	10.90%	11.54%	12.75%	8.92%	9.85%	4.92%	0.00%	9.70%	3.70%	8.82%	10.16%	5.71%	1.32%	8.22%	10.30%	5.17%	14.92%	15.02%	12.92%	11.32%	11.16%	13.15%	7.61%	13.46%	15.69%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1381	65	42	31	17	3	12	22	65	26	16	30	10	34	48	18	47	19	13	9	48	17	0	33	21	6	8	46	20	1	6	3	6	3	18	8	15	8	20	5	118	103	52	78	21	91	72	9	18					
		12.07%	11.88%	18.92%	10.47%	6.72%	10.00%	9.52%	16.79%	15.70%	11.06%	12.50%	15.23%	14.71%	16.11%	10.76%	12.59%	15.61%	15.20%	23.21%	21.95%	14.95%	17.00%	0.00%	11.46%	9.95%	23.08%	7.84%	14.65%	15.15%	1.64%	5.45%	2.24%	11.11%	4.41%	7.32%	11.43%	19.74%	10.96%	12.12%	8.62%	10.94%	11.05%	10.83%	13.18%	9.01%	13.44%	11.18%	8.65%	17.65%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	93	4	2	2	5	0	0	1	8	5	1	2	0	1	4	0	0	0	0	1	5	0	0	1	1	0	0	2	1	1	0	1	0	0	1	0	1	1	0	1	8	6	5	3	2	7	7	1	2					
		0.81%	0.73%	0.90%	0.68%	1.98%	0.00%	0.00%	0.76%	1.93%	2.13%	0.78%	1.02%	0.00%	0.47%	0.90%	0.00%	0.00%	0.00%	0.00%	2.44%	1.56%	0.00%	0.00%	0.35%	0.47%	0.00%	0.00%	0.64%	0.76%	1.64%	0.00%	0.75%	0.00%	0.00%	0.41%	0.00%	1.32%	1.37%	0.00%	1.72%	0.74%	0.64%	1.04%	0.51%	0.86%	1.03%	1.09%	0.96%	1.96%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	2853	89	32	87	78	1	22	20	76	65	23	22	8	47	91	24	53	20	9	7	64	21	2	90	66	1	17	72	25	12	22	40	29	21	67	19	10	17	33	6	343	290	154	209	87	178	137	22	25					
		24.93%	16.27%	14.41%	29.39%	30.83%	3.33%	17.46%	15.27%	18.36%	27.66%	17.97%	11.17%	11.76%	22.27%	20.40%	16.78%	17.61%	16.00%	16.07%	17.07%	19.94%	21.00%	10.00%	31.25%	31.28%	3.85%	16.67%	22.93%	18.94%	19.67%	20.00%	29.85%	53.70%	30.88%	27.24%	27.14%	13.16%	23.29%	20.00%	10.34%	31.79%	31.12%	32.08%	35.30%	37.34%	26.29%	21.27%	21.15%	24.51%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	121	5	0	3	3	2	0	2	1	3	0	0	2	3	2	0	0	2	0	0	6	5	0	4	3	0	0	4	1	0	0	0	1	0	1	0	2	1	1	0	16	12	7	11	2	12	4	0	0					
		1.06%	0.91%	0.00%	1.01%	1.19%	6.67%	0.00%	1.53%	0.24%	1.28%	0.00%	0.00%	2.94%	1.42%	0.45%	0.00%	0.00%	1.60%	0.00%	0.00%	1.87%	5.00%	0.00%	1.39%	1.42%	0.00%	0.00%	1.27%	0.76%	0.00%	0.00%	0.00%	1.85%	0.00%	0.41%	0.00%	2.63%	1.37%	0.61%	0.00%	1.48%	1.29%	1.46%	1.86%	0.86%	1.77%	0.62%	0.00%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5485	302	112	143	121	23	80	74	202	126	72	121	40	96	238	89	173	76	30	14	155	38	18	127	88	16	63	158	71	41	82	73	16	35	130	39	47	39	90	41	408	353	190	211	91	287	350	55	41					
		47.94%	55.21%	50.45%	48.31%	47.83%	76.67%	63.49%	56.49%	48.79%	53.62%	56.25%	61.42%	58.82%	45.50%	53.36%	62.24%	57.48%	60.80%	53.57%	34.15%	48.29%	38.00%	90.00%	44.10%	41.71%	61.54%	61.76%	50.32%	53.79%	67.21%	74.55%	54.48%	29.63%	51.47%	52.85%	55.71%	61.84%	53.42%	54.55%	70.69%	37.81%	37.88%	39.58%	35.64%	39.06%	42.39%	54.35%	52.88%	40.20%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	57	2	1	2	3	0	2	1	3	0	0	1	0	0	4	3	2	0	2	0	0	0	0	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	9	2	6	0	2	3	0	0					
		0.50%	0.37%	0.45%	0.68%	1.19%	0.00%	1.59%	0.76%	0.72%	0.00%	0.00%	0.51%	0.00%	0.00%	0.90%	2.10%	0.66%	0.00%	3.57%	0.00%	0.00%	0.00%	0.00%	1.04%	0.47%	0.00%	0.98%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.45%	0.19%	0.97%	0.42%	1.01%	0.00%	0.30%	0.47%	0.00%	0.00%					
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
