Выборы Президента Российской Федерации																																																																											
Дата голосования: 02.03.2008																																																																											
																																																																											
Наименование Избирательной комиссии:    Любинская																																																																											
																																																																											
Сводная таблица результатов выборов																																																																											
																																																																											
	Число участковых избирательных комиссий	68																																																																									
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	68																																																																									
																																																																											
		Сумма	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954					
1	"Число избирателей, включенных в списки избирателей"	29960	1137	198	315	435	70	115	63	649	73	154	44	404	91	101	88	95	526	148	136	145	218	558	390	265	1035	224	251	1752	1339	1336	1263	1189	1066	907	987	980	696	578	703	255	805	220	305	943	246	490	201	117	361	111	56	351	177	195	1108	200	509	136	492	170	167	840	98	117	132	257	58	119					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	30423	1138	197	314	500	73	124	68	700	77	180	45	410	93	98	88	99	520	152	143	149	215	575	396	289	1070	247	260	1700	1300	1300	1200	1150	1050	920	950	970	695	570	665	263	800	229	311	950	249	510	223	121	426	128	72	360	177	199	1160	202	527	136	502	169	176	910	101	129	140	334	70	159					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	24223	822	174	286	348	70	111	63	514	66	140	38	352	87	98	88	94	468	131	129	132	204	525	356	236	727	213	213	1409	1114	1069	941	898	818	704	678	712	474	399	506	179	702	188	174	864	226	402	176	116	307	103	52	285	177	186	881	186	460	128	413	167	162	579	82	115	116	229	58	103					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	2219	107	14	0	32	0	0	0	61	0	0	0	14	0	0	0	0	2	9	0	0	7	22	16	15	133	3	26	112	60	71	121	100	99	69	70	98	83	56	93	40	36	16	79	34	11	42	15	0	51	8	4	27	0	0	104	0	10	3	27	0	4	155	15	0	8	24	0	13					
6	Число погашенных избирательных бюллетеней	3981	209	9	28	120	3	13	5	125	11	40	7	44	6	0	0	5	50	12	14	17	4	28	24	38	210	31	21	179	126	160	138	152	133	147	202	160	138	115	66	44	62	25	58	52	12	66	32	5	68	17	16	48	0	13	175	16	57	5	62	2	10	176	4	14	16	81	12	43					
