Выборы Президента Российской Федерации																																																																															
																																																																															
Наименование Избирательной комиссии:    Любинская																																																																															
																																																																															
Итоги голосования 																																																																															
																																																																															
		Сумма	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485					
1	"Число избирателей, внесенных в список"	28534	1166	87	108	62	217	448	85	135	70	586	113	149	45	65	437	96	123	107	104	522	130	121	110	175	509	334	242	903	199	224	1052	1272	1183	439	1026	1216	896	1018	1126	588	662	561	734	228	740	189	273	898	215	506	175	132	419	125	86	321	166	183	1136	198	521	112	473	157	152	786	95	116	138	309	104	136					
2	Число полученных избирательных бюллетеней	29176	1160	87	116	62	215	440	85	130	70	590	115	152	47	72	430	96	123	109	105	510	139	135	117	176	515	340	240	980	201	238	1440	1270	1190	440	1070	1210	920	1020	1120	595	665	531	665	235	750	215	300	905	215	500	185	135	425	125	95	330	166	185	1150	200	514	111	476	152	149	814	106	118	139	308	102	140					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	22170	709	80	100	59	215	362	82	127	70	473	96	136	37	61	358	96	117	105	100	433	107	107	103	143	460	288	227	688	194	194	1027	985	720	288	744	847	583	768	786	366	385	320	462	151	582	149	198	785	188	368	151	129	332	113	83	272	166	182	861	183	451	103	391	145	135	641	51	116	116	289	99	132					
5	"Число избирательных бюллетеней, выданных вне помещения"	1999	116	6	3	0	0	27	3	0	0	23	3	0	2	0	22	0	0	0	0	6	5	5	0	10	21	12	1	134	5	28	25	58	40	60	95	65	111	53	97	42	70	81	94	43	42	22	39	38	10	82	7	0	86	12	3	18	0	0	45	0	30	8	32	1	10	70	44	0	19	15	0	0					
6	Число погашенных избирательных бюллетеней	5007	335	1	13	3	0	51	0	3	0	94	16	16	8	11	50	0	6	4	5	71	27	23	14	23	34	40	12	158	2	16	388	227	430	92	231	298	226	199	237	187	210	130	109	41	126	44	63	82	17	50	27	6	7	0	9	40	0	3	244	17	33	0	53	6	4	103	11	2	4	4	3	8					
7	Число избирательных бюллетеней в переносных ящиках	1999	116	6	3	0	0	27	3	0	0	23	3	0	2	0	22	0	0	0	0	6	5	5	0	10	21	12	1	134	5	28	25	58	40	60	95	65	111	53	97	42	70	81	94	43	42	22	39	38	10	82	7	0	86	12	3	18	0	0	45	0	30	8	32	1	10	70	44	0	19	15	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	22168	709	80	100	59	215	362	82	127	70	473	96	136	37	60	358	96	117	105	100	432	107	107	103	143	460	288	227	688	194	194	1027	985	720	288	744	847	583	768	786	366	385	320	462	151	582	149	198	785	188	368	151	129	332	113	83	272	166	182	861	183	451	103	391	145	135	641	51	116	116	289	99	132					
9	Число недействительных избирательных бюллетеней	433	13	1	0	0	0	10	0	0	0	5	1	2	0	1	3	11	0	1	0	6	3	1	0	0	3	2	2	13	0	0	22	12	14	5	6	10	0	6	6	3	7	3	10	0	14	5	0	45	1	0	2	2	2	0	0	0	0	2	76	3	37	1	5	2	3	41	0	1	0	8	0	1					
10	Число действительных избирательных бюллетеней	23734	812	85	103	59	215	379	85	127	70	491	98	134	39	59	377	85	117	104	100	432	109	111	103	153	478	298	226	809	199	222	1030	1031	746	343	833	902	694	815	877	405	448	398	546	194	610	166	237	778	197	450	156	127	416	125	86	290	166	180	830	180	444	110	418	144	142	670	95	115	135	296	99	131					
