Выборы Президента Российской Федерации																																																																																																																										
																																																																																																																										
Наименование Избирательной комиссии:    Сергиево-Посадская																																																																																																																										
																																																																																																																										
Итоги голосования 																																																																																																																										
																																																																																																																										
		Сумма	УИК №2471	УИК №2472	УИК №2473	УИК №2474	УИК №2475	УИК №2476	УИК №2477	УИК №2478	УИК №2479	УИК №2480	УИК №2481	УИК №2482	УИК №2483	УИК №2484	УИК №2485	УИК №2486	УИК №2487	УИК №2488	УИК №2489	УИК №2490	УИК №2491	УИК №2492	УИК №2493	УИК №2494	УИК №2495	УИК №2496	УИК №2497	УИК №2498	УИК №2499	УИК №2500	УИК №2501	УИК №2502	УИК №2503	УИК №2504	УИК №2505	УИК №2506	УИК №2507	УИК №2508	УИК №2509	УИК №2510	УИК №2511	УИК №2512	УИК №2513	УИК №2514	УИК №2515	УИК №2516	УИК №2517	УИК №2518	УИК №2519	УИК №2520	УИК №2521	УИК №2522	УИК №2523	УИК №2524	УИК №2525	УИК №2526	УИК №2527	УИК №2528	УИК №2529	УИК №2530	УИК №2531	УИК №2532	УИК №2533	УИК №2534	УИК №2535	УИК №2536	УИК №2537	УИК №2538	УИК №2539	УИК №2540	УИК №2541	УИК №2542	УИК №2543	УИК №2544	УИК №2545	УИК №2546	УИК №2547	УИК №2548	УИК №2549	УИК №2550	УИК №2551	УИК №2552	УИК №2553	УИК №2554	УИК №2555	УИК №2556	УИК №2557	УИК №2558	УИК №2559	УИК №2560	УИК №2561	УИК №2562	УИК №2563	УИК №2564	УИК №2565	УИК №2566	УИК №2567	УИК №2568	УИК №2569	УИК №2570	УИК №2571	УИК №2572	УИК №2573	УИК №2574	УИК №2575	УИК №2576	УИК №2577	УИК №2578	УИК №2579	УИК №2580	УИК №2581	УИК №2582	УИК №2583	УИК №2584	УИК №2585					
1	"Число избирателей, внесенных в список"	196625	2497	2810	1175	903	793	591	2243	2344	2283	1921	1652	510	2704	1913	2606	1986	2748	2262	2578	2610	2748	2577	603	1767	1867	2386	2348	2180	2678	2788	1186	1176	536	1497	2412	2168	1139	2650	2211	2909	2838	1253	2414	2653	2904	2342	2306	1130	1417	1822	866	93	1115	2176	2355	2184	1934	1459	1959	2339	1925	1844	2003	2496	1068	2874	2919	2732	288	1094	2871	2745	2368	191	1146	1228	803	467	164	393	641	1512	1657	1148	2228	2240	1067	2531	2602	1210	1626	749	738	650	703	379	687	855	2682	1054	879	2756	2618	2673	390	1184	1593	2146	870	757	2515	554	640	625	1333					
2	Число полученных избирательных бюллетеней	194620	2468	2792	1155	900	772	583	2240	2329	2281	1905	1569	480	2385	1896	2596	1950	2700	2241	2541	2594	2747	2550	601	1728	1828	2337	2308	2125	2625	2740	1165	1155	462	1426	2396	2141	1121	2437	2191	2908	2799	1237	2414	2613	2862	2342	2323	1114	1428	1811	865	93	1110	2183	2357	2202	1945	1307	1980	2384	1968	1869	1928	2544	1006	2873	2922	2705	298	1095	2841	2732	2385	197	1079	1219	808	460	164	389	625	1490	1636	1132	2153	2241	1080	2506	2565	1236	1611	758	750	662	711	377	695	874	2682	1044	893	2715	2603	2640	535	1189	1590	2149	871	720	2535	560	684	607	1282					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	103851	1296	1388	564	444	365	292	1256	1162	1157	963	760	258	1306	977	1374	896	1359	1074	1297	1243	1373	1337	230	910	965	1222	1133	1007	1190	1325	541	531	276	505	1249	1155	553	1534	1280	1628	1573	726	1280	1404	1556	1152	1137	522	889	910	535	55	561	1069	1260	1162	956	799	1035	1339	1056	971	1117	1375	470	1464	1431	1282	281	554	1476	1556	1227	110	598	639	495	308	121	165	286	715	876	778	1417	1393	579	1740	1776	829	965	318	379	300	359	111	465	473	1513	511	585	1406	1477	1451	377	501	743	1339	556	324	1281	351	505	403	778					
5	"Число избирательных бюллетеней, выданных вне помещения"	6032	25	19	36	11	6	21	24	26	21	27	147	4	324	17	20	101	20	20	19	19	36	33	371	13	19	13	38	145	78	22	87	58	0	140	32	30	20	24	37	37	27	7	28	14	18	31	19	51	9	15	0	13	23	43	31	24	56	60	36	12	18	31	15	13	81	182	90	92	0	71	125	43	35	32	86	21	52	10	9	81	163	54	7	52	83	21	96	20	9	6	18	96	140	82	64	96	33	89	8	68	86	25	15	24	13	147	161	181	109	127	117	63	12	2	1					
6	Число погашенных избирательных бюллетеней	84737	1147	1385	555	445	401	270	960	1141	1103	915	662	218	755	902	1202	953	1321	1147	1225	1332	1338	1180	0	805	844	1102	1137	973	1357	1393	537	566	186	781	1115	956	548	879	874	1243	1199	504	1106	1195	1288	1159	1167	541	530	886	330	25	526	1071	1066	1016	933	448	909	1033	894	867	796	1156	455	1227	1401	1331	17	470	1240	1133	1123	55	395	559	261	142	34	143	176	721	753	302	653	827	405	746	780	401	628	344	231	280	288	170	197	312	1161	465	222	1284	1111	1165	145	541	686	629	206	269	1137	146	167	202	503					
7	Число избирательных бюллетеней в переносных ящиках	6032	25	19	36	11	6	21	24	26	21	27	147	4	324	17	20	101	20	20	19	19	36	33	371	13	19	13	38	145	78	22	87	58	0	140	32	30	20	24	37	37	27	7	28	14	18	31	19	51	9	15	0	13	23	43	31	24	56	60	36	12	18	31	15	13	81	182	90	92	0	71	125	43	35	32	86	21	52	10	9	81	163	54	7	52	83	21	96	20	9	6	18	96	140	82	64	96	33	89	8	68	86	25	15	24	13	147	161	181	109	127	117	63	12	2	1					
8	Число бюллетеней в стационарных ящиках для голосования	103782	1296	1388	564	444	365	292	1256	1162	1157	963	760	258	1306	976	1374	896	1359	1074	1291	1243	1373	1337	230	909	964	1221	1131	1003	1190	1325	535	531	276	505	1249	1152	553	1534	1277	1626	1571	726	1278	1402	1556	1151	1137	522	889	910	535	55	561	1069	1260	1161	956	799	1035	1339	1054	971	1116	1375	470	1464	1426	1278	281	554	1472	1556	1227	110	596	639	494	308	121	165	286	715	874	778	1417	1392	579	1740	1776	829	965	318	379	300	359	111	465	473	1511	510	585	1401	1477	1451	377	501	743	1339	556	324	1281	351	505	403	777					
9	Число недействительных избирательных бюллетеней	899	7	5	7	2	1	5	8	13	6	8	0	6	22	2	8	5	7	3	11	9	20	14	3	13	9	7	8	15	14	3	5	2	3	6	10	10	0	6	2	7	17	4	5	15	7	12	13	10	8	8	3	1	10	22	8	14	12	7	5	15	12	14	11	7	5	11	16	20	8	10	8	11	3	0	4	4	4	8	0	0	0	9	11	18	13	7	15	25	11	7	10	6	9	6	8	2	6	4	9	3	12	6	4	6	4	4	7	10	3	4	14	1	1	0	0					
10	Число действительных избирательных бюллетеней	108915	1314	1402	593	453	370	308	1272	1175	1172	982	907	256	1608	991	1386	992	1372	1091	1299	1253	1389	1356	598	909	974	1227	1161	1133	1254	1344	617	587	273	639	1271	1172	573	1552	1312	1656	1581	729	1301	1401	1567	1170	1143	563	890	917	532	67	574	1090	1283	1171	1000	852	1066	1336	1060	988	1120	1381	546	1635	1500	1350	273	615	1589	1588	1259	142	678	656	542	310	130	246	449	760	870	812	1487	1406	660	1735	1774	828	973	408	510	376	415	205	492	558	1510	575	659	1420	1488	1469	386	644	897	1510	662	447	1384	413	516	405	778					
