Выборы Президента Российской Федерации																																													
																																													
Наименование Избирательной комиссии:    Березовская городская																																													
																																													
Итоги голосования 																																													
																																													
		Сумма	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173					
1	"Число избирателей, внесенных в список"	47291	1547	1967	2716	2883	2766	106	1615	1570	1724	1109	546	668	2347	1709	1116	838	825	463	1607	1743	1258	1696	2763	1249	1250	169	1725	182	163	105	1533	1320	321	1652	1079	160	624	177					
2	Число полученных избирательных бюллетеней	42266	1338	1788	2457	2595	2590	106	1463	1403	1514	977	479	566	2097	1437	971	712	704	396	1414	1520	1073	1530	2562	1094	1107	171	1506	172	165	106	1390	1287	265	1474	952	162	538	185					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	26782	880	1235	1747	1776	1836	29	975	891	928	573	320	358	1358	825	536	454	382	252	969	1003	699	1034	1584	705	510	138	858	87	100	82	807	663	139	1056	439	110	312	132					
5	"Число избирательных бюллетеней, выданных вне помещения"	2192	59	8	22	66	106	77	40	38	74	46	29	51	46	94	58	23	40	19	26	35	18	26	39	67	93	0	108	25	21	11	122	205	65	31	309	0	74	21					
6	Число погашенных избирательных бюллетеней	13292	399	545	688	753	648	0	448	474	512	358	130	157	693	518	377	235	282	125	419	482	356	470	939	322	504	33	540	60	44	13	461	419	61	387	204	52	152	32					
7	Число избирательных бюллетеней в переносных ящиках	2192	59	8	22	66	106	77	40	38	74	46	29	51	46	94	58	23	40	19	26	35	18	26	39	67	93	0	108	25	21	11	122	205	65	31	309	0	74	21					
8	Число бюллетеней в стационарных ящиках для голосования	26779	880	1235	1747	1776	1836	29	975	891	928	573	320	358	1358	825	536	454	382	252	969	1001	699	1033	1584	705	510	138	858	87	100	82	807	663	139	1056	439	110	312	132					
9	Число недействительных избирательных бюллетеней	365	9	14	12	25	12	1	12	9	19	8	4	3	14	16	13	2	6	4	11	22	10	10	33	9	10	0	14	3	4	0	13	6	4	15	5	1	7	5					
10	Число действительных избирательных бюллетеней	28606	930	1229	1757	1817	1930	105	1003	920	983	611	345	406	1390	903	581	475	416	267	984	1014	707	1049	1590	763	593	138	952	109	117	93	916	862	200	1072	743	109	379	148					
11	Число полученных открепительных  удостоверений	825	25	30	50	50	50	0	25	25	30	20	10	10	40	25	20	15	15	10	25	25	25	25	40	20	20	5	25	5	5	5	20	30	10	45	20	5	15	5					
12	Число выданных открепительных удостоверений	303	3	15	26	8	23	0	12	10	7	6	0	0	14	4	5	2	1	4	8	11	3	5	14	11	4	0	14	0	0	0	8	24	5	43	2	0	11	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	246	8	10	3	6	14	3	7	4	8	6	2	3	5	8	4	7	5	2	9	2	5	13	7	6	6	0	11	11	1	3	13	7	8	6	12	0	14	7					
14	Число неиспользованных открепительных удостоверений	522	22	15	24	42	27	0	13	15	23	14	10	10	26	21	15	13	14	6	17	14	22	20	26	9	16	5	11	5	5	5	12	6	5	2	18	5	4	5					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																													
18	. Глазьев Сергей Юрьевич	1041	37	44	82	72	81	4	48	27	34	11	5	13	50	31	11	23	13	7	47	40	39	29	55	33	36	3	26	1	6	2	29	27	16	24	18	5	8	4					
		3.59%	3.94%	3.54%	4.64%	3.91%	4.17%	3.77%	4.73%	2.91%	3.39%	1.78%	1.43%	3.18%	3.56%	3.37%	1.85%	4.82%	3.08%	2.58%	4.72%	3.86%	5.44%	2.74%	3.39%	4.27%	5.97%	2.17%	2.69%	0.89%	4.96%	2.15%	3.12%	3.11%	7.84%	2.21%	2.41%	4.55%	2.07%	2.61%					
19	. Малышкин Олег Александрович	668	24	19	45	30	30	1	27	19	31	22	14	15	27	18	3	12	14	10	15	24	13	20	42	23	4	6	26	1	3	0	43	26	9	24	13	0	14	1					
		2.31%	2.56%	1.53%	2.54%	1.63%	1.54%	0.94%	2.66%	2.05%	3.09%	3.55%	4.01%	3.67%	1.92%	1.96%	0.51%	2.52%	3.32%	3.69%	1.51%	2.32%	1.81%	1.89%	2.59%	2.98%	0.66%	4.35%	2.69%	0.89%	2.48%	0.00%	4.63%	3.00%	4.41%	2.21%	1.74%	0.00%	3.63%	0.65%					
20	. Миронов Сергей Михайлович	206	6	5	4	11	11	1	7	6	10	5	3	4	7	5	4	7	4	1	7	17	6	7	14	10	3	1	1	0	0	2	10	5	1	4	14	0	3	0					
