Выборы Президента Российской Федерации																																					
																																					
Наименование Избирательной комиссии:    Сладковская																																					
																																					
Итоги голосования 																																					
																																					
		Сумма	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576					
1	"Число избирателей, внесенных в список"	10589	515	164	155	126	101	451	161	191	491	87	1308	93	320	131	169	437	59	575	64	215	239	270	167	1069	1556	72	385	145	195	678					
2	Число полученных избирательных бюллетеней	10668	517	164	156	126	104	472	165	188	479	87	1309	93	324	133	166	431	60	581	67	221	245	270	186	1085	1555	78	391	144	199	672					
3	"Число избирательных бюллетеней, выданных  досрочно"	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8528	387	146	138	109	87	342	145	139	395	75	1167	91	257	110	142	367	54	520	64	154	183	204	148	829	1178	66	270	124	156	481					
5	"Число избирательных бюллетеней, выданных вне помещения"	1339	77	11	5	14	14	54	14	46	83	11	87	2	58	19	21	50	5	35	0	59	56	58	14	164	147	4	45	9	28	149					
6	Число погашенных избирательных бюллетеней	740	53	7	13	3	3	76	6	3	1	1	55	0	9	4	3	14	1	26	3	8	6	8	24	92	230	8	15	11	15	42					
7	Число избирательных бюллетеней в переносных ящиках	1400	77	11	5	14	14	54	14	46	83	11	87	2	58	19	21	50	5	35	0	59	56	58	14	164	147	4	106	9	28	149					
8	Число бюллетеней в стационарных ящиках для голосования	8528	387	146	138	109	87	342	145	139	395	75	1167	91	257	110	142	367	54	520	64	154	183	204	148	829	1178	66	270	124	156	481					
9	Число недействительных избирательных бюллетеней	74	4	1	2	1	0	3	5	2	3	1	0	0	5	4	0	8	0	8	1	1	0	3	0	7	11	0	0	0	1	3					
10	Число действительных избирательных бюллетеней	9854	460	156	141	122	101	393	154	183	475	85	1254	93	310	125	163	409	59	547	63	212	239	259	162	986	1314	70	376	133	183	627					
11	Число полученных открепительных  удостоверений	247	17	1	3	1	4	17	4	4	10	4	15	4	10	4	1	10	4	5	4	4	6	1	9	25	50	4	3	4	4	15					
