Выборы Президента Российской Федерации																		
																		
Наименование Избирательной комиссии:    Льговская городская 																		
																		
Итоги голосования 																		
																		
		Сумма	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733					
1	"Число избирателей, внесенных в список"	18194	1597	1552	1602	2554	2273	1490	1465	1321	1465	1423	1452					
2	Число полученных избирательных бюллетеней	16570	1430	1410	1450	2270	2100	1410	1320	1180	1360	1310	1330					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8892	824	821	755	1324	1064	776	776	623	703	588	638					
5	"Число избирательных бюллетеней, выданных вне помещения"	798	76	80	152	75	69	52	42	82	53	83	34					
6	Число погашенных избирательных бюллетеней	6880	530	509	543	871	967	582	502	475	604	639	658					
7	Число избирательных бюллетеней в переносных ящиках	798	76	80	152	75	69	52	42	82	53	83	34					
8	Число бюллетеней в стационарных ящиках для голосования	8891	823	821	755	1324	1064	776	776	623	703	588	638					
9	Число недействительных избирательных бюллетеней	93	6	2	14	10	6	3	14	5	17	6	10					
10	Число действительных избирательных бюллетеней	9596	893	899	893	1389	1127	825	804	700	739	665	662					
11	Число полученных открепительных  удостоверений	150	10	20	10	30	20	10	10	10	10	10	10					
12	Число выданных открепительных удостоверений	99	10	14	9	14	15	8	4	2	9	7	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	156	5	9	83	37	0	8	3	2	2	4	3					
14	Число неиспользованных открепительных удостоверений	51	0	6	1	16	5	2	6	8	1	3	3					
15	"Число открепительных удостоверений, выданных в ТИК"	6	0	1	0	1	0	0	1	0	0	2	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																		
18	. Глазьев Сергей Юрьевич	334	38	38	25	67	34	20	21	20	39	16	16					
		3.45%	4.23%	4.22%	2.76%	4.79%	3.00%	2.42%	2.57%	2.84%	5.16%	2.38%	2.38%					
19	. Малышкин Олег Александрович	287	42	29	30	36	22	32	27	15	15	19	20					
		2.96%	4.67%	3.22%	3.31%	2.57%	1.94%	3.86%	3.30%	2.13%	1.98%	2.83%	2.98%					
20	. Миронов Сергей Михайлович	69	8	9	3	5	9	8	5	9	5	2	6					
		0.71%	0.89%	1.00%	0.33%	0.36%	0.79%	0.97%	0.61%	1.28%	0.66%	0.30%	0.89%					
21	. Путин Владимир Владимирович	6244	575	571	606	870	734	541	536	425	517	441	428					
		64.44%	63.96%	63.37%	66.81%	62.19%	64.78%	65.34%	65.53%	60.28%	68.39%	65.72%	63.69%					
22	. Хакамада Ирина Муцуовна	174	16	20	17	28	28	10	13	9	11	15	7					
		1.80%	1.78%	2.22%	1.87%	2.00%	2.47%	1.21%	1.59%	1.28%	1.46%	2.24%	1.04%					
23	. Харитонов Николай Михайлович	2241	190	202	181	352	281	195	188	208	136	147	161					
		23.13%	21.13%	22.42%	19.96%	25.16%	24.80%	23.55%	22.98%	29.50%	17.99%	21.91%	23.96%					
																		
24	Против всех	247	24	30	31	31	19	19	14	14	16	25	24					
		2.55%	2.67%	3.33%	3.42%	2.22%	1.68%	2.29%	1.71%	1.99%	2.12%	3.73%	3.57%					
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
