Выборы Президента Российской Федерации																																																			
																																																			
Наименование Избирательной комиссии:    Старорусская																																																			
																																																			
Итоги голосования 																																																			
																																																			
		Сумма	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492					
1	"Число избирателей, внесенных в список"	41551	330	523	648	505	474	371	373	395	1181	427	592	347	345	1015	611	1074	465	315	157	633	318	392	406	126	1246	926	2090	1673	1383	2605	1232	1515	1419	1028	1072	2125	1864	2117	2122	758	949	521	2753	130					
2	Число полученных избирательных бюллетеней	41380	328	521	644	500	474	375	371	393	1178	432	588	345	343	1013	604	1074	466	318	161	640	321	386	407	126	1241	929	2073	1671	1370	2572	1188	1531	1418	1025	1046	2115	1856	2116	2107	761	948	522	2751	132					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	20615	147	270	329	299	293	254	165	275	668	231	306	143	239	530	414	595	216	164	84	482	178	217	217	99	552	466	1029	907	665	1345	640	559	595	395	378	846	951	1124	916	302	346	244	1443	97					
5	"Число избирательных бюллетеней, выданных вне помещения"	2593	121	108	145	129	94	100	126	48	105	82	112	100	18	65	48	206	154	76	45	30	76	36	87	21	26	11	12	22	28	40	25	28	30	26	36	15	16	23	29	27	28	22	17	0					
6	Число погашенных избирательных бюллетеней	18172	60	143	170	72	87	21	80	70	405	119	170	102	86	418	142	273	96	78	32	128	67	133	103	6	663	452	1032	742	677	1187	523	944	793	604	632	1254	889	969	1162	432	574	256	1291	35					
7	Число избирательных бюллетеней в переносных ящиках	2593	121	108	145	129	94	100	126	48	105	82	112	100	18	65	48	206	154	76	45	30	76	36	87	21	26	11	12	22	28	40	25	28	30	26	36	15	16	23	29	27	28	22	17	0					
8	Число бюллетеней в стационарных ящиках для голосования	20611	147	270	329	299	293	254	165	275	668	231	306	143	239	530	414	595	216	164	84	482	178	217	217	99	552	465	1029	907	665	1345	640	559	595	395	378	846	951	1124	916	302	346	244	1440	97					
9	Число недействительных избирательных бюллетеней	108	0	1	3	2	1	0	1	0	0	1	2	0	0	2	1	2	1	1	1	4	0	0	2	0	2	0	5	5	5	5	0	7	4	7	5	4	5	7	8	6	1	3	4	0					
10	Число действительных избирательных бюллетеней	23096	268	377	471	426	386	354	290	323	773	312	416	243	257	593	461	799	369	239	128	508	254	253	302	120	576	476	1036	924	688	1380	665	580	621	414	409	857	962	1140	937	323	373	263	1453	97					
11	Число полученных открепительных  удостоверений	489	5	5	10	5	10	5	5	5	10	10	10	10	5	15	5	15	5	5	5	5	5	5	5	2	15	10	20	15	15	20	15	15	10	40	15	20	20	20	20	10	10	10	20	2					
12	Число выданных открепительных удостоверений	121	1	1	0	1	0	2	1	0	2	2	0	0	0	3	1	2	0	0	0	2	3	4	0	0	0	0	7	2	4	4	2	1	1	28	2	6	4	9	6	1	1	3	15	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	102	0	2	0	3	0	2	0	1	2	2	0	0	1	1	1	2	0	0	0	1	0	2	0	0	1	1	2	4	3	8	42	1	3	1	0	3	3	3	2	2	0	1	2	0					
14	Число неиспользованных открепительных удостоверений	368	4	4	10	4	10	3	4	5	8	8	10	10	5	12	4	13	5	5	5	3	2	1	5	2	15	10	13	13	11	16	13	14	9	12	13	14	16	11	14	9	9	7	5	2					
15	"Число открепительных удостоверений, выданных в ТИК"	7	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																			
18	. Глазьев Сергей Юрьевич	893	2	10	11	8	13	2	6	4	17	15	13	14	4	27	6	22	10	3	1	7	1	4	3	1	26	34	60	68	40	82	40	25	24	12	26	23	51	53	34	13	9	12	55	2					
		3.85%	0.75%	2.65%	2.32%	1.87%	3.36%	0.56%	2.06%	1.24%	2.20%	4.79%	3.11%	5.76%	1.56%	4.54%	1.30%	2.75%	2.70%	1.25%	0.78%	1.37%	0.39%	1.58%	0.99%	0.83%	4.50%	7.14%	5.76%	7.32%	5.77%	5.92%	6.02%	4.26%	3.84%	2.85%	6.28%	2.67%	5.27%	4.62%	3.60%	3.95%	2.41%	4.51%	3.77%	2.06%					
19	. Малышкин Олег Александрович	569	11	10	7	9	10	9	13	7	15	13	6	11	8	18	7	22	16	6	0	16	1	7	2	2	20	10	21	18	11	21	16	8	9	16	12	27	33	27	26	12	7	7	40	2					
		2.45%	4.10%	2.65%	1.48%	2.10%	2.58%	2.54%	4.47%	2.17%	1.94%	4.15%	1.44%	4.53%	3.11%	3.03%	1.52%	2.75%	4.32%	2.50%	0.00%	3.12%	0.39%	2.77%	0.66%	1.67%	3.46%	2.10%	2.02%	1.94%	1.59%	1.52%	2.41%	1.36%	1.44%	3.80%	2.90%	3.14%	3.41%	2.35%	2.75%	3.65%	1.87%	2.63%	2.75%	2.06%					
20	. Миронов Сергей Михайлович	247	4	8	3	0	2	0	6	1	13	4	8	6	1	6	4	12	3	2	2	1	2	4	0	0	4	5	7	12	9	16	9	10	5	3	3	10	8	14	15	2	3	3	16	1					
		1.06%	1.49%	2.12%	0.63%	0.00%	0.52%	0.00%	2.06%	0.31%	1.68%	1.28%	1.91%	2.47%	0.39%	1.01%	0.87%	1.50%	0.81%	0.83%	1.55%	0.20%	0.79%	1.58%	0.00%	0.00%	0.69%	1.05%	0.67%	1.29%	1.30%	1.16%	1.35%	1.70%	0.80%	0.71%	0.72%	1.16%	0.83%	1.22%	1.59%	0.61%	0.80%	1.13%	1.10%	1.03%					
21	. Путин Владимир Владимирович	15442	173	231	374	320	297	306	179	251	578	228	313	134	191	444	377	565	267	189	107	371	230	181	260	109	372	278	594	531	438	886	399	350	385	273	239	554	594	715	575	183	235	167	930	69					
		66.55%	64.55%	61.11%	78.90%	74.77%	76.74%	86.44%	61.51%	77.71%	74.77%	72.84%	74.88%	55.14%	74.32%	74.62%	81.60%	70.54%	72.16%	78.75%	82.95%	72.46%	90.55%	71.54%	85.53%	90.83%	64.36%	58.40%	57.06%	57.16%	63.20%	63.97%	60.00%	59.63%	61.60%	64.85%	57.73%	64.34%	61.43%	62.34%	60.85%	55.62%	62.83%	62.78%	63.83%	71.13%					
22	. Хакамада Ирина Муцуовна	605	4	4	1	15	3	3	7	8	22	5	7	7	6	14	9	18	2	2	1	6	4	1	3	2	17	21	24	29	22	48	14	24	19	18	15	21	26	32	31	6	11	8	59	6					
		2.61%	1.49%	1.06%	0.21%	3.50%	0.78%	0.85%	2.41%	2.48%	2.85%	1.60%	1.67%	2.88%	2.33%	2.35%	1.95%	2.25%	0.54%	0.83%	0.78%	1.17%	1.57%	0.40%	0.99%	1.67%	2.94%	4.41%	2.31%	3.12%	3.17%	3.47%	2.11%	4.09%	3.04%	4.28%	3.62%	2.44%	2.69%	2.79%	3.28%	1.82%	2.94%	3.01%	4.05%	6.19%					
23	. Харитонов Николай Михайлович	4576	67	109	61	67	51	27	68	47	104	43	60	66	45	68	48	135	70	34	15	89	14	43	29	6	117	116	279	238	145	280	153	146	159	78	99	192	215	249	222	98	94	47	272	11					
		19.72%	25.00%	28.84%	12.87%	15.65%	13.18%	7.63%	23.37%	14.55%	13.45%	13.74%	14.35%	27.16%	17.51%	11.43%	10.39%	16.85%	18.92%	14.17%	11.63%	17.38%	5.51%	17.00%	9.54%	5.00%	20.24%	24.37%	26.80%	25.62%	20.92%	20.22%	23.01%	24.87%	25.44%	18.53%	23.91%	22.30%	22.23%	21.71%	23.49%	29.79%	25.13%	17.67%	18.67%	11.34%					
																																																			
24	Против всех	764	7	5	14	7	10	7	11	5	24	4	9	5	2	16	10	25	1	3	2	18	2	13	5	0	20	12	51	28	23	47	34	17	20	14	15	30	35	50	34	9	14	19	81	6					
		3.29%	2.61%	1.32%	2.95%	1.64%	2.58%	1.98%	3.78%	1.55%	3.10%	1.28%	2.15%	2.06%	0.78%	2.69%	2.16%	3.12%	0.27%	1.25%	1.55%	3.52%	0.79%	5.14%	1.64%	0.00%	3.46%	2.52%	4.90%	3.01%	3.32%	3.39%	5.11%	2.90%	3.20%	3.33%	3.62%	3.48%	3.62%	4.36%	3.60%	2.74%	3.74%	7.14%	5.56%	6.19%					
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
