Выборы Президента Российской Федерации																														
																														
Наименование Избирательной комиссии:    Дмитровская																														
																														
Итоги голосования 																														
																														
		Сумма	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269					
1	"Число избирателей, внесенных в список"	11640	399	240	352	165	321	126	494	420	144	314	246	611	475	314	121	254	159	481	528	373	146	2197	2760					
2	Число полученных избирательных бюллетеней	11894	401	243	355	179	328	127	493	412	158	317	248	637	478	320	126	262	180	489	569	386	150	2255	2781					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7365	239	197	226	144	214	112	305	234	86	192	120	448	310	159	94	143	107	241	261	225	119	1429	1760					
5	"Число избирательных бюллетеней, выданных вне помещения"	2232	95	22	113	15	82	0	165	146	45	85	87	156	86	93	18	85	36	156	187	133	23	245	159					
6	Число погашенных избирательных бюллетеней	2297	67	24	16	20	32	15	23	32	27	40	41	33	82	68	14	34	37	92	121	28	8	581	862					
7	Число избирательных бюллетеней в переносных ящиках	2232	95	22	113	15	82	0	165	146	45	85	87	156	86	93	18	85	36	156	187	133	23	245	159					
8	Число бюллетеней в стационарных ящиках для голосования	7364	239	197	226	144	214	112	305	234	86	192	120	448	310	159	94	143	106	241	261	225	119	1429	1760					
9	Число недействительных избирательных бюллетеней	70	1	2	1	4	0	0	5	1	0	3	1	6	4	4	0	0	0	1	2	2	0	15	18					
10	Число действительных избирательных бюллетеней	9526	333	217	338	155	296	112	465	379	131	274	206	598	392	248	112	228	142	396	446	356	142	1659	1901					
11	Число полученных открепительных  удостоверений	200	6	6	6	5	6	5	6	6	5	6	6	8	8	6	5	6	5	8	8	6	5	36	36					
12	Число выданных открепительных удостоверений	101	0	3	1	0	4	0	5	0	0	0	3	3	5	0	0	0	3	0	2	6	0	30	36					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	57	1	0	0	1	2	1	2	0	1	2	1	3	6	1	0	5	0	2	1	2	1	15	10					
14	Число неиспользованных открепительных удостоверений	99	6	3	5	5	2	5	1	6	5	6	3	5	3	6	5	6	2	8	6	0	5	6	0					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																														
18	. Глазьев Сергей Юрьевич	354	6	7	14	1	4	0	14	15	2	5	3	10	22	9	1	6	2	10	8	13	3	82	117					
		3.69%	1.80%	3.20%	4.13%	0.63%	1.35%	0.00%	2.98%	3.95%	1.53%	1.81%	1.45%	1.66%	5.56%	3.57%	0.89%	2.63%	1.41%	2.52%	1.79%	3.63%	2.11%	4.90%	6.10%					
19	. Малышкин Олег Александрович	276	7	7	13	5	4	4	15	10	0	3	4	9	12	2	2	1	2	8	32	16	6	50	64					
		2.88%	2.10%	3.20%	3.83%	3.14%	1.35%	3.57%	3.19%	2.63%	0.00%	1.08%	1.93%	1.49%	3.03%	0.79%	1.79%	0.44%	1.41%	2.02%	7.14%	4.47%	4.23%	2.99%	3.34%					
20	. Миронов Сергей Михайлович	73	0	1	2	0	2	3	5	4	1	1	1	2	1	4	2	1	1	0	1	1	1	21	18					
