Выборы Президента Российской Федерации																								
																								
Наименование Избирательной комиссии:    Малокарачаевская																								
																								
Итоги голосования 																								
																								
		Сумма	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162					
1	"Число избирателей, внесенных в список"	27312	398	287	2433	1684	1127	1957	1261	2394	2172	2753	1832	1929	2052	2167	550	1294	1022					
2	Число полученных избирательных бюллетеней	27033	389	381	2373	1689	1113	1920	1211	2321	2149	2753	1807	1901	2022	2131	550	1297	1026					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	24829	358	259	2041	1548	947	1837	1154	2127	1894	2650	1719	1641	1946	2062	524	1187	935					
5	"Число избирательных бюллетеней, выданных вне помещения"	746	25	2	77	52	58	52	11	30	31	40	31	86	67	41	20	41	82					
6	Число погашенных избирательных бюллетеней	1458	6	120	255	89	108	31	46	164	224	63	57	174	9	28	6	69	9					
7	Число избирательных бюллетеней в переносных ящиках	746	25	2	77	52	58	52	11	30	31	40	31	86	67	41	20	41	82					
8	Число бюллетеней в стационарных ящиках для голосования	24818	358	259	2041	1548	947	1837	1143	2127	1894	2650	1719	1641	1946	2062	524	1187	935					
9	Число недействительных избирательных бюллетеней	38	1	0	0	0	7	4	4	0	0	16	3	2	1	0	0	0	0					
10	Число действительных избирательных бюллетеней	25526	382	261	2118	1600	998	1885	1150	2157	1925	2674	1747	1725	2012	2103	544	1228	1017					
11	Число полученных открепительных  удостоверений	149	3	2	12	6	6	11	7	13	12	15	10	13	11	12	4	7	5					
12	Число выданных открепительных удостоверений	43	0	0	6	3	0	0	7	6	2	2	3	11	0	3	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	17	4	2	0	0	1	0	1	0	2	0	4	1	1	1	0	0	0					
14	Число неиспользованных открепительных удостоверений	106	3	2	6	3	6	11	0	7	10	13	7	2	11	9	4	7	5					
15	"Число открепительных удостоверений, выданных в ТИК"	4	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																								
18	. Глазьев Сергей Юрьевич	317	1	0	34	24	17	40	21	36	20	46	18	20	19	7	1	11	2					
		1.24%	0.26%	0.00%	1.61%	1.50%	1.69%	2.12%	1.82%	1.67%	1.04%	1.71%	1.03%	1.16%	0.94%	0.33%	0.18%	0.90%	0.20%					
19	. Малышкин Олег Александрович	69	3	0	1	13	5	3	8	10	9	5	0	5	3	3	0	0	1					
		0.27%	0.78%	0.00%	0.05%	0.81%	0.50%	0.16%	0.69%	0.46%	0.47%	0.19%	0.00%	0.29%	0.15%	0.14%	0.00%	0.00%	0.10%					
20	. Миронов Сергей Михайлович	72	1	0	9	14	4	7	3	2	2	13	9	4	0	3	1	0	0					
		0.28%	0.26%	0.00%	0.42%	0.88%	0.40%	0.37%	0.26%	0.09%	0.10%	0.48%	0.51%	0.23%	0.00%	0.14%	0.18%	0.00%	0.00%					
21	. Путин Владимир Владимирович	22207	352	250	1808	1276	837	1625	941	1907	1623	2247	1520	1520	1812	2046	501	973	969					
		86.87%	91.91%	95.79%	85.36%	79.75%	83.28%	86.02%	81.54%	88.41%	84.31%	83.53%	86.86%	88.01%	90.01%	97.29%	92.10%	79.23%	95.28%					
22	. Хакамада Ирина Муцуовна	420	4	3	57	55	20	24	32	29	32	51	34	12	33	27	2	0	5					
		1.64%	1.04%	1.15%	2.69%	3.44%	1.99%	1.27%	2.77%	1.34%	1.66%	1.90%	1.94%	0.69%	1.64%	1.28%	0.37%	0.00%	0.49%					
23	. Харитонов Николай Михайлович	2082	21	8	165	206	92	151	111	146	187	250	160	142	123	12	39	229	40					
		8.14%	5.48%	3.07%	7.79%	12.88%	9.15%	7.99%	9.62%	6.77%	9.71%	9.29%	9.14%	8.22%	6.11%	0.57%	7.17%	18.65%	3.93%					
																								
24	Против всех	359	0	0	44	12	23	35	34	27	52	62	6	22	22	5	0	15	0					
		1.40%	0.00%	0.00%	2.08%	0.75%	2.29%	1.85%	2.95%	1.25%	2.70%	2.30%	0.34%	1.27%	1.09%	0.24%	0.00%	1.22%	0.00%					
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
