Выборы Президента Российской Федерации																																																				
																																																				
Наименование Избирательной комиссии:    Шаранская																																																				
																																																				
Итоги голосования 																																																				
																																																				
		Сумма	УИК №3532	УИК №3533	УИК №3534	УИК №3535	УИК №3536	УИК №3537	УИК №3538	УИК №3539	УИК №3540	УИК №3541	УИК №3542	УИК №3543	УИК №3544	УИК №3545	УИК №3546	УИК №3547	УИК №3548	УИК №3549	УИК №3550	УИК №3551	УИК №3552	УИК №3553	УИК №3554	УИК №3555	УИК №3556	УИК №3557	УИК №3558	УИК №3559	УИК №3560	УИК №3561	УИК №3562	УИК №3563	УИК №3564	УИК №3565	УИК №3566	УИК №3567	УИК №3568	УИК №3569	УИК №3570	УИК №3571	УИК №3572	УИК №3573	УИК №3574	УИК №3575	УИК №3576					
1	"Число избирателей, внесенных в список"	16284	430	173	174	464	562	407	217	354	280	200	318	695	175	96	547	315	340	145	354	195	161	545	100	202	615	97	336	316	320	230	144	292	432	191	137	200	143	631	436	709	1305	934	637	584	146					
2	Число полученных избирательных бюллетеней	16439	455	181	189	467	562	409	217	381	277	200	322	705	175	97	554	318	344	147	356	195	165	546	104	208	617	100	338	317	324	230	144	295	432	191	142	201	143	635	437	703	1307	938	641	584	146					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	15029	392	165	152	421	533	368	186	306	248	187	314	656	164	96	447	291	280	106	233	141	155	533	95	186	582	85	317	303	285	208	90	245	384	159	132	196	143	625	425	673	1274	913	629	560	146					
5	"Число избирательных бюллетеней, выданных вне помещения"	1188	37	8	22	43	29	39	31	44	29	13	4	37	11	0	96	24	60	39	121	54	6	11	5	16	30	9	17	10	33	22	54	47	48	32	5	0	0	6	11	30	17	13	8	17	0					
6	Число погашенных избирательных бюллетеней	222	26	8	15	3	0	2	0	31	0	0	4	12	0	1	11	3	4	2	2	0	4	2	4	6	5	6	4	4	6	0	0	3	0	0	5	5	0	4	1	0	16	12	4	7	0					
7	Число избирательных бюллетеней в переносных ящиках	1188	37	8	22	43	29	39	31	44	29	13	4	37	11	0	96	24	60	39	121	54	6	11	5	16	30	9	17	10	33	22	54	47	48	32	5	0	0	6	11	30	17	13	8	17	0					
8	Число бюллетеней в стационарных ящиках для голосования	15029	392	165	152	421	533	368	186	306	248	187	314	656	164	96	447	291	280	106	233	141	155	533	95	186	582	85	317	303	285	208	90	245	384	159	132	196	143	625	425	673	1274	913	629	560	146					
9	Число недействительных избирательных бюллетеней	5	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	16212	429	173	174	464	561	407	217	350	277	200	318	692	175	96	543	315	340	145	353	195	161	544	100	202	612	94	332	313	318	230	144	292	432	191	137	196	143	631	436	703	1291	926	637	577	146					
11	Число полученных открепительных  удостоверений	350	25	10	20	5	5	8	5	30	5	5	5	12	5	4	15	5	5	3	5	3	3	12	5	5	5	3	5	5	5	5	5	5	10	7	5	5	5	5	5	23	20	6	6	5	5					
12	Число выданных открепительных удостоверений	229	25	10	16	5	3	4	5	30	3	5	2	9	0	0	14	2	1	2	5	0	3	0	5	5	1	3	0	0	2	2	3	3	0	1	5	1	0	0	2	23	17	6	6	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	88	1	3	1	0	1	0	0	3	2	6	0	2	1	1	3	0	7	0	1	2	0	1	2	1	2	0	0	0	1	2	1	0	2	0	4	1	0	0	0	10	5	4	8	9	1					
