Выборы Президента Российской Федерации																																																							
																																																							
Наименование Избирательной комиссии:    Мичуринская городская																																																							
																																																							
Итоги голосования 																																																							
																																																							
		Сумма	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161					
1	"Число избирателей, внесенных в список"	68146	1443	1345	1325	1577	1272	1203	1233	1039	2016	1543	1349	814	1931	1139	834	1009	1476	1343	1276	1351	1797	1060	1210	2307	2252	2230	1705	1701	1846	1416	953	1352	812	1207	1136	1500	1811	1770	752	1098	1147	1429	1441	1048	2187	1407	1509	1545					
2	Число полученных избирательных бюллетеней	78100	1600	1550	1530	1840	1400	1480	1560	1170	2410	1830	1440	960	2230	1200	890	1215	1560	1390	1440	1770	2180	1210	1390	2770	2415	2370	1900	1820	2090	1670	1100	1670	930	1430	1200	1630	2025	1740	900	1415	1170	1800	1700	1350	2480	1680	1825	1775					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	42756	863	801	757	1118	832	823	781	471	1157	994	885	490	1399	752	464	524	869	765	863	1120	1244	600	825	1492	1429	1270	1036	1130	1078	913	617	839	365	635	539	915	1101	1190	507	693	706	865	652	773	1324	1029	1144	1117					
5	"Число избирательных бюллетеней, выданных вне помещения"	5746	129	118	187	86	92	137	65	131	147	231	129	162	86	110	166	73	73	135	90	79	87	223	101	151	105	93	168	148	92	61	42	166	156	234	158	86	70	79	99	213	77	71	240	86	98	73	69	74					
6	Число погашенных избирательных бюллетеней	29598	608	631	586	636	476	520	714	568	1106	605	426	308	745	338	260	618	618	490	487	571	849	387	464	1127	881	1007	696	542	920	696	441	665	409	561	503	629	854	471	294	509	387	864	808	491	1058	578	612	584					
7	Число избирательных бюллетеней в переносных ящиках	5745	129	118	187	86	92	137	65	130	147	231	129	162	86	110	166	73	73	135	90	79	87	223	101	151	105	93	168	148	92	61	42	166	156	234	158	86	70	79	99	213	77	71	240	86	98	73	69	74					
8	Число бюллетеней в стационарных ящиках для голосования	42606	863	801	757	1118	829	823	778	471	1157	994	756	490	1399	752	464	524	868	761	863	1120	1239	600	825	1492	1429	1270	1036	1128	1078	913	617	838	365	635	539	915	1100	1189	507	693	706	865	652	773	1324	1029	1144	1117					
9	Число недействительных избирательных бюллетеней	404	15	8	8	17	6	4	7	3	7	6	3	5	14	6	5	0	3	6	12	14	23	13	9	5	7	15	7	5	10	11	10	9	2	10	5	12	3	10	0	4	10	3	0	0	7	8	26	31					
10	Число действительных избирательных бюллетеней	47947	977	911	936	1187	915	956	836	598	1297	1219	882	647	1471	856	625	597	938	890	941	1185	1303	810	917	1638	1527	1348	1197	1271	1160	963	649	995	519	859	692	989	1167	1258	606	902	773	933	892	859	1415	1094	1187	1160					
