Выборы Президента Российской Федерации																																			
																																			
Наименование Избирательной комиссии:    Осинская																																			
																																			
Итоги голосования 																																			
																																			
		Сумма	УИК  130	УИК  131	УИК  132	УИК  133	УИК  134	УИК  135	УИК  136	УИК  137	УИК  138	УИК  139	УИК  140	УИК  141	УИК  142	УИК  143	УИК  144	УИК  145	УИК  146	УИК  147	УИК  148	УИК  149	УИК  150	УИК  151	УИК  152	УИК  153	УИК  154	УИК  155	УИК  156	УИК  157					
1	"Число избирателей, внесенных в список"	12226	75	136	663	130	228	434	203	236	287	525	744	958	925	392	684	482	232	431	139	757	218	193	1196	659	493	162	544	100					
2	Число полученных избирательных бюллетеней	12360	75	140	615	130	230	420	235	240	280	540	760	950	945	380	680	480	260	435	145	760	225	210	1250	600	520	160	600	95					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8522	47	108	342	106	187	326	179	173	226	323	434	624	605	211	466	376	214	331	87	502	142	161	921	424	388	127	423	69					
5	"Число избирательных бюллетеней, выданных вне помещения"	769	6	10	45	13	9	22	24	22	27	52	54	57	51	48	43	18	18	24	6	31	33	12	32	31	17	14	25	25					
6	Число погашенных избирательных бюллетеней	3069	22	22	228	11	34	72	32	45	27	165	272	269	289	121	171	86	28	80	52	227	50	37	297	145	115	19	152	1					
7	Число избирательных бюллетеней в переносных ящиках	769	6	10	45	13	9	22	24	22	27	52	54	57	51	48	43	18	18	24	6	31	33	12	32	31	17	14	25	25					
8	Число бюллетеней в стационарных ящиках для голосования	8522	47	108	342	106	187	326	179	173	226	323	434	624	605	211	466	376	214	331	87	502	142	161	921	424	388	127	423	69					
9	Число недействительных избирательных бюллетеней	130	0	0	6	0	0	6	4	2	5	3	7	9	11	8	5	6	5	3	2	13	4	4	10	7	6	0	3	1					
10	Число действительных избирательных бюллетеней	9161	53	118	381	119	196	342	199	193	248	372	481	672	645	251	504	388	227	352	91	520	171	169	943	448	399	141	445	93					
11	Число полученных открепительных  удостоверений	280	5	5	10	5	5	10	5	5	5	10	20	20	20	10	10	10	10	10	5	15	10	10	25	10	10	5	10	5					
12	Число выданных открепительных удостоверений	58	0	0	0	1	0	0	0	0	0	3	9	5	14	1	2	1	0	5	0	2	2	4	1	2	2	1	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	49	2	2	2	0	1	0	2	2	1	1	2	7	2	1	1	0	3	1	0	3	1	4	2	2	2	1	3	1					
14	Число неиспользованных открепительных удостоверений	222	5	5	10	4	5	10	5	5	5	7	11	15	6	9	8	9	10	5	5	13	8	6	24	8	8	4	7	5					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																			
18	. Глазьев Сергей Юрьевич	188	0	6	7	0	0	2	6	5	10	2	12	8	19	9	8	2	8	4	2	16	5	2	20	9	6	2	17	1					
		2.02%	0.00%	5.08%	1.81%	0.00%	0.00%	0.57%	2.96%	2.56%	3.95%	0.53%	2.46%	1.17%	2.90%	3.47%	1.57%	0.51%	3.45%	1.13%	2.15%	3.00%	2.86%	1.16%	2.10%	1.98%	1.48%	1.42%	3.79%	1.06%					
19	. Малышкин Олег Александрович	202	0	2	6	2	12	3	1	1	0	12	4	11	12	14	14	4	15	3	7	10	9	0	45	5	2	0	7	1					
		2.17%	0.00%	1.69%	1.55%	1.68%	6.12%	0.86%	0.49%	0.51%	0.00%	3.20%	0.82%	1.62%	1.83%	5.41%	2.75%	1.02%	6.47%	0.85%	7.53%	1.88%	5.14%	0.00%	4.72%	1.10%	0.49%	0.00%	1.56%	1.06%					
20	. Миронов Сергей Михайлович	67	0	2	2	1	0	2	0	0	2	3	7	9	7	1	2	1	2	2	1	0	0	0	8	7	3	3	2	0					
		0.72%	0.00%	1.69%	0.52%	0.84%	0.00%	0.57%	0.00%	0.00%	0.79%	0.80%	1.43%	1.32%	1.07%	0.39%	0.39%	0.25%	0.86%	0.56%	1.08%	0.00%	0.00%	0.00%	0.84%	1.54%	0.74%	2.13%	0.45%	0.00%					
21	. Путин Владимир Владимирович	6885	47	93	270	99	161	302	154	149	184	295	361	500	487	182	394	289	121	294	61	373	125	124	679	314	297	100	352	78					
		74.10%	88.68%	78.81%	69.77%	83.19%	82.14%	86.78%	75.86%	76.41%	72.73%	78.67%	73.98%	73.42%	74.24%	70.27%	77.41%	73.35%	52.16%	82.82%	65.59%	69.98%	71.43%	71.68%	71.25%	69.01%	73.33%	70.92%	78.57%	82.98%					
22	. Хакамада Ирина Муцуовна	532	3	1	45	0	3	4	14	18	25	8	31	33	53	9	22	21	3	17	4	48	5	28	34	20	35	17	28	3					
		5.73%	5.66%	0.85%	11.63%	0.00%	1.53%	1.15%	6.90%	9.23%	9.88%	2.13%	6.35%	4.85%	8.08%	3.47%	4.32%	5.33%	1.29%	4.79%	4.30%	9.01%	2.86%	16.18%	3.57%	4.40%	8.64%	12.06%	6.25%	3.19%					
23	. Харитонов Николай Михайлович	1199	2	12	48	17	18	25	23	18	27	49	57	103	61	32	61	70	77	30	8	67	22	15	148	91	53	18	37	10					
		12.90%	3.77%	10.17%	12.40%	14.29%	9.18%	7.18%	11.33%	9.23%	10.67%	13.07%	11.68%	15.12%	9.30%	12.36%	11.98%	17.77%	33.19%	8.45%	8.60%	12.57%	12.57%	8.67%	15.53%	20.00%	13.09%	12.77%	8.26%	10.64%					
																																			
24	Против всех	88	1	2	3	0	2	4	1	2	0	3	9	8	6	4	3	1	1	2	8	6	5	0	9	2	3	1	2	0					
		0.95%	1.89%	1.69%	0.78%	0.00%	1.02%	1.15%	0.49%	1.03%	0.00%	0.80%	1.84%	1.17%	0.91%	1.54%	0.59%	0.25%	0.43%	0.56%	8.60%	1.13%	2.86%	0.00%	0.94%	0.44%	0.74%	0.71%	0.45%	0.00%					
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
