Выборы Президента Российской Федерации																																																
																																																
Наименование Избирательной комиссии:    Шербакульская																																																
																																																
Итоги голосования 																																																
																																																
		Сумма	УИК №1395	УИК №1396	УИК №1397	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435					
1	"Число избирателей, внесенных в список"	17400	1969	1953	1887	611	102	160	770	113	63	109	914	41	115	1034	174	162	341	115	714	276	281	90	176	1020	94	855	314	291	100	123	134	625	141	121	73	514	162	92	143	124	304					
2	Число полученных избирательных бюллетеней	16484	1745	1791	1749	560	109	168	699	118	67	110	835	47	120	939	176	165	358	116	672	278	300	92	179	954	98	819	324	295	121	128	139	561	151	121	78	472	161	95	142	127	305					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	12160	1108	1056	1100	422	77	141	538	93	62	102	741	37	106	777	143	119	269	102	558	203	179	74	162	729	89	516	278	225	76	79	103	543	134	116	67	337	113	80	136	119	251					
5	"Число избирательных бюллетеней, выданных вне помещения"	726	147	62	86	27	9	0	25	7	0	0	28	0	5	40	0	0	11	0	29	23	15	1	0	49	5	60	10	4	3	6	0	6	1	4	5	52	6	0	0	0	0					
6	Число погашенных избирательных бюллетеней	3598	490	673	563	111	23	27	136	18	5	8	66	10	9	122	33	46	78	14	85	52	106	17	17	176	4	243	36	66	42	43	36	12	16	1	6	83	42	15	6	8	54					
7	Число избирательных бюллетеней в переносных ящиках	726	147	62	86	27	9	0	25	7	0	0	28	0	5	40	0	0	11	0	29	23	15	1	0	49	5	60	10	4	3	6	0	6	1	4	5	52	6	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	12160	1108	1056	1100	422	77	141	538	93	62	102	741	37	106	777	143	119	269	102	558	203	179	74	162	729	89	516	278	225	76	79	103	543	134	116	67	337	113	80	136	119	251					
9	Число недействительных избирательных бюллетеней	148	12	12	7	3	2	0	8	0	0	2	7	0	1	10	3	4	2	0	8	4	0	2	0	14	0	8	3	3	1	1	2	11	2	0	1	6	1	1	0	1	6					
10	Число действительных избирательных бюллетеней	12738	1243	1106	1179	446	84	141	555	100	62	100	762	37	110	807	140	115	278	102	579	222	194	73	162	764	94	568	285	226	78	84	101	538	133	120	71	383	118	79	136	118	245					
11	Число полученных открепительных  удостоверений	610	30	30	30	20	10	10	20	10	10	10	20	10	10	30	10	10	20	10	20	10	20	10	10	30	10	20	10	10	10	10	10	20	10	10	10	20	10	10	10	10	20					
12	Число выданных открепительных удостоверений	231	26	23	29	12	4	1	6	1	0	2	12	0	4	3	0	2	1	0	5	5	16	2	0	22	0	6	0	0	7	0	0	14	8	0	1	12	0	4	0	1	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	111	5	11	9	5	1	2	6	0	1	2	6	0	0	5	1	1	4	2	5	2	1	3	1	6	1	2	2	6	1	1	1	2	3	2	1	2	1	2	3	1	1					
14	Число неиспользованных открепительных удостоверений	379	4	7	1	8	6	9	14	9	10	8	8	10	6	27	10	8	19	10	15	5	4	8	10	8	10	14	10	10	3	10	10	6	2	10	9	8	10	6	10	9	18					
15	"Число открепительных удостоверений, выданных в ТИК"	4	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
