Выборы Президента Российской Федерации																							
																							
Наименование Избирательной комиссии:    район Котловка																							
																							
Итоги голосования 																							
																							
		Сумма	УИК №2128	УИК №2129	УИК №2130	УИК №2131	УИК №2132	УИК №2133	УИК №2134	УИК №2135	УИК №2136	УИК №2137	УИК №2138	УИК №2139	УИК №2140	УИК №2141	УИК №2142	УИК №2143					
1	"Число избирателей, внесенных в список"	38693	2301	2318	2537	2272	2340	2478	2539	2711	2476	2691	2736	2390	1961	2115	2212	2616					
2	Число полученных избирательных бюллетеней	35550	2132	2065	2407	2104	2106	2325	2317	2485	2253	2419	2462	2226	1928	1939	2010	2372					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	23510	1300	1349	1737	1511	1430	1556	1437	1559	1476	1585	1600	1449	1281	1257	1347	1636					
5	"Число избирательных бюллетеней, выданных вне помещения"	941	65	86	113	47	33	68	43	77	42	52	30	82	40	63	44	56					
6	Число погашенных избирательных бюллетеней	11099	767	630	557	546	643	701	837	849	735	782	832	695	607	619	619	680					
7	Число избирательных бюллетеней в переносных ящиках	941	65	86	113	47	33	68	43	77	42	52	30	82	40	63	44	56					
8	Число бюллетеней в стационарных ящиках для голосования	23428	1298	1345	1737	1511	1426	1556	1437	1559	1472	1533	1600	1449	1277	1257	1343	1628					
9	Число недействительных избирательных бюллетеней	546	19	12	235	63	22	12	11	21	27	14	0	11	12	11	15	61					
10	Число действительных избирательных бюллетеней	23823	1344	1419	1615	1495	1437	1612	1469	1615	1487	1571	1630	1520	1305	1309	1372	1623					
11	Число полученных открепительных  удостоверений	1005	60	60	60	60	60	60	60	75	60	60	60	60	60	60	60	90					
12	Число выданных открепительных удостоверений	781	31	49	57	48	51	52	49	61	51	53	34	44	40	46	46	69					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	711	30	48	52	40	56	52	35	44	37	57	40	68	35	24	49	44					
14	Число неиспользованных открепительных удостоверений	224	29	11	3	12	9	8	11	14	9	7	26	16	20	14	14	21					
15	"Число открепительных удостоверений, выданных в ТИК"	10	0	1	0	2	0	0	1	0	2	1	0	1	1	0	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																							
18	. Глазьев Сергей Юрьевич	1557	93	98	107	80	90	92	100	91	99	92	102	102	83	102	100	126					
		6.39%	6.82%	6.85%	5.78%	5.13%	6.17%	5.67%	6.76%	5.56%	6.54%	5.80%	6.26%	6.66%	6.30%	7.73%	7.21%	7.48%					
19	. Малышкин Олег Александрович	325	22	24	31	17	23	18	23	28	23	26	23	16	18	13	12	8					
		1.33%	1.61%	1.68%	1.68%	1.09%	1.58%	1.11%	1.55%	1.71%	1.52%	1.64%	1.41%	1.05%	1.37%	0.98%	0.87%	0.48%					
20	. Миронов Сергей Михайлович	138	7	5	12	5	7	6	2	7	7	5	18	8	11	9	14	15					
		0.57%	0.51%	0.35%	0.65%	0.32%	0.48%	0.37%	0.14%	0.43%	0.46%	0.32%	1.10%	0.52%	0.84%	0.68%	1.01%	0.89%					
21	. Путин Владимир Владимирович	16454	894	918	1079	1105	1027	1184	1054	1097	1021	1125	1123	1056	914	894	931	1032					
		67.52%	65.59%	64.15%	58.32%	70.92%	70.39%	72.91%	71.22%	67.05%	67.44%	70.98%	68.90%	68.97%	69.40%	67.73%	67.12%	61.28%					
22	. Хакамада Ирина Муцуовна	1861	106	146	140	106	97	106	111	131	77	106	116	127	106	95	115	176					
		7.64%	7.78%	10.20%	7.57%	6.80%	6.65%	6.53%	7.50%	8.01%	5.09%	6.69%	7.12%	8.30%	8.05%	7.20%	8.29%	10.45%					
23	. Харитонов Николай Михайлович	1903	123	132	137	97	92	104	93	126	157	118	154	115	79	124	120	132					
		7.81%	9.02%	9.22%	7.41%	6.23%	6.31%	6.40%	6.28%	7.70%	10.37%	7.44%	9.45%	7.51%	6.00%	9.39%	8.65%	7.84%					
																							
24	Против всех	1585	99	96	109	85	101	102	86	135	103	99	94	96	94	72	80	134					
		6.50%	7.26%	6.71%	5.89%	5.46%	6.92%	6.28%	5.81%	8.25%	6.80%	6.25%	5.77%	6.27%	7.14%	5.45%	5.77%	7.96%					
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
