Выборы Президента Российской Федерации																																
																																
Наименование Избирательной комиссии:    Озинская																																
																																
Итоги голосования 																																
																																
		Сумма	УИК  873	УИК  874	УИК  875	УИК  876	УИК  877	УИК  878	УИК  879	УИК  880	УИК  881	УИК  882	УИК  883	УИК  884	УИК  885	УИК  886	УИК  887	УИК  888	УИК  889	УИК  890	УИК  891	УИК  892	УИК  893	УИК  894	УИК  895	УИК  896	УИК  897					
1	"Число избирателей, внесенных в список"	16712	1021	1535	1510	886	1422	35	593	699	168	989	600	732	814	187	524	148	561	634	870	586	513	532	501	112	540					
2	Число полученных избирательных бюллетеней	16422	1021	1418	1451	894	1310	35	595	697	171	1001	591	712	825	187	526	150	543	632	879	584	515	537	501	111	536					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	13811	852	1159	1121	705	1130	35	386	544	161	741	533	661	732	159	469	131	500	484	840	527	439	504	455	105	438					
5	"Число избирательных бюллетеней, выданных вне помещения"	617	45	73	93	23	64	0	36	62	3	22	11	25	8	6	14	8	11	36	10	20	28	3	0	0	16					
6	Число погашенных избирательных бюллетеней	1994	124	186	237	166	116	0	173	91	7	238	47	26	85	22	43	11	32	112	29	37	48	30	46	6	82					
7	Число избирательных бюллетеней в переносных ящиках	617	45	73	93	23	64	0	36	62	3	22	11	25	8	6	14	8	11	36	10	20	28	3	0	0	16					
8	Число бюллетеней в стационарных ящиках для голосования	13811	852	1159	1121	705	1130	35	386	544	161	741	533	661	732	159	469	131	500	484	840	527	439	504	455	105	438					
9	Число недействительных избирательных бюллетеней	335	8	15	9	4	9	1	5	4	16	6	0	10	6	2	24	25	9	6	86	11	6	0	42	1	30					
10	Число действительных избирательных бюллетеней	14093	889	1217	1205	724	1185	34	417	602	148	757	544	676	734	163	459	114	502	514	764	536	461	507	413	104	424					
11	Число полученных открепительных  удостоверений	277	20	20	20	15	20	0	15	15	6	30	10	10	10	3	10	3	7	7	12	10	6	5	10	3	10					
12	Число выданных открепительных удостоверений	118	6	13	15	7	7	0	2	3	0	20	2	0	8	0	4	0	0	6	8	4	1	5	4	0	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	56	2	3	13	3	1	11	0	1	0	4	4	3	1	0	1	3	1	0	1	1	1	0	0	1	1					
14	Число неиспользованных открепительных удостоверений	159	14	7	5	8	13	0	13	12	6	10	8	10	2	3	6	3	7	1	4	6	5	0	6	3	7					
15	"Число открепительных удостоверений, выданных в ТИК"	5	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																
18	. Глазьев Сергей Юрьевич	243	8	31	23	8	20	1	9	6	8	18	13	9	11	2	8	5	8	5	9	13	7	4	8	3	6					
		1.68%	0.89%	2.52%	1.89%	1.10%	1.68%	2.86%	2.13%	0.99%	4.88%	2.36%	2.39%	1.31%	1.49%	1.21%	1.66%	3.60%	1.57%	0.96%	1.06%	2.38%	1.50%	0.79%	1.76%	2.86%	1.32%					
19	. Малышкин Олег Александрович	263	16	33	17	24	21	1	11	16	1	24	6	5	15	3	2	0	10	10	8	13	7	9	9	0	2					
		1.82%	1.78%	2.68%	1.40%	3.30%	1.76%	2.86%	2.61%	2.64%	0.61%	3.15%	1.10%	0.73%	2.03%	1.82%	0.41%	0.00%	1.96%	1.92%	0.94%	2.38%	1.50%	1.78%	1.98%	0.00%	0.44%					
20	. Миронов Сергей Михайлович	58	4	7	6	0	5	0	3	4	0	7	0	4	3	0	0	1	2	2	0	3	2	1	1	1	2					
		0.40%	0.45%	0.57%	0.49%	0.00%	0.42%	0.00%	0.71%	0.66%	0.00%	0.92%	0.00%	0.58%	0.41%	0.00%	0.00%	0.72%	0.39%	0.38%	0.00%	0.55%	0.43%	0.20%	0.22%	0.95%	0.44%					
