Выборы Президента Российской Федерации																																				
																																				
Наименование Избирательной комиссии:    Гумбетовская																																				
																																				
Итоги голосования 																																				
																																				
		Сумма	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286					
1	"Число избирателей, внесенных в список"	10181	835	766	170	1170	170	150	175	370	710	301	167	312	98	206	186	109	100	220	294	186	283	388	100	235	382	570	372	140	1016					
2	Число полученных избирательных бюллетеней	10232	832	730	172	1170	175	153	180	380	715	302	170	310	102	210	188	107	102	222	295	188	280	390	102	235	374	565	380	143	1060					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9228	740	664	130	1138	166	134	156	331	684	230	149	287	95	162	181	95	92	180	243	181	244	353	80	220	350	542	351	136	914					
5	"Число избирательных бюллетеней, выданных вне помещения"	238	59	0	35	0	0	0	5	18	0	46	0	0	0	0	0	6	0	20	0	0	0	13	20	0	0	0	0	0	16					
6	Число погашенных избирательных бюллетеней	766	33	66	7	32	9	19	19	31	31	26	21	23	7	48	7	6	10	22	52	7	36	24	2	15	24	23	29	7	130					
7	Число избирательных бюллетеней в переносных ящиках	238	59	0	35	0	0	0	5	18	0	46	0	0	0	0	0	6	0	20	0	0	0	13	20	0	0	0	0	0	16					
8	Число бюллетеней в стационарных ящиках для голосования	9215	740	664	130	1138	166	134	156	331	684	230	149	287	95	162	181	95	92	180	243	181	244	340	80	220	350	542	351	136	914					
9	Число недействительных избирательных бюллетеней	64	0	0	0	44	0	0	0	0	0	0	2	0	0	0	0	4	0	0	1	0	2	0	0	0	0	0	0	0	11					
10	Число действительных избирательных бюллетеней	9389	799	664	165	1094	166	134	161	349	684	276	147	287	95	162	181	97	92	200	242	181	242	353	100	220	350	542	351	136	919					
