Выборы Президента Российской Федерации																																
																																
Наименование Избирательной комиссии:    Кировская																																
																																
Итоги голосования 																																
																																
		Сумма	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542					
1	"Число избирателей, внесенных в список"	47549	2683	2750	2310	2687	2033	2507	1435	1338	151	2166	1521	1625	2006	1595	2076	2181	2041	2124	2069	2080	1781	2140	651	2750	849					
2	Число полученных избирательных бюллетеней	47431	2700	2800	2290	2700	2000	2500	1400	1300	151	2300	1600	1600	2100	1600	2100	2150	2000	2100	2000	2000	1700	2100	640	2700	900					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	25783	1540	1505	1511	1219	846	1120	772	650	151	1046	852	805	1148	971	1062	1296	1076	1062	1138	1145	1231	1049	576	1450	562					
5	"Число избирательных бюллетеней, выданных вне помещения"	2336	32	124	189	141	64	154	57	43	0	145	63	172	89	45	84	148	53	66	64	66	202	93	28	194	20					
6	Число погашенных избирательных бюллетеней	19312	1128	1171	590	1340	1090	1226	571	607	0	1109	685	623	863	584	954	706	871	972	798	789	267	958	36	1056	318					
7	Число избирательных бюллетеней в переносных ящиках	2336	32	124	189	141	64	154	57	43	0	145	63	172	89	45	84	148	53	66	64	66	202	93	28	194	20					
8	Число бюллетеней в стационарных ящиках для голосования	25780	1540	1505	1511	1219	846	1120	772	650	151	1046	849	805	1148	971	1062	1296	1076	1062	1138	1145	1231	1049	576	1450	562					
9	Число недействительных избирательных бюллетеней	217	13	15	7	3	5	15	5	7	3	8	7	0	12	9	8	22	11	9	3	9	15	10	3	17	1					
10	Число действительных избирательных бюллетеней	27899	1559	1614	1693	1357	905	1259	824	686	148	1183	905	977	1225	1007	1138	1422	1118	1119	1199	1202	1418	1132	601	1627	581					
11	Число полученных открепительных  удостоверений	192	10	10	10	10	10	10	5	5	0	8	5	5	8	5	8	8	8	8	8	8	10	8	5	15	5					
12	Число выданных открепительных удостоверений	135	5	4	10	6	5	9	3	5	0	0	5	2	8	5	8	8	6	3	8	3	9	7	0	11	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	80	2	0	5	6	0	5	0	2	1	0	3	5	1	0	1	5	3	7	6	2	0	0	2	24	0					
14	Число неиспользованных открепительных удостоверений	57	5	6	0	4	5	1	2	0	0	8	0	3	0	0	0	0	2	5	0	5	1	1	5	4	0					
15	"Число открепительных удостоверений, выданных в ТИК"	8	2	2	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																
18	. Глазьев Сергей Юрьевич	800	40	51	36	34	38	32	27	18	3	28	10	20	73	28	38	59	32	27	32	28	35	26	9	48	28					
