Выборы Президента Российской Федерации																																														
																																														
Наименование Избирательной комиссии:    район Северное Тушино																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК №2739	УИК №2740	УИК №2741	УИК №2742	УИК №2743	УИК №2744	УИК №2745	УИК №2746	УИК №2747	УИК №2748	УИК №2749	УИК №2750	УИК №2751	УИК №2752	УИК №2753	УИК №2754	УИК №2755	УИК №2756	УИК №2757	УИК №2758	УИК №2759	УИК №2760	УИК №2761	УИК №2762	УИК №2763	УИК №2764	УИК №2765	УИК №2766	УИК №2767	УИК №2768	УИК №2769	УИК №2770	УИК №2771	УИК №2772	УИК №2773	УИК №2774	УИК №2775	УИК №2776	УИК №2777					
1	"Число избирателей, внесенных в список"	93144	2579	2599	2660	2788	2351	2547	2638	2620	2562	2499	2057	2421	2270	2097	2333	2115	2357	2351	2284	2484	2457	2463	2734	2130	1962	1953	2482	2616	2740	2478	2374	2279	2493	2377	2653	2816	2623	2534	368					
2	Число полученных избирательных бюллетеней	79600	2200	2200	2300	2300	2000	2200	2300	2200	2200	2100	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2300	2000	1800	1800	2000	2200	2200	2000	2000	2000	2000	2000	2300	2400	2200	2000	400					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	51503	1294	1436	1372	1481	1334	1371	1482	1436	1552	1306	1044	1246	1287	1138	1294	1121	1364	1499	1244	1374	1302	1345	1410	1123	984	1102	1388	1481	1681	1512	1284	1291	1403	1407	1408	1735	1444	1354	174					
5	"Число избирательных бюллетеней, выданных вне помещения"	1611	63	61	42	63	36	45	42	80	6	46	21	13	32	31	25	49	47	33	45	35	87	53	17	29	28	18	25	23	34	39	37	21	24	57	34	27	27	34	182					
6	Число погашенных избирательных бюллетеней	26486	843	703	886	756	630	784	776	684	642	748	935	741	681	831	681	830	589	468	711	591	611	602	873	848	788	680	587	696	485	449	679	688	573	536	858	638	729	612	44					
7	Число избирательных бюллетеней в переносных ящиках	1611	63	61	42	63	36	45	42	80	6	46	21	13	32	31	25	49	47	33	45	35	87	53	17	29	28	18	25	23	34	39	37	21	24	57	34	27	27	34	182					
8	Число бюллетеней в стационарных ящиках для голосования	51057	1294	1430	1371	1380	1334	1367	1428	1435	1552	1306	1044	1212	1285	1116	1294	1121	1353	1499	1240	1356	1302	1343	1340	1121	984	1102	1344	1479	1656	1479	1280	1286	1403	1407	1408	1735	1444	1353	174					
9	Число недействительных избирательных бюллетеней	467	10	8	14	12	14	9	14	14	4	5	7	13	5	9	9	8	4	8	15	16	9	12	10	14	7	9	11	11	13	10	15	7	21	18	8	66	7	12	9					
10	Число действительных избирательных бюллетеней	52201	1347	1483	1399	1431	1356	1403	1456	1501	1554	1347	1058	1212	1312	1138	1310	1162	1396	1524	1270	1375	1380	1384	1347	1136	1005	1111	1358	1491	1677	1508	1302	1300	1406	1446	1434	1696	1464	1375	347					
11	Число полученных открепительных  удостоверений	2660	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	0					
