Выборы Президента Российской Федерации																																															
Дата голосования: 02.03.2008																																															
																																															
Наименование Избирательной комиссии:    район Северное Тушино																																															
																																															
Сводная таблица результатов выборов																																															
																																															
	Число участковых избирательных комиссий	40																																													
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	40																																													
																																															
		Сумма	УИК №2809	УИК №2810	УИК №2811	УИК №2812	УИК №2813	УИК №2814	УИК №2815	УИК №2816	УИК №2817	УИК №2818	УИК №2819	УИК №2820	УИК №2821	УИК №2822	УИК №2823	УИК №2824	УИК №2825	УИК №2826	УИК №2827	УИК №2828	УИК №2829	УИК №2830	УИК №2831	УИК №2832	УИК №2833	УИК №2834	УИК №2835	УИК №2836	УИК №2837	УИК №2838	УИК №2839	УИК №2840	УИК №2841	УИК №2842	УИК №2843	УИК №2844	УИК №2845	УИК №2846	УИК №2847	УИК №3293					
1	"Число избирателей, включенных в списки избирателей"	93974	2415	2711	2094	2695	2463	2417	2945	2832	2514	2615	2325	2409	2185	2499	2807	2135	2332	2656	2146	2589	2748	2408	2374	2020	2026	2056	2486	2679	2626	2743	2298	2229	2441	2311	2618	2589	2573	2473	432	60					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	81490	2000	2500	2000	2500	2000	2000	2500	2500	2000	2000	2000	2000	2000	2000	2500	2000	2000	2500	2000	2000	2500	2000	2000	2000	2000	2000	2000	2500	2500	2500	2000	2000	2000	2000	2000	2000	2000	2000	430	60					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	48351	1358	1364	1094	1198	1272	1159	1446	1655	1614	1179	1103	1016	1096	1493	1921	991	1408	1658	1088	1233	1255	1178	1043	946	854	979	1138	1268	1309	1542	1199	1098	1570	1151	1213	1177	1358	1479	188	60					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	2067	90	77	41	51	36	52	39	33	1	35	7	62	65	57	39	94	63	36	50	42	45	37	25	37	42	29	139	34	182	33	19	24	43	35	39	41	26	25	242	0					
6	Число погашенных избирательных бюллетеней	31072	552	1059	865	1251	692	789	1015	812	385	786	890	922	839	450	540	915	529	806	862	725	1200	785	932	1017	1104	992	723	1198	1009	925	782	878	387	814	748	782	616	496	0	0					
