Выборы Президента Российской Федерации																												
																												
Наименование Избирательной комиссии:    Енотаевская																												
																												
Итоги голосования 																												
																												
		Сумма	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114					
1	"Число избирателей, внесенных в список"	20437	340	1144	1540	363	632	97	377	907	576	2558	1883	1982	846	634	141	715	496	816	1849	2049	492					
2	Число полученных избирательных бюллетеней	20439	345	1154	1531	363	642	93	376	919	582	2573	1880	1951	854	643	148	727	501	813	1823	2032	489					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	10969	172	637	756	222	349	79	254	512	311	1163	1013	897	487	398	92	475	298	510	944	1095	305					
5	"Число избирательных бюллетеней, выданных вне помещения"	1015	37	25	86	13	38	0	28	44	21	64	60	130	47	63	11	41	30	46	87	101	43					
6	Число погашенных избирательных бюллетеней	8455	136	492	689	128	255	14	94	363	250	1346	807	924	320	182	45	211	173	257	792	836	141					
7	Число избирательных бюллетеней в переносных ящиках	1015	37	25	86	13	38	0	28	44	21	64	60	130	47	63	11	41	30	46	87	101	43					
8	Число бюллетеней в стационарных ящиках для голосования	10969	172	637	756	222	349	79	254	512	311	1163	1013	897	487	398	92	475	298	510	944	1095	305					
9	Число недействительных избирательных бюллетеней	151	3	8	7	9	3	0	2	7	8	9	11	12	9	5	3	15	1	11	15	9	4					
10	Число действительных избирательных бюллетеней	11833	206	654	835	226	384	79	280	549	324	1218	1062	1015	525	456	100	501	327	545	1016	1187	344					
11	Число полученных открепительных  удостоверений	278	10	20	30	6	10	5	10	14	10	20	20	20	10	10	7	16	10	10	15	15	10					
12	Число выданных открепительных удостоверений	100	4	5	5	1	7	0	2	3	2	8	9	9	6	2	6	13	8	2	0	8	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	73	2	5	11	0	3	5	5	1	1	8	6	8	3	1	0	5	4	0	1	3	1					
14	Число неиспользованных открепительных удостоверений	178	6	15	25	5	3	5	8	11	8	12	11	11	4	8	1	3	2	8	15	7	10					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																												
18	. Глазьев Сергей Юрьевич	310	3	9	15	3	20	4	10	10	8	47	34	33	14	6	5	7	7	4	26	39	6					
		2.59%	1.44%	1.36%	1.78%	1.28%	5.17%	5.06%	3.55%	1.80%	2.41%	3.83%	3.17%	3.21%	2.62%	1.30%	4.85%	1.36%	2.13%	0.72%	2.52%	3.26%	1.72%					
19	. Малышкин Олег Александрович	333	4	19	15	4	7	7	10	11	4	29	25	21	19	6	1	16	16	15	40	56	8					
		2.78%	1.91%	2.87%	1.78%	1.70%	1.81%	8.86%	3.55%	1.98%	1.20%	2.36%	2.33%	2.04%	3.56%	1.30%	0.97%	3.10%	4.88%	2.70%	3.88%	4.68%	2.30%					
20	. Миронов Сергей Михайлович	77	2	4	4	2	2	2	1	1	2	7	6	11	2	3	0	4	4	1	9	8	2					
		0.64%	0.96%	0.60%	0.48%	0.85%	0.52%	2.53%	0.35%	0.18%	0.60%	0.57%	0.56%	1.07%	0.37%	0.65%	0.00%	0.78%	1.22%	0.18%	0.87%	0.67%	0.57%					
21	. Путин Владимир Владимирович	7146	148	480	481	117	205	49	202	299	169	749	612	595	305	310	76	321	173	396	565	665	229					
		59.63%	70.81%	72.51%	57.13%	49.79%	52.97%	62.03%	71.63%	53.78%	50.90%	61.04%	57.04%	57.94%	57.12%	67.25%	73.79%	62.21%	52.74%	71.22%	54.80%	55.60%	65.80%					
22	. Хакамада Ирина Муцуовна	355	9	10	21	6	18	2	16	27	12	25	27	37	15	18	2	2	16	14	50	22	6					
		2.96%	4.31%	1.51%	2.49%	2.55%	4.65%	2.53%	5.67%	4.86%	3.61%	2.04%	2.52%	3.60%	2.81%	3.90%	1.94%	0.39%	4.88%	2.52%	4.85%	1.84%	1.72%					
23	. Харитонов Николай Михайлович	3341	35	117	286	87	122	14	37	191	121	322	338	293	153	106	16	142	94	108	299	372	88					
		27.88%	16.75%	17.67%	33.97%	37.02%	31.52%	17.72%	13.12%	34.35%	36.45%	26.24%	31.50%	28.53%	28.65%	22.99%	15.53%	27.52%	28.66%	19.42%	29.00%	31.10%	25.29%					
																												
24	Против всех	271	5	15	13	7	10	1	4	10	8	39	20	25	17	7	0	9	17	7	27	25	5					
		2.26%	2.39%	2.27%	1.54%	2.98%	2.58%	1.27%	1.42%	1.80%	2.41%	3.18%	1.86%	2.43%	3.18%	1.52%	0.00%	1.74%	5.18%	1.26%	2.62%	2.09%	1.44%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
