Выборы Президента Российской Федерации																																																																																																																																			
																																																																																																																																			
Наименование Избирательной комиссии:    Йошкар-Олинская городская																																																																																																																																			
																																																																																																																																			
Итоги голосования 																																																																																																																																			
																																																																																																																																			
		Сумма	УИК  1	УИК  2	УИК  3	УИК  4	УИК  5	УИК  6	УИК  7	УИК  8	УИК  9	УИК  10	УИК  11	УИК  12	УИК  13	УИК  14	УИК  15	УИК  16	УИК  17	УИК  18	УИК  19	УИК  20	УИК  21	УИК  22	УИК  23	УИК  24	УИК  25	УИК  26	УИК  27	УИК  28	УИК  29	УИК  30	УИК  31	УИК  32	УИК  33	УИК  34	УИК  35	УИК  36	УИК  37	УИК  38	УИК  39	УИК  40	УИК  41	УИК  42	УИК  43	УИК  44	УИК  45	УИК  46	УИК  47	УИК  48	УИК  49	УИК  50	УИК  51	УИК  52	УИК  53	УИК  54	УИК  55	УИК  56	УИК  57	УИК  58	УИК  59	УИК  60	УИК  61	УИК  62	УИК  63	УИК  64	УИК  65	УИК  66	УИК  67	УИК  68	УИК  69	УИК  70	УИК  71	УИК  72	УИК  73	УИК  74	УИК  75	УИК  76	УИК  77	УИК  78	УИК  79	УИК  80	УИК  81	УИК  82	УИК  83	УИК  84	УИК  85	УИК  86	УИК  87	УИК  88	УИК  89	УИК  90	УИК  91	УИК  92	УИК  93	УИК  94	УИК  95	УИК  96	УИК  97	УИК  98	УИК  99	УИК  100	УИК  101	УИК  102	УИК  103	УИК  104	УИК  105	УИК  106	УИК  107	УИК  108	УИК  109	УИК  110	УИК  111	УИК  112	УИК  113	УИК  114	УИК  115	УИК  116	УИК  117	УИК  118	УИК  119	УИК  120	УИК  121	УИК  122	УИК  123	УИК  124					
1	"Число избирателей, внесенных в список"	223775	1169	985	1289	1946	1518	1690	316	1385	2506	1950	2514	2096	2047	1962	1832	1734	2135	2492	2451	1447	2430	2416	1901	2087	1834	2520	2438	1980	2277	2374	1872	2196	2482	2317	2376	2143	1766	1473	335	1862	1431	2221	2168	2251	2171	2020	2051	2110	2346	2152	1531	157	1593	1734	1316	1086	1488	2456	1302	2107	1919	1207	423	387	2282	2135	1801	2308	1948	1480	2350	1863	2271	2036	2727	1631	1599	261	230	1924	1986	2179	2595	2790	2363	2412	1968	1800	1773	2384	2296	1873	1874	291	1827	1434	2281	2262	2518	1948	2112	2398	1572	1675	2137	2111	1968	2269	1514	2055	1665	1824	2374	2622	1912	1082	849	2311	657	734	693	374	174	823					
2	Число полученных избирательных бюллетеней	226660	1200	900	1200	1900	1500	1700	500	1400	2500	2000	2500	2100	2100	2000	1800	1700	2100	2400	2500	1400	2400	2500	1900	2100	1800	2500	2400	2000	2200	2400	1900	2200	2500	2300	2400	2100	1700	1600	500	1900	1400	2200	2200	2200	2200	2000	2200	2100	2400	2100	1600	170	1700	1500	1300	1100	1500	2400	1400	2200	2000	1200	540	410	2300	2100	1800	2300	1900	1500	2500	2000	2500	2000	2700	1700	1600	700	1000	2000	2000	2200	2600	2800	2400	2500	2000	1800	1800	2400	2300	1900	1900	290	1800	1400	2300	2300	2500	2000	2100	2400	1500	1700	2100	2200	2000	2300	1600	2100	1700	1800	2400	2600	1900	1100	850	2300	650	750	650	400	200	850					
3	"Число избирательных бюллетеней, выданных  досрочно"	214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	120595	620	617	770	1166	929	1000	315	691	1508	1178	1440	1256	1057	828	1023	1080	1216	1412	1238	693	1243	1427	1097	1231	1002	1389	1435	977	1269	1380	1042	1250	1364	1347	1382	1199	809	766	179	974	640	1034	1207	1141	1038	911	1145	1121	1384	1213	936	140	949	1078	645	409	759	1228	648	1085	1189	573	199	195	1333	1236	1023	1312	911	850	1245	1034	1439	1087	1433	667	755	125	163	935	1043	1120	1374	1485	1151	1373	1164	979	1020	1260	1239	1009	1065	180	733	683	1218	1187	1457	1069	1223	1350	823	971	1186	1208	1033	1115	821	1146	930	977	1164	1404	856	465	326	954	230	345	363	159	74	449					
5	"Число избирательных бюллетеней, выданных вне помещения"	2934	7	11	34	18	40	19	0	17	33	10	19	11	30	44	24	14	32	30	8	20	19	29	23	17	14	27	33	13	12	7	26	12	15	11	31	14	30	13	156	45	59	8	20	14	24	17	18	16	17	12	5	16	3	48	62	21	25	37	45	10	15	27	79	25	38	31	29	29	35	29	41	11	15	15	12	9	9	127	57	32	27	39	24	23	20	24	25	24	26	11	19	13	11	0	32	23	23	15	14	12	3	16	26	14	40	18	5	11	4	4	27	7	11	11	12	22	4	9	15	22	15	33	44	46					
6	Число погашенных избирательных бюллетеней	102906	573	272	396	716	531	681	185	692	959	812	1041	833	1013	1128	753	606	852	958	1254	687	1138	1044	780	852	784	1084	932	1010	919	1013	832	938	1121	942	987	887	861	821	165	881	701	1148	973	1045	1138	1072	1037	963	999	875	659	14	748	160	593	670	716	1135	707	1105	796	600	262	190	929	833	748	959	954	621	1214	955	1045	898	1255	1024	836	448	780	1033	930	1041	1202	1292	1229	1103	811	797	754	1129	1042	878	824	110	1035	694	1059	1098	1029	919	874	1034	651	715	874	974	962	1174	775	950	743	816	1225	1185	1032	613	520	1337	405	383	272	208	82	355					
7	Число избирательных бюллетеней в переносных ящиках	3148	7	11	34	18	40	19	0	17	33	10	19	11	30	44	24	14	32	30	8	20	19	29	23	17	14	27	33	13	12	7	26	12	15	11	31	14	30	13	156	45	59	8	20	14	24	17	18	16	17	12	5	16	3	262	62	21	25	37	45	10	15	27	79	25	38	31	29	29	35	29	41	11	15	15	12	9	9	127	57	32	27	39	24	23	20	24	25	24	26	11	19	13	11	0	32	23	23	15	14	12	3	16	26	14	40	18	5	11	4	4	27	7	11	11	12	22	4	9	15	22	15	33	44	46					
8	Число бюллетеней в стационарных ящиках для голосования	120578	620	617	770	1166	929	1000	315	691	1508	1178	1440	1256	1056	828	1023	1080	1216	1412	1237	693	1243	1427	1097	1230	1002	1389	1435	977	1268	1380	1042	1250	1364	1347	1382	1199	809	765	179	974	640	1032	1206	1141	1038	911	1143	1121	1384	1213	936	140	949	1078	645	409	759	1228	648	1085	1189	573	199	195	1333	1236	1023	1312	911	850	1245	1034	1439	1087	1431	667	755	125	163	934	1042	1120	1374	1485	1151	1373	1164	979	1020	1259	1238	1009	1065	180	733	683	1218	1187	1457	1069	1223	1350	823	971	1186	1208	1033	1115	821	1146	930	977	1164	1404	856	465	326	954	230	345	363	159	74	448					
9	Число недействительных избирательных бюллетеней	786	4	1	2	3	6	1	19	1	7	3	9	2	5	3	5	11	10	7	4	3	17	6	6	3	3	9	8	2	3	10	6	2	8	4	5	15	4	5	3	5	4	3	4	1	7	8	4	5	5	2	2	4	8	1	0	1	9	17	3	9	11	3	1	5	11	5	2	11	9	4	5	5	3	6	9	6	5	2	2	5	11	10	9	5	9	9	15	7	10	10	12	6	6	3	8	4	9	5	9	5	6	11	6	17	11	5	10	10	12	20	10	5	9	18	2	11	6	5	2	0	3	3	0	5					
10	Число действительных избирательных бюллетеней	122940	623	627	802	1181	963	1018	296	707	1534	1185	1450	1265	1081	869	1042	1083	1238	1435	1241	710	1245	1450	1114	1244	1013	1407	1460	988	1277	1377	1062	1260	1371	1354	1408	1198	835	773	332	1014	695	1037	1222	1154	1055	920	1157	1132	1396	1223	939	152	944	1339	707	429	775	1248	690	1086	1193	597	277	215	1360	1262	1050	1330	937	875	1281	1040	1451	1096	1434	670	759	250	218	961	1058	1149	1389	1503	1162	1388	1174	996	1036	1260	1245	1016	1070	177	757	702	1232	1197	1462	1076	1220	1355	843	968	1215	1221	1028	1116	813	1130	947	979	1166	1397	866	476	324	958	243	367	375	189	118	489					
