Выборы Президента Российской Федерации																																																																																																			
																																																																																																			
Наименование Избирательной комиссии:    Калининская №11																																																																																																			
																																																																																																			
Итоги голосования 																																																																																																			
																																																																																																			
		Сумма	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420					
11	Число полученных открепительных  удостоверений	6336	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	36	0					
12	Число выданных открепительных удостоверений	2138	17	11	38	28	26	24	29	22	43	27	26	27	27	16	24	19	13	20	18	21	16	15	21	25	25	41	23	39	31	30	26	21	21	21	22	19	24	26	28	30	24	16	14	29	21	31	30	19	27	21	20	16	21	26	31	27	19	15	18	37	29	20	31	34	18	20	19	29	17	24	24	22	18	19	21	26	27	14	22	17	19	23	16	16	21	35	12	21	33	26	23	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1550	39	19	15	34	20	16	21	16	28	19	11	32	21	24	23	26	16	10	20	16	25	12	18	9	25	17	14	16	10	11	20	9	26	11	53	8	15	8	13	29	17	20	11	13	26	30	14	21	9	17	18	5	13	18	18	5	10	18	10	7	25	16	18	7	9	22	14	14	11	17	18	10	7	19	14	16	14	11	11	16	9	19	8	21	13	16	13	11	13	20	13	30					
14	Число неиспользованных открепительных удостоверений	4198	53	59	32	42	44	46	41	48	27	43	44	43	43	54	46	51	57	50	52	49	54	55	49	45	45	29	47	31	39	40	44	49	49	49	48	51	46	44	42	40	46	54	56	41	49	39	40	51	43	49	50	54	49	44	39	43	51	55	52	33	41	50	39	36	52	50	51	41	53	46	46	48	52	51	49	44	43	56	48	53	51	47	54	54	49	35	58	49	37	44	13	0					
15	"Число открепительных удостоверений, выданных в ТИК"	14	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																																			
18	. Глазьев Сергей Юрьевич	5467	39	52	81	63	49	80	83	68	87	67	78	81	63	47	68	72	76	64	52	57	50	53	52	63	91	92	89	82	67	54	52	51	60	66	54	51	42	47	58	72	62	56	80	73	63	71	64	78	62	59	64	43	75	39	65	55	57	37	44	69	70	57	58	55	55	40	44	58	38	56	42	57	48	56	40	42	54	67	50	57	51	54	24	59	55	52	44	74	68	109	32	12					
		4.48%	3.75%	5.02%	4.14%	4.25%	3.43%	4.85%	5.08%	4.31%	5.58%	4.31%	4.91%	5.83%	5.29%	4.17%	5.48%	5.08%	6.29%	5.04%	4.65%	4.35%	3.96%	4.47%	4.74%	4.20%	5.65%	5.99%	6.41%	5.68%	4.89%	3.93%	3.97%	4.10%	5.08%	5.71%	4.30%	4.27%	3.56%	3.10%	3.44%	4.76%	4.86%	4.77%	5.36%	4.78%	4.13%	4.67%	4.18%	5.88%	4.68%	4.28%	5.22%	3.42%	5.69%	3.15%	4.46%	3.83%	3.72%	3.02%	3.36%	4.48%	4.87%	3.82%	4.37%	3.98%	3.63%	3.05%	3.71%	4.26%	3.20%	4.29%	3.11%	4.46%	4.29%	3.89%	3.14%	3.83%	4.36%	5.40%	4.15%	4.92%	4.22%	4.49%	2.77%	4.57%	4.57%	4.04%	4.38%	7.02%	5.13%	6.33%	2.43%	4.84%					
