Выборы Президента Российской Федерации										
										
Наименование Избирательной комиссии:    Читинская-46 поселковая										
										
Итоги голосования 										
										
		Сумма	УИК  285	УИК  286	УИК  287					
1	"Число избирателей, внесенных в список"	6706	2693	2658	1355					
2	Число полученных избирательных бюллетеней	6557	2656	2602	1299					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	4317	1691	1724	902					
5	"Число избирательных бюллетеней, выданных вне помещения"	110	36	70	4					
6	Число погашенных избирательных бюллетеней	2130	929	808	393					
7	Число избирательных бюллетеней в переносных ящиках	110	36	70	4					
8	Число бюллетеней в стационарных ящиках для голосования	4316	1691	1723	902					
9	Число недействительных избирательных бюллетеней	33	14	13	6					
10	Число действительных избирательных бюллетеней	4393	1713	1780	900					
11	Число полученных открепительных  удостоверений	244	119	70	55					
12	Число выданных открепительных удостоверений	195	110	50	35					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	39	24	12	3					
14	Число неиспользованных открепительных удостоверений	49	9	20	20					
15	"Число открепительных удостоверений, выданных в ТИК"	56	45	11	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"										
18	. Глазьев Сергей Юрьевич	86	32	40	14					
		1.94%	1.85%	2.23%	1.55%					
19	. Малышкин Олег Александрович	156	68	52	36					
		3.52%	3.94%	2.90%	3.97%					
20	. Миронов Сергей Михайлович	31	20	5	6					
		0.70%	1.16%	0.28%	0.66%					
21	. Путин Владимир Владимирович	3731	1422	1549	760					
		84.30%	82.34%	86.39%	83.89%					
22	. Хакамада Ирина Муцуовна	102	39	40	23					
		2.30%	2.26%	2.23%	2.54%					
23	. Харитонов Николай Михайлович	202	91	67	44					
		4.56%	5.27%	3.74%	4.86%					
										
24	Против всех	85	41	27	17					
		1.92%	2.37%	1.51%	1.88%					
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
