Выборы Президента Российской Федерации																																													
																																													
Наименование Избирательной комиссии:    Дрожжановская																																													
																																													
Итоги голосования 																																													
																																													
		Сумма	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1380	УИК №1381	УИК №1382	УИК №1383					
1	"Число избирателей, внесенных в список"	19312	263	619	607	109	649	341	550	574	307	783	341	647	307	554	916	190	212	215	354	779	111	310	978	1241	735	245	593	126	348	460	302	459	101	222	1415	764	1208	377					
2	Число полученных избирательных бюллетеней	19591	268	623	609	110	655	352	547	578	312	790	342	647	314	554	934	193	217	218	358	789	115	313	1015	1236	744	249	607	127	358	468	313	473	108	224	1432	779	1236	384					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	18508	256	598	601	109	622	325	539	548	300	769	327	625	293	546	901	190	205	208	351	750	111	300	944	1124	634	241	567	123	330	438	282	454	101	217	1389	686	1131	373					
5	"Число избирательных бюллетеней, выданных вне помещения"	641	7	18	4	0	23	15	8	21	4	0	13	14	13	8	15	0	7	7	3	14	0	9	33	78	59	4	18	3	18	22	20	5	0	5	21	77	75	0					
6	Число погашенных избирательных бюллетеней	442	5	7	4	1	10	12	0	9	8	21	2	8	8	0	18	3	5	3	4	25	4	4	38	34	51	4	22	1	10	8	11	14	7	2	22	16	30	11					
7	Число избирательных бюллетеней в переносных ящиках	641	7	18	4	0	23	15	8	21	4	0	13	14	13	8	15	0	7	7	3	14	0	9	33	78	59	4	18	3	18	22	20	5	0	5	21	77	75	0					
8	Число бюллетеней в стационарных ящиках для голосования	18506	256	598	601	109	622	325	539	548	300	769	327	625	293	546	901	190	205	208	351	750	111	300	944	1122	634	241	567	123	330	438	282	454	101	217	1389	686	1131	373					
9	Число недействительных избирательных бюллетеней	38	0	3	0	0	0	0	4	3	0	0	0	8	2	1	1	0	0	0	0	2	0	1	2	2	0	0	5	0	0	0	0	0	2	1	0	1	0	0					
10	Число действительных избирательных бюллетеней	19109	263	613	605	109	645	340	543	566	304	769	340	631	304	553	915	190	212	215	354	762	111	308	975	1198	693	245	580	126	348	460	302	459	99	221	1410	762	1206	373					
11	Число полученных открепительных  удостоверений	499	8	14	10	6	14	8	10	10	8	15	8	14	8	10	24	6	8	8	8	16	6	6	42	40	16	8	10	4	8	10	8	12	4	6	40	18	40	8					
12	Число выданных открепительных удостоверений	127	0	2	0	0	3	0	1	1	0	0	0	0	1	8	0	0	7	0	1	1	1	0	42	9	9	0	2	0	2	2	0	0	1	1	11	7	15	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	22	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	8	0	1	0	0	0	0	0	2	0	0	1	2	4	0					
14	Число неиспользованных открепительных удостоверений	372	8	12	10	6	11	8	9	9	8	15	8	14	7	2	24	6	1	8	7	15	5	6	0	31	7	8	8	4	6	8	8	12	3	5	29	11	25	8					
