Выборы Президента Российской Федерации																	
																	
Наименование Избирательной комиссии:    Заозерная городская																	
																	
Итоги голосования 																	
																	
		Сумма	УИК  97	УИК  98	УИК  99	УИК  100	УИК  101	УИК  102	УИК  103	УИК  104	УИК  105	УИК  106					
1	"Число избирателей, внесенных в список"	10762	1636	1773	1364	715	251	1108	995	668	824	1428					
2	Число полученных избирательных бюллетеней	10823	1626	1800	1378	708	229	1129	1000	682	820	1451					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5027	799	831	762	328	96	467	440	298	321	685					
5	"Число избирательных бюллетеней, выданных вне помещения"	814	62	69	64	37	67	92	84	81	129	129					
6	Число погашенных избирательных бюллетеней	4982	765	900	552	343	66	570	476	303	370	637					
7	Число избирательных бюллетеней в переносных ящиках	814	62	69	64	37	67	92	84	81	129	129					
8	Число бюллетеней в стационарных ящиках для голосования	5025	799	831	762	328	96	467	440	298	320	684					
9	Число недействительных избирательных бюллетеней	59	5	10	3	7	2	7	6	1	7	11					
10	Число действительных избирательных бюллетеней	5780	856	890	823	358	161	552	518	378	442	802					
11	Число полученных открепительных  удостоверений	190	20	20	20	15	20	15	20	20	20	20					
12	Число выданных открепительных удостоверений	37	7	7	6	1	0	6	6	0	1	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	28	7	3	5	2	1	2	4	0	1	3					
14	Число неиспользованных открепительных удостоверений	153	13	13	14	14	20	9	14	20	19	17					
15	"Число открепительных удостоверений, выданных в ТИК"	8	1	2	1	0	0	1	0	0	0	3					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																	
18	. Глазьев Сергей Юрьевич	988	139	185	159	65	23	88	82	43	70	134					
		16.92%	16.14%	20.56%	19.25%	17.81%	14.11%	15.74%	15.65%	11.35%	15.59%	16.48%					
19	. Малышкин Олег Александрович	177	29	14	24	17	6	21	19	10	17	20					
		3.03%	3.37%	1.56%	2.91%	4.66%	3.68%	3.76%	3.63%	2.64%	3.79%	2.46%					
20	. Миронов Сергей Михайлович	43	8	2	5	2	1	7	4	1	5	8					
		0.74%	0.93%	0.22%	0.61%	0.55%	0.61%	1.25%	0.76%	0.26%	1.11%	0.98%					
21	. Путин Владимир Владимирович	3440	520	535	450	217	104	329	287	250	267	481					
		58.91%	60.39%	59.44%	54.48%	59.45%	63.80%	58.86%	54.77%	65.96%	59.47%	59.16%					
22	. Хакамада Ирина Муцуовна	152	26	26	29	11	5	13	13	8	7	14					
		2.60%	3.02%	2.89%	3.51%	3.01%	3.07%	2.33%	2.48%	2.11%	1.56%	1.72%					
23	. Харитонов Николай Михайлович	799	108	95	126	36	17	74	95	59	71	118					
		13.68%	12.54%	10.56%	15.25%	9.86%	10.43%	13.24%	18.13%	15.57%	15.81%	14.51%					
																	
24	Против всех	181	26	33	30	10	5	20	18	7	5	27					
		3.10%	3.02%	3.67%	3.63%	2.74%	3.07%	3.58%	3.44%	1.85%	1.11%	3.32%					
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
