Выборы Президента Российской Федерации																																																					
																																																					
Наименование Избирательной комиссии:    Актанышская																																																					
																																																					
Итоги голосования 																																																					
																																																					
		Сумма	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662					
1	"Число избирателей, внесенных в список"	22368	1193	1296	1558	795	695	656	227	317	475	343	345	105	109	327	246	176	684	296	191	324	131	824	310	1141	207	429	147	694	781	695	827	116	731	742	666	450	213	570	227	383	243	427	152	315	358	231					
2	Число полученных избирательных бюллетеней	22657	1194	1356	1551	815	691	659	240	324	482	343	345	109	112	328	250	178	680	305	191	331	132	844	311	1140	208	432	151	700	804	696	841	116	732	756	679	462	216	577	229	392	248	431	154	321	366	235					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	20556	1160	1236	1497	677	671	533	207	300	445	310	308	103	91	323	226	174	643	265	175	294	112	754	282	1065	189	347	134	588	672	619	754	116	690	708	639	394	178	533	216	360	233	386	141	275	329	204					
5	"Число избирательных бюллетеней, выданных вне помещения"	1667	22	34	19	112	14	123	20	17	26	33	32	2	18	4	20	2	33	31	16	30	19	62	28	71	18	80	13	102	109	75	72	0	41	31	27	54	33	35	11	23	10	41	10	40	29	25					
6	Число погашенных избирательных бюллетеней	434	12	86	35	26	6	3	13	7	11	0	5	4	3	1	4	2	4	9	0	7	1	28	1	4	1	5	4	10	23	2	15	0	1	17	13	14	5	9	2	9	5	4	3	6	8	6					
7	Число избирательных бюллетеней в переносных ящиках	1667	22	34	19	112	14	123	20	17	26	33	32	2	18	4	20	2	33	31	16	30	19	62	28	71	18	80	13	102	109	75	72	0	41	31	27	54	33	35	11	23	10	41	10	40	29	25					
8	Число бюллетеней в стационарных ящиках для голосования	20556	1160	1236	1497	677	671	533	207	300	445	310	308	103	91	323	226	174	643	265	175	294	112	754	282	1065	189	347	134	588	672	619	754	116	690	708	639	394	178	533	216	360	233	386	141	275	329	204					
9	Число недействительных избирательных бюллетеней	162	8	8	1	0	3	6	9	0	5	2	1	12	2	0	2	0	2	0	0	0	1	9	0	3	0	2	0	7	2	0	0	0	0	0	4	8	0	5	23	0	0	0	9	27	1	0					
10	Число действительных избирательных бюллетеней	22061	1174	1262	1515	789	682	650	218	317	466	341	339	93	107	327	244	176	674	296	191	324	130	807	310	1133	207	425	147	683	779	694	826	116	731	739	662	440	211	563	204	383	243	427	142	288	357	229					
11	Число полученных открепительных  удостоверений	792	40	44	55	24	23	22	13	11	16	17	12	5	4	11	8	6	23	20	6	11	4	33	10	37	6	14	5	23	38	23	28	4	24	25	23	20	7	19	8	13	8	14	5	10	12	8					
12	Число выданных открепительных удостоверений	417	33	32	37	7	16	7	8	5	7	6	3	2	2	0	6	1	6	20	0	4	0	22	3	10	1	6	3	9	37	3	28	0	2	4	23	13	5	11	4	13	1	1	1	6	5	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	144	10	5	2	1	2	1	1	0	2	1	5	2	2	1	1	1	6	2	2	1	1	3	2	10	1	1	1	6	11	4	9	2	5	0	15	4	1	4	1	4	1	2	1	5	0	2					
14	Число неиспользованных открепительных удостоверений	375	7	12	18	17	7	15	5	6	9	11	9	3	2	11	2	5	17	0	6	7	4	11	7	27	5	8	2	14	1	20	0	4	22	21	0	7	2	8	4	0	7	13	4	4	7	4					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																					
18	. Глазьев Сергей Юрьевич	115	5	2	5	0	9	1	0	0	3	0	14	1	0	0	5	0	3	9	1	1	1	5	2	3	0	2	0	6	8	0	2	2	2	9	5	2	0	2	0	0	0	4	1	0	0	0					
		0.52%	0.42%	0.16%	0.33%	0.00%	1.31%	0.15%	0.00%	0.00%	0.64%	0.00%	4.12%	0.95%	0.00%	0.00%	2.03%	0.00%	0.44%	3.04%	0.52%	0.31%	0.76%	0.61%	0.65%	0.26%	0.00%	0.47%	0.00%	0.87%	1.02%	0.00%	0.24%	1.72%	0.27%	1.22%	0.75%	0.45%	0.00%	0.35%	0.00%	0.00%	0.00%	0.94%	0.66%	0.00%	0.00%	0.00%					
