Выборы Президента Российской Федерации																																														
																																														
Наименование Избирательной комиссии:    Увинская																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК  3001	УИК  3002	УИК  3003	УИК  3004	УИК  3005	УИК  3006	УИК  3007	УИК  3008	УИК  3009	УИК  3010	УИК  3011	УИК  3012	УИК  3013	УИК  3014	УИК  3015	УИК  3016	УИК  3017	УИК  3018	УИК  3019	УИК  3020	УИК  3021	УИК  3022	УИК  3023	УИК  3024	УИК  3025	УИК  3026	УИК  3027	УИК  3028	УИК  3029	УИК  3030	УИК  3031	УИК  3032	УИК  3033	УИК  3034	УИК  3035	УИК  3036	УИК  3037	УИК  3038	УИК  3039					
1	"Число избирателей, внесенных в список"	29457	529	269	685	936	181	453	144	396	204	906	776	348	250	97	348	752	955	420	79	2376	913	353	891	228	2599	940	461	533	337	1472	911	327	219	316	347	1860	1790	2034	1822					
2	Число полученных избирательных бюллетеней	29850	530	270	700	990	190	460	170	400	200	900	800	380	270	120	340	730	970	450	80	2380	930	340	880	300	2500	940	490	570	350	1500	940	330	230	330	360	1950	1800	2030	1750					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	19923	377	181	488	645	131	383	108	288	143	666	576	257	228	88	231	413	580	327	53	1509	522	199	545	207	1567	721	341	398	276	988	632	259	179	238	248	1184	1131	1354	1262					
5	"Число избирательных бюллетеней, выданных вне помещения"	1556	45	14	25	80	17	11	25	26	1	52	71	15	11	3	25	134	130	26	8	49	10	22	7	3	51	43	27	95	25	111	72	13	24	46	15	130	32	38	24					
6	Число погашенных избирательных бюллетеней	8371	108	75	187	265	42	66	37	86	56	182	153	108	31	29	84	183	260	97	19	822	398	119	328	90	882	176	122	77	49	401	236	58	27	46	97	636	637	638	464					
7	Число избирательных бюллетеней в переносных ящиках	1556	45	14	25	80	17	11	25	26	1	52	71	15	11	3	25	134	130	26	8	49	10	22	7	3	51	43	27	95	25	111	72	13	24	46	15	130	32	38	24					
8	Число бюллетеней в стационарных ящиках для голосования	19917	377	181	488	645	131	383	108	288	143	666	576	257	228	88	231	413	580	327	53	1509	522	199	545	207	1567	721	341	398	276	987	632	259	179	238	248	1184	1131	1351	1260					
9	Число недействительных избирательных бюллетеней	210	9	10	9	6	1	3	0	10	1	8	5	3	4	1	3	4	6	3	1	13	4	0	10	4	9	0	3	4	4	19	13	2	2	2	2	2	6	6	18					
10	Число действительных избирательных бюллетеней	21263	413	185	504	719	147	391	133	304	143	710	642	269	235	90	253	543	704	350	60	1545	528	221	542	206	1609	764	365	489	297	1079	691	270	201	282	261	1312	1157	1383	1266					
11	Число полученных открепительных  удостоверений	541	7	5	10	22	2	7	2	12	2	14	35	25	27	10	9	10	15	18	4	10	14	2	5	1	19	15	10	15	15	29	16	10	10	12	12	30	13	40	27					
12	Число выданных открепительных удостоверений	516	5	5	10	22	2	7	2	12	2	14	35	25	27	10	9	10	15	18	4	10	14	2	5	1	19	15	10	15	15	29	16	10	10	12	12	21	13	36	17					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	295	6	3	4	1	1	6	3	0	3	30	7	1	5	2	9	2	1	2	4	8	2	6	4	62	18	9	3	4	3	10	5	0	4	2	1	14	20	15	15					
14	Число неиспользованных открепительных удостоверений	25	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	4	10					
15	"Число открепительных удостоверений, выданных в ТИК"	9	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	1	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																														
18	. Глазьев Сергей Юрьевич	441	9	3	9	11	0	5	0	6	3	8	7	1	3	0	2	5	28	4	0	22	12	8	20	12	28	16	3	4	2	29	14	2	0	4	6	28	41	40	46					
		2.05%	2.13%	1.54%	1.75%	1.52%	0.00%	1.27%	0.00%	1.91%	2.08%	1.11%	1.08%	0.37%	1.26%	0.00%	0.78%	0.91%	3.94%	1.13%	0.00%	1.41%	2.26%	3.62%	3.62%	5.71%	1.73%	2.09%	0.82%	0.81%	0.66%	2.64%	1.99%	0.74%	0.00%	1.41%	2.28%	2.13%	3.53%	2.88%	3.58%					
19	. Малышкин Олег Александрович	513	7	7	13	20	7	6	1	5	2	19	15	13	3	1	3	5	14	7	2	33	18	5	14	6	45	15	4	10	2	37	23	8	6	7	5	30	38	35	22					
		2.39%	1.66%	3.59%	2.53%	2.76%	4.73%	1.52%	0.75%	1.59%	1.39%	2.65%	2.32%	4.78%	1.26%	1.10%	1.17%	0.91%	1.97%	1.98%	3.28%	2.12%	3.38%	2.26%	2.54%	2.86%	2.78%	1.96%	1.09%	2.03%	0.66%	3.37%	3.27%	2.94%	2.96%	2.46%	1.90%	2.28%	3.27%	2.52%	1.71%					
20	. Миронов Сергей Михайлович	154	2	4	2	9	0	8	0	6	0	3	4	5	2	0	0	3	10	0	1	9	7	4	6	0	16	2	1	0	0	8	6	3	0	2	2	9	8	5	7					
		0.72%	0.47%	2.05%	0.39%	1.24%	0.00%	2.03%	0.00%	1.91%	0.00%	0.42%	0.62%	1.84%	0.84%	0.00%	0.00%	0.55%	1.41%	0.00%	1.64%	0.58%	1.32%	1.81%	1.09%	0.00%	0.99%	0.26%	0.27%	0.00%	0.00%	0.73%	0.85%	1.10%	0.00%	0.70%	0.76%	0.68%	0.69%	0.36%	0.55%					
21	. Путин Владимир Владимирович	17576	364	153	413	621	132	340	127	245	115	581	548	194	210	85	228	481	558	305	51	1299	422	183	455	137	1343	648	313	443	261	846	548	232	176	226	225	1053	904	1130	981					
		81.85%	86.26%	78.46%	80.51%	85.66%	89.19%	86.29%	95.49%	78.03%	79.86%	80.92%	84.70%	71.32%	87.87%	93.41%	89.06%	87.93%	78.59%	86.40%	83.61%	83.38%	79.32%	82.81%	82.43%	65.24%	83.00%	84.82%	85.05%	89.86%	86.71%	77.05%	77.84%	85.29%	86.70%	79.58%	85.55%	80.14%	77.73%	81.35%	76.40%					
22	. Хакамада Ирина Муцуовна	396	2	3	4	10	0	4	1	2	2	14	4	3	5	0	3	8	7	3	1	23	13	1	9	16	37	10	8	4	0	26	16	0	1	3	5	39	27	42	40					
		1.84%	0.47%	1.54%	0.78%	1.38%	0.00%	1.02%	0.75%	0.64%	1.39%	1.95%	0.62%	1.10%	2.09%	0.00%	1.17%	1.46%	0.99%	0.85%	1.64%	1.48%	2.44%	0.45%	1.63%	7.62%	2.29%	1.31%	2.17%	0.81%	0.00%	2.37%	2.27%	0.00%	0.49%	1.06%	1.90%	2.97%	2.32%	3.02%	3.12%					
23	. Харитонов Николай Михайлович	1820	26	8	57	40	6	24	4	36	20	72	54	47	12	2	13	37	75	29	3	130	48	18	32	31	105	65	32	25	29	116	72	23	17	35	15	119	112	94	137					
		8.48%	6.16%	4.10%	11.11%	5.52%	4.05%	6.09%	3.01%	11.46%	13.89%	10.03%	8.35%	17.28%	5.02%	2.20%	5.08%	6.76%	10.56%	8.22%	4.92%	8.34%	9.02%	8.14%	5.80%	14.76%	6.49%	8.51%	8.70%	5.07%	9.63%	10.56%	10.23%	8.46%	8.37%	12.32%	5.70%	9.06%	9.63%	6.77%	10.67%					
																																														
