Выборы Президента Российской Федерации																																											
																																											
Наименование Избирательной комиссии:    Подольская																																											
																																											
Итоги голосования 																																											
																																											
		Сумма	УИК №2160	УИК №2161	УИК №2162	УИК №2163	УИК №2164	УИК №2165	УИК №2166	УИК №2167	УИК №2168	УИК №2169	УИК №2170	УИК №2171	УИК №2172	УИК №2173	УИК №2174	УИК №2175	УИК №2176	УИК №2177	УИК №2178	УИК №2179	УИК №2180	УИК №2181	УИК №2182	УИК №2183	УИК №2184	УИК №2185	УИК №2186	УИК №2187	УИК №2188	УИК №2189	УИК №2190	УИК №2191	УИК №2192	УИК №2193	УИК №2194	УИК №2195					
1	"Число избирателей, внесенных в список"	63234	2348	2634	2254	2768	1935	1931	2590	2417	2293	569	2082	1997	2247	2204	1832	422	908	1530	625	1947	2104	1953	2425	1173	1720	2239	1907	1875	1465	528	642	719	1490	2581	815	2065					
2	Число полученных избирательных бюллетеней	62750	2400	2600	2250	2700	2000	1900	2500	2100	2200	550	2000	2000	2200	2300	1900	400	950	1600	600	1900	2000	1900	2600	1100	1700	2300	2000	2000	1500	500	550	750	1500	2500	800	2000					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	42456	1746	2076	1850	1966	1372	1309	1573	1460	1450	396	1537	1418	1331	1488	1136	234	573	1151	357	1231	1205	1269	1620	698	1020	1530	1187	1226	1009	351	340	471	1027	1770	479	1600					
5	"Число избирательных бюллетеней, выданных вне помещения"	2995	56	57	60	36	87	108	120	259	68	29	9	198	81	96	189	93	46	90	84	47	103	182	91	52	91	132	59	50	49	29	90	76	28	40	46	64					
6	Число погашенных избирательных бюллетеней	17299	598	467	340	698	541	483	807	381	682	125	454	384	788	716	575	73	331	359	159	622	692	449	889	350	589	638	754	724	442	120	120	203	445	690	275	336					
7	Число избирательных бюллетеней в переносных ящиках	2995	56	57	60	36	87	108	120	259	68	29	9	198	81	96	189	93	46	90	84	47	103	182	91	52	91	132	59	50	49	29	90	76	28	40	46	64					
8	Число бюллетеней в стационарных ящиках для голосования	42379	1746	2076	1850	1966	1372	1309	1573	1460	1450	396	1537	1418	1331	1486	1136	234	572	1151	357	1231	1205	1269	1574	698	1020	1530	1187	1226	1009	351	340	471	999	1770	479	1600					
9	Число недействительных избирательных бюллетеней	766	22	54	7	37	36	24	19	43	17	11	49	25	27	10	10	3	11	14	5	20	34	25	20	28	10	19	23	28	17	10	0	8	21	38	11	30					
10	Число действительных избирательных бюллетеней	44608	1780	2079	1903	1965	1423	1393	1674	1676	1501	414	1497	1591	1385	1572	1315	324	607	1227	436	1258	1274	1426	1645	722	1101	1643	1223	1248	1041	370	430	539	1006	1772	514	1634					
11	Число полученных открепительных  удостоверений	1880	60	60	60	60	60	60	60	60	60	25	60	60	60	60	60	25	25	60	25	60	60	60	60	60	60	60	60	60	60	25	25	25	60	60	25	60					
12	Число выданных открепительных удостоверений	687	22	24	18	17	49	24	15	15	22	12	31	10	24	49	16	0	6	24	3	10	13	51	47	4	20	30	13	35	20	1	1	7	9	21	7	17					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	614	11	9	11	11	14	20	33	76	12	13	8	18	29	11	8	21	4	6	10	30	18	17	14	8	6	71	8	15	11	4	12	6	10	45	8	6					
14	Число неиспользованных открепительных удостоверений	1193	38	36	42	43	11	36	45	45	38	13	29	50	36	11	44	25	19	36	22	50	47	9	13	56	40	30	47	25	40	24	24	18	51	39	18	43					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																											
18	. Глазьев Сергей Юрьевич	3039	97	124	90	132	92	80	103	133	164	39	75	92	85	76	115	11	30	42	42	89	111	128	143	45	87	129	95	122	63	30	30	41	93	116	25	70					
		6.70%	5.38%	5.81%	4.71%	6.59%	6.31%	5.65%	6.08%	7.74%	10.80%	9.18%	4.85%	5.69%	6.02%	4.80%	8.68%	3.36%	4.85%	3.38%	9.52%	6.96%	8.49%	8.82%	8.59%	6.00%	7.83%	7.76%	7.62%	9.56%	5.95%	7.89%	6.98%	7.50%	9.06%	6.41%	4.76%	4.21%					
19	. Малышкин Олег Александрович	782	21	43	30	34	10	21	18	35	26	5	24	36	46	22	35	6	9	1	19	36	32	20	34	13	25	25	19	23	31	2	2	7	22	27	9	14					
		1.72%	1.17%	2.02%	1.57%	1.70%	0.69%	1.48%	1.06%	2.04%	1.71%	1.18%	1.55%	2.23%	3.26%	1.39%	2.64%	1.83%	1.46%	0.08%	4.31%	2.82%	2.45%	1.38%	2.04%	1.73%	2.25%	1.50%	1.52%	1.80%	2.93%	0.53%	0.47%	1.28%	2.14%	1.49%	1.71%	0.84%					
20	. Миронов Сергей Михайлович	296	6	54	9	12	5	8	5	4	5	1	10	9	12	7	22	2	6	12	2	8	7	9	10	5	3	11	9	1	5	2	4	2	3	19	3	4					
		0.65%	0.33%	2.53%	0.47%	0.60%	0.34%	0.56%	0.30%	0.23%	0.33%	0.24%	0.65%	0.56%	0.85%	0.44%	1.66%	0.61%	0.97%	0.97%	0.45%	0.63%	0.54%	0.62%	0.60%	0.67%	0.27%	0.66%	0.72%	0.08%	0.47%	0.53%	0.93%	0.37%	0.29%	1.05%	0.57%	0.24%					
21	. Путин Владимир Владимирович	32824	1404	1490	1517	1423	1071	1118	1298	1223	1036	287	1131	1227	1006	1210	866	236	440	970	303	896	867	947	1212	543	805	1183	841	834	761	242	260	403	732	1310	386	1346					
		72.34%	77.91%	69.85%	79.42%	71.08%	73.41%	78.90%	76.67%	71.15%	68.25%	67.53%	73.16%	75.93%	71.25%	76.49%	65.36%	72.17%	71.20%	78.16%	68.71%	70.11%	66.28%	65.27%	72.79%	72.40%	72.46%	71.18%	67.50%	65.36%	71.93%	63.68%	60.47%	73.67%	71.28%	72.38%	73.52%	80.89%					
22	. Хакамада Ирина Муцуовна	1346	52	47	48	67	41	33	40	49	57	7	44	27	48	52	72	21	26	34	11	41	40	30	46	32	28	55	48	54	31	11	11	18	26	52	19	28					
		2.97%	2.89%	2.20%	2.51%	3.35%	2.81%	2.33%	2.36%	2.85%	3.75%	1.65%	2.85%	1.67%	3.40%	3.29%	5.43%	6.42%	4.21%	2.74%	2.49%	3.21%	3.06%	2.07%	2.76%	4.27%	2.52%	3.31%	3.85%	4.23%	2.93%	2.89%	2.56%	3.29%	2.53%	2.87%	3.62%	1.68%					
23	. Харитонов Николай Михайлович	4070	125	177	142	188	122	78	116	175	145	50	107	127	141	117	130	32	54	96	44	129	161	234	132	52	85	147	133	143	108	61	96	51	73	154	45	100					
		8.97%	6.94%	8.30%	7.43%	9.39%	8.36%	5.50%	6.85%	10.18%	9.55%	11.76%	6.92%	7.86%	9.99%	7.40%	9.81%	9.79%	8.74%	7.74%	9.98%	10.09%	12.31%	16.13%	7.93%	6.93%	7.65%	8.84%	10.67%	11.21%	10.21%	16.05%	22.33%	9.32%	7.11%	8.51%	8.57%	6.01%					
																																											
24	Против всех	2251	75	144	67	109	82	55	94	57	68	25	106	73	47	88	75	16	42	72	15	59	56	58	68	32	68	93	78	71	42	22	27	17	57	94	27	72					
		4.96%	4.16%	6.75%	3.51%	5.44%	5.62%	3.88%	5.55%	3.32%	4.48%	5.88%	6.86%	4.52%	3.33%	5.56%	5.66%	4.89%	6.80%	5.80%	3.40%	4.62%	4.28%	4.00%	4.08%	4.27%	6.12%	5.60%	6.26%	5.56%	3.97%	5.79%	6.28%	3.11%	5.55%	5.19%	5.14%	4.33%					
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
