Выборы Президента Российской Федерации																											
																											
Наименование Избирательной комиссии:    Урицкая																											
																											
Итоги голосования 																											
																											
		Сумма	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715					
1	"Число избирателей, внесенных в список"	14626	575	411	523	500	317	409	362	261	909	363	441	430	438	378	386	278	623	2189	2351	2482					
2	Число полученных избирательных бюллетеней	14680	570	415	522	499	318	386	364	267	900	372	429	424	434	375	386	270	623	2211	2398	2517					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	10148	368	313	317	357	242	250	276	206	612	231	304	293	239	232	295	210	334	1649	1716	1704					
5	"Число избирательных бюллетеней, выданных вне помещения"	2437	168	62	165	117	63	136	70	55	265	115	102	99	175	134	73	60	232	135	71	140					
6	Число погашенных избирательных бюллетеней	2095	34	40	40	25	13	0	18	6	23	26	23	32	20	9	18	0	57	427	611	673					
7	Число избирательных бюллетеней в переносных ящиках	2437	168	62	165	117	63	136	70	55	265	115	102	99	175	134	73	60	232	135	71	140					
8	Число бюллетеней в стационарных ящиках для голосования	10148	368	313	317	357	242	250	276	206	612	231	304	293	239	232	295	210	334	1649	1716	1704					
9	Число недействительных избирательных бюллетеней	88	3	1	5	0	1	2	0	0	5	1	2	11	2	2	4	5	1	16	2	25					
10	Число действительных избирательных бюллетеней	12497	533	374	477	474	304	384	346	261	872	345	404	381	412	364	364	265	565	1768	1785	1819					
11	Число полученных открепительных  удостоверений	240	9	9	9	9	7	9	9	9	10	9	9	9	9	9	9	9	11	22	42	22					
12	Число выданных открепительных удостоверений	90	0	3	0	0	0	2	4	0	6	3	0	1	1	2	1	0	2	12	31	22					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	78	5	1	0	4	2	0	1	3	9	2	2	9	3	7	0	7	2	11	7	3					
14	Число неиспользованных открепительных удостоверений	150	9	6	9	9	7	7	5	9	4	6	9	8	8	7	8	9	9	10	11	0					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																											
18	. Глазьев Сергей Юрьевич	336	16	10	11	15	3	15	3	1	6	16	6	16	15	1	12	6	10	53	58	63					
		2.67%	2.99%	2.67%	2.28%	3.16%	0.98%	3.89%	0.87%	0.38%	0.68%	4.62%	1.48%	4.08%	3.62%	0.27%	3.26%	2.22%	1.77%	2.97%	3.25%	3.42%					
19	. Малышкин Олег Александрович	303	9	8	7	24	5	6	5	2	14	11	13	10	14	10	14	4	17	34	36	60					
		2.41%	1.68%	2.13%	1.45%	5.06%	1.64%	1.55%	1.45%	0.77%	1.60%	3.18%	3.20%	2.55%	3.38%	2.73%	3.80%	1.48%	3.00%	1.91%	2.01%	3.25%					
20	. Миронов Сергей Михайлович	110	2	2	3	3	3	1	3	1	2	2	6	3	6	1	2	1	7	20	20	22					
		0.87%	0.37%	0.53%	0.62%	0.63%	0.98%	0.26%	0.87%	0.38%	0.23%	0.58%	1.48%	0.77%	1.45%	0.27%	0.54%	0.37%	1.24%	1.12%	1.12%	1.19%					
21	. Путин Владимир Владимирович	8295	363	244	328	384	260	264	241	199	618	231	285	288	261	224	274	159	362	1084	1114	1112					
		65.91%	67.72%	65.07%	68.05%	81.01%	85.25%	68.39%	69.65%	76.25%	70.47%	66.76%	70.20%	73.47%	63.04%	61.20%	74.46%	58.89%	63.96%	60.76%	62.34%	60.30%					
22	. Хакамада Ирина Муцуовна	265	16	9	11	3	1	8	5	4	5	8	7	5	14	9	8	3	11	38	51	49					
		2.11%	2.99%	2.40%	2.28%	0.63%	0.33%	2.07%	1.45%	1.53%	0.57%	2.31%	1.72%	1.28%	3.38%	2.46%	2.17%	1.11%	1.94%	2.13%	2.85%	2.66%					
23	. Харитонов Николай Михайлович	2840	123	94	110	44	32	85	80	54	213	62	75	54	83	104	44	80	153	484	421	445					
		22.57%	22.95%	25.07%	22.82%	9.28%	10.49%	22.02%	23.12%	20.69%	24.29%	17.92%	18.47%	13.78%	20.05%	28.42%	11.96%	29.63%	27.03%	27.13%	23.56%	24.13%					
																											
24	Против всех	348	4	7	7	1	0	5	9	0	14	15	12	5	19	15	10	12	5	55	85	68					
		2.77%	0.75%	1.87%	1.45%	0.21%	0.00%	1.30%	2.60%	0.00%	1.60%	4.34%	2.96%	1.28%	4.59%	4.10%	2.72%	4.44%	0.88%	3.08%	4.76%	3.69%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
