Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																					
Дата голосования: 04.12.2011																					
																					
Наименование Избирательной комиссии:    Булунская																					
																					
Сводная таблица результатов выборов																					
																					
		Сумма	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №807	УИК №808	УИК №809	УИК №810					
1	"Число избирателей, внесенных в список избирателей"	5568	941	813	898	1052	221	598	320	198	102	403	9	3	5	5					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	5271	730	650	850	950	300	670	310	220	120	449	9	3	5	5					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	279	0	0	0	0	49	43	26	22	12	127	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	3457	504	479	505	651	155	403	243	172	80	243	9	3	5	5					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	293	31	55	40	58	17	53	16	4	4	15	0	0	0	0					
6	Число погашенных избирательных бюллетеней	1242	195	116	305	241	79	171	25	22	24	64	0	0	0	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	572	31	55	40	58	66	96	42	26	16	142	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	3457	504	479	505	651	155	403	243	172	80	243	9	3	5	5					
9	Число недействительных избирательных бюллетеней	60	5	6	11	20	1	8	2	1	0	6	0	0	0	0					
10	Число действительных избирательных бюллетеней	3969	530	528	534	689	220	491	283	197	96	379	9	3	5	5					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	226	30	30	30	30	15	25	15	15	10	26	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	63	7	3	7	5	4	25	0	10	1	1	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	46	0	28	0	13	2	0	1	2	0	0	0	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	163	23	27	23	25	11	0	15	5	9	25	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	23	5	4	4	2	1	2	0	2	2	1	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																					
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	716	81	99	90	95	33	149	60	46	10	52	0	0	0	1					
		17.77%	15.14%	18.54%	16.51%	13.40%	14.93%	29.86%	21.05%	23.23%	10.42%	13.51%	0.00%	0.00%	0.00%	20.00%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	358	61	43	56	163	6	7	9	1	0	8	3	0	1	0					
		8.89%	11.40%	8.05%	10.28%	22.99%	2.71%	1.40%	3.16%	0.51%	0.00%	2.08%	33.33%	0.00%	20.00%	0.00%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	44	3	3	5	19	0	4	2	3	0	5	0	0	0	0					
		1.09%	0.56%	0.56%	0.92%	2.68%	0.00%	0.80%	0.70%	1.52%	0.00%	1.30%	0.00%	0.00%	0.00%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	589	102	63	91	137	21	47	40	41	11	35	0	0	0	1					
		14.62%	19.07%	11.80%	16.70%	19.32%	9.50%	9.42%	14.04%	20.71%	11.46%	9.09%	0.00%	0.00%	0.00%	20.00%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	39	5	7	6	16	1	1	0	0	1	2	0	0	0	0					
		0.97%	0.93%	1.31%	1.10%	2.26%	0.45%	0.20%	0.00%	0.00%	1.04%	0.52%	0.00%	0.00%	0.00%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2200	274	308	285	255	159	281	170	105	74	274	6	2	4	3					
		54.60%	51.21%	57.68%	52.29%	35.97%	71.95%	56.31%	59.65%	53.03%	77.08%	71.17%	66.67%	66.67%	80.00%	60.00%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	23	4	5	1	4	0	2	2	1	0	3	0	1	0	0					
		0.57%	0.75%	0.94%	0.18%	0.56%	0.00%	0.40%	0.70%	0.51%	0.00%	0.78%	0.00%	33.33%	0.00%	0.00%					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
