Выборы Президента Российской Федерации										
										
Наименование Избирательной комиссии:    Локомотивная поселковая										
										
Итоги голосования 										
										
		Сумма	УИК №1695	УИК №1696	УИК №1697					
1	"Число избирателей, внесенных в список"	6314	1991	2033	2290					
2	Число полученных избирательных бюллетеней	6000	1800	2000	2200					
3	"Число избирательных бюллетеней, выданных  досрочно"	181	23	134	24					
4	"Число избирательных бюллетеней, выданных в день голосования"	3909	1132	1349	1428					
5	"Число избирательных бюллетеней, выданных вне помещения"	111	23	80	8					
6	Число погашенных избирательных бюллетеней	1799	622	437	740					
7	Число избирательных бюллетеней в переносных ящиках	292	46	214	32					
8	Число бюллетеней в стационарных ящиках для голосования	3906	1131	1348	1427					
9	Число недействительных избирательных бюллетеней	35	8	12	15					
10	Число действительных избирательных бюллетеней	4163	1169	1550	1444					
11	Число полученных открепительных  удостоверений	110	30	40	40					
12	Число выданных открепительных удостоверений	94	24	35	35					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	20	7	8	5					
14	Число неиспользованных открепительных удостоверений	16	6	5	5					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	1	2					
16	Число утраченных избирательных бюллетеней	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"										
18	. Глазьев Сергей Юрьевич	86	26	26	34					
		2.05%	2.21%	1.66%	2.33%					
19	. Малышкин Олег Александрович	173	61	48	64					
		4.12%	5.18%	3.07%	4.39%					
20	. Миронов Сергей Михайлович	28	6	7	15					
		0.67%	0.51%	0.45%	1.03%					
21	. Путин Владимир Владимирович	3438	935	1337	1166					
		81.90%	79.44%	85.60%	79.92%					
22	. Хакамада Ирина Муцуовна	93	29	24	40					
		2.22%	2.46%	1.54%	2.74%					
23	. Харитонов Николай Михайлович	198	74	53	71					
		4.72%	6.29%	3.39%	4.87%					
										
24	Против всех	147	38	55	54					
		3.50%	3.23%	3.52%	3.70%					
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
