Выборы Президента Российской Федерации																																																																
																																																																
Наименование Избирательной комиссии:    Лазовская																																																																
																																																																
Итоги голосования 																																																																
																																																																
		Сумма	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648					
1	"Число избирателей, внесенных в список"	35934	2601	1856	639	696	1470	732	928	386	783	92	1549	698	1363	2592	2170	466	416	267	513	123	796	521	510	45	254	70	312	200	721	98	612	148	299	399	460	60	105	257	142	115	289	204	158	435	1319	91	567	599	711	363	403	662	1162	956	1273	148	130					
2	Число полученных избирательных бюллетеней	36355	2675	2055	640	645	1420	725	950	390	770	100	1560	680	1475	2550	2385	485	410	265	495	130	760	495	475	45	225	65	285	185	695	105	590	145	310	410	485	65	110	250	145	120	300	205	170	475	1265	95	570	605	745	355	360	555	1185	1020	1370	170	140					
3	"Число избирательных бюллетеней, выданных  досрочно"	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	23801	1890	1184	340	440	1178	511	592	263	483	82	921	371	749	1690	1712	302	281	187	316	78	506	302	342	39	194	50	229	161	531	73	403	97	193	255	243	46	62	199	104	91	234	146	129	327	738	80	316	387	522	308	276	427	601	576	784	138	122					
5	"Число избирательных бюллетеней, выданных вне помещения"	2709	96	165	98	54	38	47	100	56	151	4	117	88	111	74	49	33	37	28	20	16	92	78	51	5	19	11	45	19	78	18	102	11	24	44	56	3	19	19	0	7	4	35	13	34	73	5	81	63	20	17	47	51	54	77	49	3	0					
6	Число погашенных избирательных бюллетеней	9768	689	706	202	151	204	167	258	71	136	14	522	221	615	786	624	150	92	50	159	36	162	115	82	1	12	4	11	5	86	14	85	37	93	111	186	16	29	32	41	22	62	24	28	114	454	10	173	155	203	30	37	0	530	367	537	29	18					
7	Число избирательных бюллетеней в переносных ящиках	2786	96	165	98	54	38	47	100	56	151	4	117	88	111	74	49	33	37	28	20	16	92	78	51	5	19	11	45	19	78	18	102	11	24	44	56	3	19	19	0	7	4	35	13	34	73	5	81	63	20	17	47	128	54	77	49	3	0					
8	Число бюллетеней в стационарных ящиках для голосования	23790	1890	1184	340	440	1178	511	592	263	483	82	921	371	746	1690	1712	302	281	187	316	78	506	302	342	39	194	50	229	161	531	73	403	97	193	255	243	46	62	199	104	91	234	146	129	327	730	80	316	387	522	308	276	427	601	576	784	138	122					
9	Число недействительных избирательных бюллетеней	262	30	10	1	3	7	3	13	3	4	0	8	3	12	17	15	2	3	0	3	2	6	2	3	2	5	1	1	0	6	0	6	1	4	3	2	0	2	2	0	0	1	2	0	5	17	0	10	5	8	3	0	6	5	3	11	1	0					
10	Число действительных избирательных бюллетеней	26314	1956	1339	437	491	1209	555	679	316	630	86	1030	456	845	1747	1746	333	315	215	333	92	592	378	390	42	208	60	273	180	603	91	499	107	213	296	297	49	79	216	104	98	237	179	142	356	786	85	387	445	534	322	323	549	650	650	822	140	122					
