Выборы Президента Российской Федерации																																																													
																																																													
Наименование Избирательной комиссии:    Темрюкская																																																													
																																																													
Итоги голосования 																																																													
																																																													
		Сумма	УИК №4901	УИК №4902	УИК №4903	УИК №4904	УИК №4905	УИК №4906	УИК №4907	УИК №4908	УИК №4909	УИК №4910	УИК №4911	УИК №4912	УИК №4913	УИК №4914	УИК №4915	УИК №4916	УИК №4917	УИК №4918	УИК №4919	УИК №4920	УИК №4921	УИК №4922	УИК №4923	УИК №4924	УИК №4925	УИК №4926	УИК №4927	УИК №4928	УИК №4929	УИК №4930	УИК №4931	УИК №4932	УИК №4933	УИК №4934	УИК №4935	УИК №4936	УИК №4937	УИК №4938	УИК №4939	УИК №4940	УИК №4941	УИК №4942	УИК №4943	УИК №4944	УИК №4945	УИК №4946	УИК №4947	УИК №4948	УИК №4949	УИК №4950	УИК №4951	УИК №4952	УИК №4953	УИК №4954					
1	"Число избирателей, внесенных в список"	86650	1081	538	1823	2080	1399	2292	1998	2735	2496	2614	1356	1464	1628	1415	1452	1584	1460	859	2254	1611	1732	1372	1081	2093	1012	2397	2194	1657	1265	1376	2383	1305	2080	2270	1760	1613	1105	1911	1162	895	1557	1118	1999	1782	991	196	658	2433	2112	2030	840	1452	1185	1495					
2	Число полученных избирательных бюллетеней	84439	1143	491	1890	2084	1327	2484	2680	2321	2318	2530	1462	1423	1537	1209	1264	1447	1386	826	2080	1513	1650	1358	973	1858	934	2257	2081	1514	1221	1332	2341	1355	2072	2211	1596	1691	1026	1761	1175	876	1537	1073	1891	1880	961	197	727	2336	2243	2024	810	1416	1075	1572					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	52562	587	308	1004	1113	646	1402	1084	1417	1206	1509	953	903	785	973	869	865	897	565	1427	1082	1069	755	737	1161	579	1398	1328	900	1098	695	1338	815	1328	1351	1005	1159	859	1279	804	575	1281	737	1433	895	490	158	565	1524	1216	1254	514	924	773	970					
5	"Число избирательных бюллетеней, выданных вне помещения"	3438	122	92	86	44	79	54	41	81	163	32	84	62	112	21	46	47	119	29	54	51	32	31	78	83	29	53	68	77	42	79	67	39	42	54	43	40	57	156	16	16	50	87	21	215	122	0	29	65	133	60	13	71	6	45					
6	Число погашенных избирательных бюллетеней	28439	434	91	800	927	602	1028	1555	823	949	989	425	458	640	215	349	535	370	232	599	380	549	572	158	614	326	806	685	537	81	558	936	501	702	806	548	492	110	326	355	285	206	249	437	770	349	39	133	747	894	710	283	421	296	557					
7	Число избирательных бюллетеней в переносных ящиках	3438	122	92	86	44	79	54	41	81	163	32	84	62	112	21	46	47	119	29	54	51	32	31	78	83	29	53	68	77	42	79	67	39	42	54	43	40	57	156	16	16	50	87	21	215	122	0	29	65	133	60	13	71	6	45					
8	Число бюллетеней в стационарных ящиках для голосования	52562	587	308	1004	1113	646	1402	1084	1417	1206	1509	953	903	785	973	869	865	897	565	1427	1082	1069	755	737	1161	579	1398	1328	900	1098	695	1338	815	1328	1351	1005	1159	859	1279	804	575	1281	737	1433	895	490	158	565	1524	1216	1254	514	924	773	970					
9	Число недействительных избирательных бюллетеней	464	5	3	12	8	10	9	12	5	14	0	12	11	0	1	11	0	0	4	6	4	14	11	5	13	5	8	16	11	6	15	15	5	15	9	8	9	6	12	7	6	21	3	19	7	4	2	4	20	20	12	0	8	13	8					
10	Число действительных избирательных бюллетеней	55536	704	397	1078	1149	715	1447	1113	1493	1355	1541	1025	954	897	993	904	912	1016	590	1475	1129	1087	775	810	1231	603	1443	1380	966	1134	759	1390	849	1355	1396	1040	1190	910	1423	813	585	1310	821	1435	1103	608	156	590	1569	1329	1302	527	987	766	1007					
