12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1011	13	9	14	6	1	23	14	12	18	11	2	18	12	43	17	6	27	19	15	17	18	17	12	13	14	19	19	23	25	25	31	21	19	8	16	23	5	16	15	15	10	11	21	13	16	18	10	20	16	15	12	15	17	7	14	23	18	20	15	14	24	14	17	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	687	6	13	13	5	4	14	63	11	5	2	1	10	8	11	9	16	4	10	5	19	22	9	12	11	3	5	6	11	4	17	18	4	9	8	10	10	11	15	4	10	8	19	13	7	7	14	9	7	1	7	3	10	8	4	12	9	12	13	15	24	10	16	9	7	9	6					
14	Число неиспользованных открепительных удостоверений	804	7	36	6	24	9	7	16	18	12	24	13	22	23	7	13	4	13	11	0	18	22	18	13	2	1	21	21	22	5	15	4	29	11	12	14	7	20	4	0	20	15	19	4	12	4	17	15	0	24	20	13	10	13	8	1	2	12	5	20	11	11	11	13	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям ТИК"	78	2	2	3	0	0	2	1	2	1	0	2	3	2	0	0	0	2	1	0	0	2	2	0	2	3	0	1	1	0	0	2	1	2	3	0	1	2	0	0	3	0	1	4	1	2	0	0	1	1	2	2	2	1	1	0	1	3	2	1	1	2	2	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	"Число открепительных удостоверений, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																									
18	Богданов Андрей Владимирович	707	9	12	10	6	1	11	16	8	6	4	2	10	9	13	9	3	17	9	13	15	14	10	8	6	5	14	5	14	16	15	13	8	14	18	18	6	23	13	8	13	14	15	12	8	8	15	12	10	10	4	11	14	11	6	5	16	20	22	10	9	18	7	10	7	7	2					
		1.07%	0.84%	1.08%	0.90%	1.21%	0.61%	1.08%	1.63%	1.51%	0.95%	0.51%	0.65%	0.77%	0.77%	1.28%	1.57%	0.56%	1.43%	1.01%	2.10%	1.14%	0.95%	0.95%	0.80%	0.68%	0.74%	1.43%	0.51%	1.04%	1.28%	1.14%	1.04%	0.65%	1.03%	1.33%	1.38%	0.54%	1.98%	1.51%	0.80%	0.95%	1.22%	0.99%	1.29%	1.28%	0.72%	1.32%	1.46%	0.78%	0.88%	0.36%	1.20%	1.01%	0.85%	0.84%	0.60%	1.07%	1.78%	1.63%	0.86%	1.00%	1.19%	0.75%	0.90%	2.58%	1.82%	1.54%					
19	Жириновский Владимир Вольфович	7317	136	112	126	79	13	107	119	65	73	88	37	131	132	115	67	55	151	94	62	153	148	82	98	94	67	101	100	145	146	167	143	135	141	177	155	135	123	106	116	149	106	144	108	75	125	116	76	132	142	122	97	133	131	85	110	167	134	147	126	110	171	100	131	32	41	13					
		11.07%	12.72%	10.07%	11.34%	15.99%	7.93%	10.49%	12.09%	12.29%	11.57%	11.13%	12.05%	10.06%	11.36%	11.36%	11.65%	10.19%	12.70%	10.54%	10.02%	11.64%	9.99%	7.79%	9.74%	10.67%	9.94%	10.30%	10.18%	10.82%	11.71%	12.73%	11.45%	10.97%	10.41%	13.04%	11.85%	12.14%	10.59%	12.34%	11.63%	10.87%	9.21%	9.55%	11.59%	11.98%	11.21%	10.22%	9.25%	10.31%	12.50%	11.13%	10.55%	9.56%	10.16%	11.90%	13.11%	11.21%	11.95%	10.86%	10.87%	12.25%	11.30%	10.65%	11.84%	11.81%	10.68%	10.00%					
20	Зюганов Геннадий Андреевич	5452	63	87	104	36	16	107	101	36	77	69	33	124	84	77	39	60	76	91	70	146	117	60	80	69	57	67	73	105	110	120	104	91	103	128	112	72	94	84	65	117	107	109	75	38	99	97	79	97	86	78	81	104	122	68	80	137	81	118	104	64	104	68	79	20	27	6					
		8.25%	5.89%	7.82%	9.36%	7.29%	9.76%	10.49%	10.26%	6.81%	12.20%	8.72%	10.75%	9.52%	7.23%	7.61%	6.78%	11.11%	6.39%	10.20%	11.31%	11.11%	7.90%	5.70%	7.95%	7.83%	8.46%	6.83%	7.43%	7.84%	8.82%	9.15%	8.33%	7.39%	7.61%	9.43%	8.56%	6.47%	8.09%	9.78%	6.52%	8.53%	9.30%	7.23%	8.05%	6.07%	8.88%	8.55%	9.61%	7.58%	7.57%	7.12%	8.81%	7.48%	9.46%	9.52%	9.54%	9.19%	7.23%	8.72%	8.97%	7.13%	6.87%	7.24%	7.14%	7.38%	7.03%	4.62%					
21	Медведев Дмитрий Анатольевич	52047	849	898	860	372	132	781	748	416	464	620	234	1030	928	803	454	413	924	690	467	989	1193	888	811	705	536	791	795	1064	968	1004	979	985	1084	1023	1013	889	908	652	798	1078	912	1226	731	499	872	899	649	1031	880	886	726	1121	1021	552	631	1153	879	1057	910	709	1213	754	876	210	307	107					
		78.75%	79.42%	80.76%	77.41%	75.30%	80.49%	76.57%	76.02%	78.64%	73.53%	78.38%	76.22%	79.11%	79.86%	79.35%	78.96%	76.48%	77.71%	77.35%	75.44%	75.27%	80.55%	84.41%	80.62%	80.02%	79.53%	80.63%	80.96%	79.40%	77.63%	76.52%	78.38%	80.02%	80.06%	75.39%	77.45%	79.95%	78.14%	75.90%	80.04%	78.63%	79.24%	81.30%	78.43%	79.71%	78.21%	79.21%	78.95%	80.55%	77.46%	80.84%	78.99%	80.59%	79.21%	77.31%	75.21%	77.38%	78.41%	78.12%	78.52%	78.95%	80.17%	80.30%	79.20%	77.49%	79.95%	82.31%					
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
