Выборы Президента Российской Федерации																																												
																																												
Наименование Избирательной комиссии:    Усть-Таркская																																												
																																												
Итоги голосования 																																												
																																												
		Сумма	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083					
1	"Число избирателей, внесенных в список"	10358	481	59	72	78	662	112	87	97	382	204	553	140	140	309	139	63	278	69	231	72	321	77	122	214	128	83	1282	2061	258	430	93	299	71	92	391	112	96					
2	Число полученных избирательных бюллетеней	10392	485	60	75	86	643	114	84	100	386	207	552	140	136	319	139	64	298	88	228	72	322	77	122	214	127	85	1248	2055	263	432	104	295	72	93	392	114	101					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7717	418	45	68	70	428	84	80	87	314	165	358	117	102	281	128	59	235	58	174	72	248	73	121	182	114	82	743	1337	168	318	87	236	62	79	328	112	84					
5	"Число избирательных бюллетеней, выданных вне помещения"	168	0	0	0	0	23	0	0	0	0	0	12	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	34	47	11	14	0	0	0	7	0	0	0					
6	Число погашенных избирательных бюллетеней	2507	67	15	7	16	192	30	4	13	72	42	182	23	34	38	11	5	63	30	34	0	74	4	1	32	13	3	471	671	84	100	17	59	10	7	64	2	17					
7	Число избирательных бюллетеней в переносных ящиках	168	0	0	0	0	23	0	0	0	0	0	12	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	34	47	11	14	0	0	0	7	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	7716	418	45	68	70	428	84	80	87	314	165	358	117	102	281	128	59	235	58	174	72	248	73	120	182	114	82	743	1337	168	318	87	236	62	79	328	112	84					
9	Число недействительных избирательных бюллетеней	94	2	0	0	0	9	0	0	0	1	3	6	0	1	6	2	0	5	0	4	0	4	0	5	0	0	0	16	10	2	3	6	2	0	2	3	2	0					
10	Число действительных избирательных бюллетеней	7790	416	45	68	70	442	84	80	87	313	162	364	117	101	275	126	59	230	58	190	72	244	73	115	182	114	82	761	1374	177	329	81	234	62	84	325	110	84					
11	Число полученных открепительных  удостоверений	498	15	10	10	10	15	10	10	10	15	10	15	10	10	15	10	10	15	10	15	10	15	10	10	15	10	10	40	48	10	15	10	15	10	10	15	10	10					
12	Число выданных открепительных удостоверений	14	0	0	0	0	0	0	0	0	2	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	17	0	1	0	0	0	0	1	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	5	0	2	0	0	0	0	1	2	0					
14	Число неиспользованных открепительных удостоверений	484	15	10	10	10	15	10	10	10	13	10	13	10	10	14	10	10	15	10	15	10	15	10	10	15	10	10	39	40	10	15	10	15	10	10	15	10	10					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
