Выборы Президента Российской Федерации																											
																											
Наименование Избирательной комиссии:    Ирафская																											
																											
Итоги голосования 																											
																											
		Сумма	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83					
1	"Число избирателей, внесенных в список"	11030	1710	1823	1492	336	1244	431	253	588	274	791	821	274	41	240	112	204	117	79	120	80					
2	Число полученных избирательных бюллетеней	10731	1734	1592	1400	323	1219	417	300	588	277	815	815	269	40	230	112	200	117	83	120	80					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9644	1576	1580	1325	307	1115	292	229	511	241	676	679	257	33	177	106	172	117	79	103	69					
5	"Число избирательных бюллетеней, выданных вне помещения"	435	134	8	37	6	14	23	24	57	0	21	31	4	0	37	6	15	0	0	7	11					
6	Число погашенных избирательных бюллетеней	652	24	4	38	10	90	102	47	20	36	118	105	8	7	16	0	13	0	4	10	0					
7	Число избирательных бюллетеней в переносных ящиках	435	134	8	37	6	14	23	24	57	0	21	31	4	0	37	6	15	0	0	7	11					
8	Число бюллетеней в стационарных ящиках для голосования	9640	1576	1580	1321	307	1115	292	229	511	241	676	679	257	33	177	106	172	117	79	103	69					
9	Число недействительных избирательных бюллетеней	147	8	8	4	23	6	2	1	5	0	5	50	0	0	1	4	17	8	1	0	4					
10	Число действительных избирательных бюллетеней	9928	1702	1580	1354	290	1123	313	252	563	241	692	660	261	33	213	108	170	109	78	110	76					
11	Число полученных открепительных  удостоверений	186	30	30	30	5	10	5	10	5	5	10	10	5	3	5	5	5	5	5	3	0					
12	Число выданных открепительных удостоверений	57	7	7	10	1	10	4	10	2	3	1	0	0	0	0	0	1	0	0	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	50	1	0	1	1	0	2	3	2	0	0	0	0	2	1	4	2	3	3	0	25					
14	Число неиспользованных открепительных удостоверений	129	23	23	20	4	0	1	0	3	2	9	10	5	3	5	5	4	5	5	2	0					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																											
18	. Глазьев Сергей Юрьевич	28	2	6	6	0	0	2	1	0	0	5	6	0	0	0	0	0	0	0	0	0					
		0.28%	0.12%	0.38%	0.44%	0.00%	0.00%	0.63%	0.40%	0.00%	0.00%	0.72%	0.85%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
19	. Малышкин Олег Александрович	12	1	2	4	0	0	0	0	0	1	1	3	0	0	0	0	0	0	0	0	0					
		0.12%	0.06%	0.13%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.14%	0.42%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	16	5	1	4	0	0	1	0	0	1	0	2	2	0	0	0	0	0	0	0	0					
		0.16%	0.29%	0.06%	0.29%	0.00%	0.00%	0.32%	0.00%	0.00%	0.41%	0.00%	0.28%	0.77%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	8300	1390	1525	1151	284	940	160	215	534	122	448	572	208	23	153	90	145	104	71	93	72					
		82.38%	81.29%	96.03%	84.76%	90.73%	83.26%	50.79%	84.98%	94.01%	50.62%	64.28%	80.56%	79.69%	69.70%	71.50%	80.36%	77.54%	88.89%	89.87%	84.55%	90.00%					
22	. Хакамада Ирина Муцуовна	48	6	9	5	0	2	5	1	0	3	3	5	0	2	1	3	0	0	3	0	0					
		0.48%	0.35%	0.57%	0.37%	0.00%	0.18%	1.59%	0.40%	0.00%	1.24%	0.43%	0.70%	0.00%	6.06%	0.47%	2.68%	0.00%	0.00%	3.80%	0.00%	0.00%					
23	. Харитонов Николай Михайлович	1489	295	33	181	6	176	144	34	28	114	233	64	48	8	55	15	25	5	4	17	4					
		14.78%	17.25%	2.08%	13.33%	1.92%	15.59%	45.71%	13.44%	4.93%	47.30%	33.43%	9.01%	18.39%	24.24%	25.70%	13.39%	13.37%	4.27%	5.06%	15.45%	5.00%					
																											
24	Против всех	35	3	4	3	0	5	1	1	1	0	2	8	3	0	4	0	0	0	0	0	0					
		0.35%	0.18%	0.25%	0.22%	0.00%	0.44%	0.32%	0.40%	0.18%	0.00%	0.29%	1.13%	1.15%	0.00%	1.87%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
