Выборы Президента Российской Федерации																																																				
																																																				
Наименование Избирательной комиссии:    Ташлинская																																																				
																																																				
Итоги голосования 																																																				
																																																				
		Сумма	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1641	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671					
1	"Число избирателей, внесенных в список"	18617	763	494	162	367	232	170	422	85	147	427	591	158	200	235	1087	433	461	100	168	267	557	85	476	172	72	349	92	256	773	197	200	2271	2832	85	572	176	475	144	139	282	230	567	222	181	243					
2	Число полученных избирательных бюллетеней	18769	793	485	165	360	235	168	444	85	154	425	630	163	220	242	1100	428	468	98	178	268	560	81	473	169	70	355	92	251	795	210	190	2300	2780	86	580	192	505	144	140	280	230	555	217	175	230					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	15632	691	416	147	307	222	140	356	82	147	367	453	144	175	187	984	398	416	95	153	229	514	71	393	153	70	330	90	237	672	184	177	1495	2039	72	523	157	465	139	135	262	189	537	217	172	230					
5	"Число избирательных бюллетеней, выданных вне помещения"	805	0	50	12	33	0	21	28	2	0	44	32	4	18	11	64	8	4	0	3	7	16	0	35	12	0	10	2	11	28	0	11	134	125	7	21	19	7	4	0	11	11	0	0	0	0					
6	Число погашенных избирательных бюллетеней	2332	102	19	6	20	13	7	60	1	7	14	145	15	27	44	52	22	48	3	22	32	30	10	45	4	0	15	0	3	95	26	2	671	616	7	36	16	33	1	5	7	30	18	0	3	0					
7	Число избирательных бюллетеней в переносных ящиках	805	0	50	12	33	0	21	28	2	0	44	32	4	18	11	64	8	4	0	3	7	16	0	35	12	0	10	2	11	28	0	11	134	125	7	21	19	7	4	0	11	11	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	15556	691	416	147	307	222	140	356	82	147	367	453	144	175	187	984	398	416	95	153	229	514	71	393	153	70	330	90	237	672	184	177	1495	1963	72	523	157	465	139	135	262	189	537	217	172	230					
9	Число недействительных избирательных бюллетеней	217	9	0	0	1	0	5	5	0	0	2	6	0	2	5	84	1	1	0	0	1	2	1	3	0	1	3	0	1	8	3	10	8	10	0	1	2	4	1	0	19	12	4	0	1	1					
10	Число действительных избирательных бюллетеней	16144	682	466	159	339	222	156	379	84	147	409	479	148	191	193	964	405	419	95	156	235	528	70	425	165	69	337	92	247	692	181	178	1621	2078	79	543	174	468	142	135	254	188	533	217	171	229					
11	Число полученных открепительных  удостоверений	400	15	10	5	15	5	5	13	4	5	8	15	5	6	6	15	8	15	5	5	6	10	4	10	5	5	10	5	5	15	5	5	20	50	5	10	6	15	0	0	7	7	15	5	5	5					
12	Число выданных открепительных удостоверений	218	15	10	5	3	5	0	0	0	0	3	15	0	1	2	5	0	9	0	0	0	4	0	10	0	0	5	0	0	6	5	3	16	50	1	10	6	12	0	0	3	3	10	0	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	46	1	3	1	0	1	0	0	0	0	1	0	0	0	1	4	1	0	0	1	0	1	1	0	1	0	1	0	0	2	0	0	5	15	0	1	1	2	0	0	0	0	0	0	2	0					
14	Число неиспользованных открепительных удостоверений	182	0	0	0	12	0	5	13	4	5	5	0	5	5	4	10	8	6	5	5	6	6	4	0	5	5	5	5	5	9	0	2	4	0	4	0	0	3	0	0	4	4	5	5	5	4					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																				
18	. Глазьев Сергей Юрьевич	521	5	20	3	10	15	8	14	1	4	2	12	1	10	2	24	5	21	2	3	14	19	0	23	7	3	3	1	2	12	3	5	68	131	3	16	2	7	3	0	2	0	20	12	2	1					
		3.18%	0.72%	4.29%	1.89%	2.94%	6.76%	4.97%	3.65%	1.19%	2.72%	0.49%	2.47%	0.68%	5.18%	1.01%	2.29%	1.23%	5.00%	2.11%	1.92%	5.93%	3.58%	0.00%	5.37%	4.24%	4.29%	0.88%	1.09%	0.81%	1.71%	1.63%	2.66%	4.17%	6.27%	3.80%	2.94%	1.14%	1.48%	2.10%	0.00%	0.73%	0.00%	3.72%	5.53%	1.16%	0.43%					
19	. Малышкин Олег Александрович	738	27	12	12	24	8	8	19	22	17	10	24	7	6	12	38	26	25	3	6	11	12	7	18	8	2	7	0	6	27	19	0	83	117	3	17	6	6	8	11	6	2	27	13	2	14					
		4.51%	3.91%	2.58%	7.55%	7.06%	3.60%	4.97%	4.95%	26.19%	11.56%	2.43%	4.95%	4.73%	3.11%	6.06%	3.63%	6.40%	5.95%	3.16%	3.85%	4.66%	2.26%	9.86%	4.21%	4.85%	2.86%	2.06%	0.00%	2.42%	3.86%	10.33%	0.00%	5.10%	5.60%	3.80%	3.12%	3.41%	1.27%	5.59%	8.15%	2.20%	1.00%	5.03%	5.99%	1.16%	6.09%					
20	. Миронов Сергей Михайлович	109	4	2	0	10	0	1	2	0	0	0	3	0	1	1	12	3	8	0	2	1	3	1	2	1	0	1	0	1	5	1	0	11	23	1	3	0	2	0	0	0	1	2	1	0	0					
