Выборы Президента Российской Федерации																																																			
																																																			
Наименование Избирательной комиссии:    Тяжинская																																																			
																																																			
Итоги голосования 																																																			
																																																			
		Сумма	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551					
1	"Число избирателей, внесенных в список"	21809	656	98	165	372	125	356	90	585	93	413	197	226	68	206	533	65	270	442	55	740	358	213	116	337	237	101	243	240	489	88	214	470	82	759	277	2014	1183	1254	1753	1695	1901	900	430	700					
2	Число полученных избирательных бюллетеней	21436	650	93	167	370	123	350	92	580	94	410	205	255	70	205	520	65	270	430	55	730	360	215	117	330	240	101	245	240	490	89	225	475	80	765	280	2000	1100	1200	1600	1600	1900	900	450	700					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	16542	641	93	156	295	123	297	89	505	90	346	183	219	56	189	419	60	259	383	54	672	331	206	86	304	212	96	212	209	298	87	186	397	80	557	225	1397	821	708	1148	976	1483	599	276	519					
5	"Число избирательных бюллетеней, выданных вне помещения"	1451	4	0	9	51	0	25	1	25	2	16	6	7	3	0	48	5	10	28	0	9	0	0	13	10	4	0	12	26	101	1	15	55	0	62	24	163	113	108	88	141	101	79	39	47					
6	Число погашенных избирательных бюллетеней	3443	5	0	2	24	0	28	2	50	2	48	16	29	11	16	53	0	1	19	1	49	29	9	18	16	24	5	21	5	91	1	24	23	0	146	31	440	166	384	364	483	316	222	135	134					
7	Число избирательных бюллетеней в переносных ящиках	1451	4	0	9	51	0	25	1	25	2	16	6	7	3	0	48	5	10	28	0	9	0	0	13	10	4	0	12	26	101	1	15	55	0	62	24	163	113	108	88	141	101	79	39	47					
8	Число бюллетеней в стационарных ящиках для голосования	16541	641	93	156	294	123	297	89	505	90	346	183	219	56	189	419	60	259	383	54	672	331	206	86	304	212	96	212	209	298	87	186	397	80	557	225	1397	821	708	1148	976	1483	599	276	519					
9	Число недействительных избирательных бюллетеней	119	3	0	0	13	2	0	0	3	0	6	0	0	1	2	11	1	3	2	0	0	14	3	0	6	2	0	0	5	0	0	2	1	0	3	0	0	4	9	12	4	2	0	1	4					
10	Число действительных избирательных бюллетеней	17873	642	93	165	332	121	322	90	527	92	356	189	226	58	187	456	64	266	409	54	681	317	203	99	308	214	96	224	230	399	88	199	451	80	616	249	1560	930	807	1224	1113	1582	678	314	562					
11	Число полученных открепительных  удостоверений	290	5	2	5	5	3	5	3	5	5	5	3	5	3	3	5	3	3	5	3	5	5	5	3	5	3	3	3	3	5	3	5	5	3	5	3	10	10	25	25	25	25	10	10	10					
12	Число выданных открепительных удостоверений	93	1	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	2	0	0	3	2	3	0	1	2	0	0	2	0	0	3	3	0	0	1	2	1	11	14	8	22	3	2	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	103	1	4	3	3	3	1	0	2	2	3	2	2	2	3	3	1	1	5	2	2	2	1	2	2	0	1	2	2	1	3	2	2	2	1	3	7	5	7	3	3	4	3	0	0					
14	Число неиспользованных открепительных удостоверений	197	4	2	5	5	1	5	3	5	5	5	3	5	3	3	2	3	1	5	3	2	3	2	3	4	1	3	3	1	5	3	2	2	3	5	2	8	9	14	11	17	3	7	8	8					
15	"Число открепительных удостоверений, выданных в ТИК"	53	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	8	8	10	12	5	0	5					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																			
18	. Глазьев Сергей Юрьевич	303	15	0	4	2	3	1	0	12	2	2	2	2	2	2	11	2	5	1	0	8	3	1	2	6	3	0	4	0	5	1	6	5	0	13	5	28	8	23	11	40	33	18	3	9					
		1.68%	2.33%	0.00%	2.42%	0.58%	2.44%	0.31%	0.00%	2.26%	2.17%	0.55%	1.06%	0.88%	3.39%	1.06%	2.36%	3.08%	1.86%	0.24%	0.00%	1.17%	0.91%	0.49%	2.02%	1.91%	1.39%	0.00%	1.79%	0.00%	1.25%	1.14%	2.99%	1.11%	0.00%	2.10%	2.01%	1.79%	0.86%	2.82%	0.89%	3.58%	2.08%	2.65%	0.95%	1.59%					
19	. Малышкин Олег Александрович	546	30	6	4	10	7	1	3	12	0	6	2	8	0	10	8	2	6	0	3	21	21	7	6	13	5	2	5	5	19	6	7	8	4	8	5	35	24	34	14	61	56	19	8	35					
		3.03%	4.65%	6.45%	2.42%	2.90%	5.69%	0.31%	3.33%	2.26%	0.00%	1.66%	1.06%	3.54%	0.00%	5.29%	1.71%	3.08%	2.23%	0.00%	5.56%	3.08%	6.34%	3.40%	6.06%	4.14%	2.31%	2.08%	2.23%	2.13%	4.76%	6.82%	3.48%	1.77%	5.00%	1.29%	2.01%	2.24%	2.57%	4.17%	1.13%	5.46%	3.54%	2.80%	2.54%	6.18%					
20	. Миронов Сергей Михайлович	155	2	0	2	0	3	1	0	0	0	4	0	3	0	0	4	0	4	0	0	6	0	2	2	5	1	0	0	3	4	0	1	4	0	5	6	11	13	8	2	19	18	11	3	8					
		0.86%	0.31%	0.00%	1.21%	0.00%	2.44%	0.31%	0.00%	0.00%	0.00%	1.10%	0.00%	1.33%	0.00%	0.00%	0.86%	0.00%	1.49%	0.00%	0.00%	0.88%	0.00%	0.97%	2.02%	1.59%	0.46%	0.00%	0.00%	1.28%	1.00%	0.00%	0.50%	0.88%	0.00%	0.81%	2.41%	0.71%	1.39%	0.98%	0.16%	1.70%	1.14%	1.62%	0.95%	1.41%					
21	. Путин Владимир Владимирович	14411	509	76	140	293	100	292	86	454	79	322	171	198	44	120	396	54	227	386	48	581	260	170	81	256	154	90	197	209	336	75	162	407	64	522	216	1283	749	543	927	708	1298	507	256	365					
		80.10%	78.91%	81.72%	84.85%	84.93%	81.30%	90.68%	95.56%	85.66%	85.87%	88.95%	90.48%	87.61%	74.58%	63.49%	84.80%	83.08%	84.39%	93.92%	88.89%	85.32%	78.55%	82.52%	81.82%	81.53%	71.30%	93.75%	87.95%	88.94%	84.21%	85.23%	80.60%	90.04%	80.00%	84.33%	86.75%	82.24%	80.19%	66.54%	75.00%	63.38%	81.94%	74.78%	81.27%	64.49%					
22	. Хакамада Ирина Муцуовна	277	6	0	4	7	1	2	1	8	0	5	0	3	0	3	4	0	2	1	0	10	4	2	1	3	4	0	6	0	4	0	4	5	0	16	2	21	18	13	4	36	33	18	11	15					
		1.54%	0.93%	0.00%	2.42%	2.03%	0.81%	0.62%	1.11%	1.51%	0.00%	1.38%	0.00%	1.33%	0.00%	1.59%	0.86%	0.00%	0.74%	0.24%	0.00%	1.47%	1.21%	0.97%	1.01%	0.96%	1.85%	0.00%	2.68%	0.00%	1.00%	0.00%	1.99%	1.11%	0.00%	2.58%	0.80%	1.35%	1.93%	1.59%	0.32%	3.22%	2.08%	2.65%	3.49%	2.65%					
23	. Харитонов Николай Михайлович	1792	54	10	11	11	5	22	0	31	10	9	10	10	11	47	30	5	14	12	3	45	28	19	6	19	40	2	11	9	24	3	10	18	12	35	12	145	118	153	253	212	84	102	23	104					
		9.96%	8.37%	10.75%	6.67%	3.19%	4.07%	6.83%	0.00%	5.85%	10.87%	2.49%	5.29%	4.42%	18.64%	24.87%	6.42%	7.69%	5.20%	2.92%	5.56%	6.61%	8.46%	9.22%	6.06%	6.05%	18.52%	2.08%	4.91%	3.83%	6.02%	3.41%	4.98%	3.98%	15.00%	5.65%	4.82%	9.29%	12.63%	18.75%	20.47%	18.98%	5.30%	15.04%	7.30%	18.37%					
																																																			
24	Против всех	389	26	1	0	9	2	3	0	10	1	8	4	2	1	5	3	1	8	9	0	10	1	2	1	6	7	2	1	4	7	3	9	4	0	17	3	37	0	33	13	37	60	3	10	26					
		2.16%	4.03%	1.08%	0.00%	2.61%	1.63%	0.93%	0.00%	1.89%	1.09%	2.21%	2.12%	0.88%	1.69%	2.65%	0.64%	1.54%	2.97%	2.19%	0.00%	1.47%	0.30%	0.97%	1.01%	1.91%	3.24%	2.08%	0.45%	1.70%	1.75%	3.41%	4.48%	0.88%	0.00%	2.75%	1.20%	2.37%	0.00%	4.04%	1.05%	3.31%	3.79%	0.44%	3.17%	4.59%					
																																																			
																																																			
																																																			
																																																			
																																																			
