Выборы Президента Российской Федерации																																																
																																																
Наименование Избирательной комиссии:    Унечская																																																
																																																
Итоги голосования 																																																
																																																
		Сумма	УИК  1116	УИК  1117	УИК  1118	УИК  1119	УИК  1120	УИК  1121	УИК  1122	УИК  1123	УИК  1124	УИК  1125	УИК  1126	УИК  1127	УИК  1128	УИК  1129	УИК  1130	УИК  1131	УИК  1132	УИК  1133	УИК  1134	УИК  1135	УИК  1136	УИК  1137	УИК  1138	УИК  1139	УИК  1140	УИК  1141	УИК  1142	УИК  1143	УИК  1144	УИК  1145	УИК  1146	УИК  1147	УИК  1148	УИК  1149	УИК  1150	УИК  1151	УИК  1152	УИК  1153	УИК  1154	УИК  1155	УИК  1156					
1	"Число избирателей, внесенных в список"	36202	2130	2125	2597	2283	1745	1835	2071	2099	2070	1148	2851	220	615	282	350	711	397	281	703	485	566	835	366	314	571	759	176	583	511	383	122	751	517	517	301	505	559	73	273	438	84					
2	Число полученных избирательных бюллетеней	37291	2348	2203	2646	2310	1751	1779	2026	2137	2187	1523	2862	235	640	310	368	721	398	283	706	499	573	849	370	320	564	757	186	592	507	386	118	772	542	532	313	509	573	75	282	454	85					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	17919	868	978	1260	1242	795	897	949	1009	1070	687	1294	121	351	105	173	350	178	147	308	186	273	463	208	212	214	417	41	171	247	190	76	467	338	289	134	288	328	47	198	287	63					
5	"Число избирательных бюллетеней, выданных вне помещения"	2876	68	24	23	39	100	92	108	102	54	72	49	11	98	98	83	51	59	48	106	146	41	82	22	12	107	99	89	262	70	89	14	61	72	94	101	57	90	16	19	37	11					
6	Число погашенных избирательных бюллетеней	16496	1412	1201	1363	1029	856	790	969	1026	1063	764	1519	103	191	107	112	320	161	88	292	167	259	304	140	96	243	241	56	159	190	107	28	244	132	149	78	164	155	12	65	130	11					
7	Число избирательных бюллетеней в переносных ящиках	2875	68	24	23	39	100	92	108	102	54	72	49	11	98	98	83	51	59	48	106	146	41	82	22	12	107	99	88	262	70	89	14	61	72	94	101	57	90	16	19	37	11					
8	Число бюллетеней в стационарных ящиках для голосования	17915	868	978	1260	1239	795	896	949	1009	1070	687	1294	121	351	105	173	350	178	147	308	186	273	463	208	212	214	417	41	171	247	190	76	467	338	289	134	288	328	47	198	287	63					
9	Число недействительных избирательных бюллетеней	171	8	11	14	5	3	2	1	3	10	7	9	1	7	2	0	6	4	3	10	3	5	12	1	1	4	2	0	3	5	1	2	5	4	2	2	3	3	2	2	3	0					
10	Число действительных избирательных бюллетеней	20619	928	991	1269	1273	892	986	1056	1108	1114	752	1334	131	442	201	256	395	233	192	404	329	309	533	229	223	317	514	129	430	312	278	88	523	406	381	233	342	415	61	215	321	74					
