Выборы Президента Российской Федерации																		
																		
Наименование Избирательной комиссии:    Славгородская																		
																		
Итоги голосования 																		
																		
		Сумма	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1380	УИК №1381	УИК №1382	УИК №1383					
1	"Число избирателей, внесенных в список"	8980	1405	202	320	1024	611	440	985	179	725	2833	256					
2	Число полученных избирательных бюллетеней	8956	1407	203	322	1012	615	431	981	179	707	2840	259					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5491	833	98	240	748	445	287	638	107	482	1444	169					
5	"Число избирательных бюллетеней, выданных вне помещения"	268	59	47	21	22	11	12	10	10	34	33	9					
6	Число погашенных избирательных бюллетеней	3196	515	58	61	241	159	132	333	62	191	1363	81					
7	Число избирательных бюллетеней в переносных ящиках	268	59	47	21	22	11	12	10	10	34	33	9					
8	Число бюллетеней в стационарных ящиках для голосования	5488	833	98	240	748	445	287	635	107	482	1444	169					
9	Число недействительных избирательных бюллетеней	125	9	2	2	58	7	5	6	0	13	14	9					
10	Число действительных избирательных бюллетеней	5631	883	143	259	712	449	294	639	117	503	1463	169					
11	Число полученных открепительных  удостоверений	99	10	5	5	10	10	10	10	4	10	20	5					
12	Число выданных открепительных удостоверений	15	2	0	0	3	0	0	3	0	0	7	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	16	3	0	0	2	1	0	0	3	5	1	1					
14	Число неиспользованных открепительных удостоверений	84	8	5	5	7	10	10	7	4	10	13	5					
15	"Число открепительных удостоверений, выданных в ТИК"	1	1	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	1	0	0	0	1	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																		
18	. Глазьев Сергей Юрьевич	199	61	4	4	11	13	17	22	3	15	43	6					
		3.46%	6.84%	2.76%	1.53%	1.43%	2.85%	5.69%	3.41%	2.56%	2.91%	2.91%	3.37%					
19	. Малышкин Олег Александрович	206	25	11	20	13	11	9	14	15	28	50	10					
		3.58%	2.80%	7.59%	7.66%	1.69%	2.41%	3.01%	2.17%	12.82%	5.43%	3.39%	5.62%					
20	. Миронов Сергей Михайлович	34	6	5	3	3	2	4	0	1	5	3	2					
		0.59%	0.67%	3.45%	1.15%	0.39%	0.44%	1.34%	0.00%	0.85%	0.97%	0.20%	1.12%					
21	. Путин Владимир Владимирович	3976	552	71	175	541	351	222	447	82	347	1075	113					
		69.08%	61.88%	48.97%	67.05%	70.26%	76.97%	74.25%	69.30%	70.09%	67.25%	72.78%	63.48%					
22	. Хакамада Ирина Муцуовна	93	14	1	2	9	5	6	16	1	7	29	3					
		1.62%	1.57%	0.69%	0.77%	1.17%	1.10%	2.01%	2.48%	0.85%	1.36%	1.96%	1.69%					
23	. Харитонов Николай Михайлович	1012	211	51	53	122	62	31	120	13	88	228	33					
		17.58%	23.65%	35.17%	20.31%	15.84%	13.60%	10.37%	18.60%	11.11%	17.05%	15.44%	18.54%					
																		
24	Против всех	111	14	0	2	13	5	5	20	2	13	35	2					
		1.93%	1.57%	0.00%	0.77%	1.69%	1.10%	1.67%	3.10%	1.71%	2.52%	2.37%	1.12%					
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
