Выборы Президента Российской Федерации																																												
																																												
Наименование Избирательной комиссии:    Маслянинская																																												
																																												
Итоги голосования 																																												
																																												
		Сумма	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692					
1	"Число избирателей, внесенных в список"	20716	421	177	342	317	478	65	492	151	549	485	154	132	584	370	751	137	187	217	415	228	1307	419	108	415	203	146	447	816	1581	1640	761	1047	1749	741	872	1024	788					
2	Число полученных избирательных бюллетеней	20500	420	180	440	320	470	70	500	160	580	490	160	140	600	370	800	200	200	250	450	250	1300	500	120	420	200	160	450	800	1400	1500	700	1000	1500	700	900	1000	800					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	12632	287	130	327	218	321	50	320	107	419	361	125	91	370	234	466	128	146	142	325	155	743	287	82	273	151	136	299	498	864	826	357	569	922	344	487	540	532					
5	"Число избирательных бюллетеней, выданных вне помещения"	1149	23	10	15	5	43	7	30	15	28	32	20	24	42	29	47	9	9	26	21	29	104	43	5	29	14	0	21	38	52	84	27	17	110	45	32	32	32					
6	Число погашенных избирательных бюллетеней	6719	110	40	98	97	106	13	150	38	133	97	15	25	188	107	287	63	45	82	104	66	453	170	33	118	35	24	130	264	484	590	316	414	468	311	381	428	236					
7	Число избирательных бюллетеней в переносных ящиках	1149	23	10	15	5	43	7	30	15	28	32	20	24	42	29	47	9	9	26	21	29	104	43	5	29	14	0	21	38	52	84	27	17	110	45	32	32	32					
8	Число бюллетеней в стационарных ящиках для голосования	12632	287	130	327	218	321	50	320	107	419	361	125	91	370	234	466	128	146	142	325	155	743	287	82	273	151	136	299	498	864	826	357	569	922	344	487	540	532					
9	Число недействительных избирательных бюллетеней	130	0	2	4	5	2	0	8	5	2	5	0	0	3	2	1	1	1	1	5	0	10	3	1	6	4	1	2	8	11	4	2	4	9	1	6	0	11					
10	Число действительных избирательных бюллетеней	13651	310	138	338	218	362	57	342	117	445	388	145	115	409	261	512	136	154	167	341	184	837	327	86	296	161	135	318	528	905	906	382	582	1023	388	513	572	553					
11	Число полученных открепительных  удостоверений	151	2	2	2	2	2	2	2	2	23	2	2	2	7	2	7	2	2	2	4	2	6	2	2	2	2	2	2	5	5	5	5	10	10	5	5	5	5					
12	Число выданных открепительных удостоверений	79	1	0	1	0	0	0	2	1	23	0	0	0	7	2	2	0	0	0	4	0	3	0	0	1	0	2	1	2	5	1	0	8	8	2	1	1	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	45	0	1	0	0	0	2	0	0	3	5	0	0	2	1	4	2	1	1	1	0	2	1	0	0	2	0	1	4	2	2	1	2	3	0	1	0	1					
14	Число неиспользованных открепительных удостоверений	72	1	2	1	2	2	2	0	1	0	2	2	2	0	0	5	2	2	2	0	2	3	2	2	1	2	0	1	3	0	4	5	2	2	3	4	4	4					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																												
18	. Глазьев Сергей Юрьевич	313	12	2	3	1	2	0	3	2	7	12	1	3	6	4	9	15	1	4	4	0	33	7	1	1	4	1	0	18	38	32	9	13	22	10	11	12	10					
		2.27%	3.87%	1.43%	0.88%	0.45%	0.55%	0.00%	0.86%	1.64%	1.57%	3.05%	0.69%	2.61%	1.46%	1.52%	1.75%	10.95%	0.65%	2.38%	1.16%	0.00%	3.90%	2.12%	1.15%	0.33%	2.42%	0.74%	0.00%	3.36%	4.15%	3.52%	2.34%	2.22%	2.13%	2.57%	2.12%	2.10%	1.77%					
19	. Малышкин Олег Александрович	574	20	3	16	13	24	0	27	6	11	11	0	8	16	18	26	2	3	7	8	8	41	16	3	12	1	4	25	17	32	36	15	26	44	23	20	21	11					
		4.17%	6.45%	2.14%	4.68%	5.83%	6.59%	0.00%	7.71%	4.92%	2.46%	2.80%	0.00%	6.96%	3.88%	6.84%	5.07%	1.46%	1.94%	4.17%	2.31%	4.35%	4.84%	4.85%	3.45%	3.97%	0.61%	2.94%	7.81%	3.17%	3.49%	3.96%	3.91%	4.44%	4.26%	5.91%	3.85%	3.67%	1.95%					
20	. Миронов Сергей Михайлович	104	4	1	2	3	2	2	0	1	1	3	0	1	3	0	4	1	1	1	0	0	7	0	0	1	1	0	6	3	8	14	2	4	6	5	3	10	4					
		0.75%	1.29%	0.71%	0.58%	1.35%	0.55%	3.51%	0.00%	0.82%	0.22%	0.76%	0.00%	0.87%	0.73%	0.00%	0.78%	0.73%	0.65%	0.60%	0.00%	0.00%	0.83%	0.00%	0.00%	0.33%	0.61%	0.00%	1.88%	0.56%	0.87%	1.54%	0.52%	0.68%	0.58%	1.29%	0.58%	1.75%	0.71%					
21	. Путин Владимир Владимирович	9161	204	93	252	159	241	32	176	83	324	264	137	94	313	173	388	73	131	133	276	162	545	223	68	235	130	96	214	318	516	570	256	405	593	250	329	362	343					
		66.48%	65.81%	66.43%	73.68%	71.30%	66.21%	56.14%	50.29%	68.03%	72.48%	67.18%	94.48%	81.74%	75.97%	65.78%	75.63%	53.28%	84.52%	79.17%	79.77%	88.04%	64.34%	67.58%	78.16%	77.81%	78.79%	70.59%	66.88%	59.33%	56.33%	62.64%	66.67%	69.11%	57.46%	64.27%	63.39%	63.29%	60.82%					
