Выборы Президента Российской Федерации																																																		
																																																		
Наименование Избирательной комиссии:    Абдулинская																																																		
																																																		
Итоги голосования 																																																		
																																																		
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43					
1	"Число избирателей, внесенных в список"	27610	2064	1677	1705	1624	1765	1840	1838	1468	1917	1544	280	289	191	522	158	238	342	208	334	82	215	176	237	138	228	67	397	69	771	278	358	382	357	195	848	107	548	546	149	515	372	160	411					
2	Число полученных избирательных бюллетеней	26816	1968	1600	1576	1532	1620	1763	1739	1493	1781	1478	283	291	185	505	154	238	357	205	332	80	211	171	222	136	236	68	395	69	772	280	358	405	363	195	834	105	548	560	152	513	473	152	418					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	17646	1305	973	939	917	1071	1088	1119	885	1258	932	216	231	107	327	97	176	249	153	235	55	137	125	175	105	153	38	286	63	475	211	228	230	245	152	566	69	322	363	108	436	358	141	327					
5	"Число избирательных бюллетеней, выданных вне помещения"	1012	26	52	44	42	72	26	59	53	23	54	6	3	8	30	13	0	24	16	21	12	12	22	20	4	25	13	50	3	43	8	44	16	10	6	77	4	20	16	15	6	14	0	0					
6	Число погашенных избирательных бюллетеней	8156	637	575	593	573	477	649	561	555	500	492	61	57	70	148	44	62	83	36	76	13	62	24	27	27	58	17	59	3	254	61	86	159	108	37	190	32	206	181	29	71	101	11	91					
7	Число избирательных бюллетеней в переносных ящиках	1012	26	52	44	42	72	26	59	53	23	54	6	3	8	30	13	0	24	16	21	12	12	22	20	4	25	13	50	3	43	8	44	16	10	6	77	4	20	16	15	6	14	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	17602	1305	973	937	875	1071	1088	1119	885	1258	932	216	231	107	327	97	176	249	153	235	55	137	125	175	105	153	38	286	63	475	211	228	230	245	152	566	69	322	363	108	436	358	141	327					
9	Число недействительных избирательных бюллетеней	244	19	11	12	5	11	7	10	12	13	11	6	4	4	14	2	2	9	0	2	2	8	1	2	2	2	0	2	1	9	3	17	2	2	0	5	2	6	8	0	2	10	0	4					
10	Число действительных избирательных бюллетеней	18370	1312	1014	969	912	1132	1107	1168	926	1268	975	216	230	111	343	108	174	264	169	254	65	141	146	193	107	176	51	334	65	509	216	255	244	253	158	638	71	336	371	123	440	362	141	323					
11	Число полученных открепительных  удостоверений	406	15	15	15	15	20	15	15	15	20	25	5	7	5	20	3	0	7	6	6	0	5	6	26	5	6	2	7	3	15	5	5	5	7	5	20	3	7	10	5	10	10	3	7					
12	Число выданных открепительных удостоверений	194	8	5	7	12	13	15	13	14	11	24	3	3	2	9	2	0	3	1	3	0	0	1	3	0	3	0	0	0	2	1	0	5	3	0	15	0	4	3	0	4	1	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	114	4	12	12	7	6	8	3	3	7	1	1	0	3	3	2	0	1	3	3	1	1	2	2	1	2	1	0	0	1	1	0	1	2	0	1	2	1	1	2	4	8	0	1					
14	Число неиспользованных открепительных удостоверений	212	7	10	8	3	7	0	2	1	9	1	2	4	3	11	1	0	4	5	3	0	5	5	23	5	3	2	7	3	13	4	5	0	4	5	5	3	3	7	5	6	9	3	6					
15	"Число открепительных удостоверений, выданных в ТИК"	31	0	1	0	2	4	2	5	2	8	2	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																		
18	. Глазьев Сергей Юрьевич	661	74	42	36	35	36	52	51	29	68	32	4	11	12	13	1	8	6	2	12	0	3	1	17	2	5	0	2	4	22	4	6	5	3	2	10	0	0	20	0	5	13	5	8					
		3.55%	5.56%	4.10%	3.67%	3.82%	3.15%	4.67%	4.33%	3.09%	5.31%	3.25%	1.80%	4.70%	10.43%	3.64%	0.91%	4.55%	2.20%	1.18%	4.69%	0.00%	2.01%	0.68%	8.72%	1.83%	2.81%	0.00%	0.60%	6.06%	4.25%	1.83%	2.21%	2.03%	1.18%	1.27%	1.56%	0.00%	0.00%	5.28%	0.00%	1.13%	3.49%	3.55%	2.45%					
19	. Малышкин Олег Александрович	499	21	32	41	22	41	34	43	27	37	20	1	3	3	8	1	14	5	2	11	0	0	1	10	6	7	0	9	0	12	2	15	4	4	4	20	4	10	6	3	1	6	3	6					
		2.68%	1.58%	3.12%	4.18%	2.40%	3.59%	3.05%	3.65%	2.88%	2.89%	2.03%	0.45%	1.28%	2.61%	2.24%	0.91%	7.95%	1.83%	1.18%	4.30%	0.00%	0.00%	0.68%	5.13%	5.50%	3.93%	0.00%	2.68%	0.00%	2.32%	0.91%	5.51%	1.63%	1.57%	2.53%	3.11%	5.48%	2.92%	1.58%	2.44%	0.23%	1.61%	2.13%	1.83%					
20	. Миронов Сергей Михайлович	118	5	5	1	3	7	6	6	4	6	7	4	1	1	1	3	1	0	0	1	0	3	2	0	1	5	2	5	2	2	3	1	6	2	0	8	0	2	2	2	1	4	3	0					
		0.63%	0.38%	0.49%	0.10%	0.33%	0.61%	0.54%	0.51%	0.43%	0.47%	0.71%	1.80%	0.43%	0.87%	0.28%	2.73%	0.57%	0.00%	0.00%	0.39%	0.00%	2.01%	1.36%	0.00%	0.92%	2.81%	3.92%	1.49%	3.03%	0.39%	1.37%	0.37%	2.44%	0.78%	0.00%	1.24%	0.00%	0.58%	0.53%	1.63%	0.23%	1.08%	2.13%	0.00%					
21	. Путин Владимир Владимирович	11583	868	649	590	577	704	698	740	564	778	592	152	173	57	219	70	81	155	91	155	45	90	56	96	48	94	20	229	35	314	139	161	139	162	96	426	56	221	261	87	314	234	101	246					
