Выборы Президента Российской Федерации																															
																															
Наименование Избирательной комиссии:    Иволгинская																															
																															
Итоги голосования 																															
																															
		Сумма	УИК  221	УИК  222	УИК  223	УИК  224	УИК  225	УИК  226	УИК  227	УИК  228	УИК  229	УИК  230	УИК  231	УИК  232	УИК  233	УИК  234	УИК  235	УИК  236	УИК  237	УИК  238	УИК  239	УИК  240	УИК  241	УИК  242	УИК  243	УИК  244					
1	"Число избирателей, внесенных в список"	17315	232	1487	1437	182	922	843	773	659	452	255	1318	924	1400	1302	234	93	454	522	525	680	904	1155	425	137					
2	Число полученных избирательных бюллетеней	16261	235	1366	1400	187	910	770	800	600	450	265	1203	812	1165	1200	245	90	470	500	500	679	850	1040	400	124					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	10079	165	907	677	137	617	416	435	331	292	180	676	500	777	917	146	67	337	304	346	459	486	529	261	117					
5	"Число избирательных бюллетеней, выданных вне помещения"	854	26	46	37	7	61	22	25	15	47	14	46	65	54	44	22	19	20	71	18	48	40	61	46	0					
6	Число погашенных избирательных бюллетеней	5328	44	413	686	43	232	332	340	254	111	71	481	247	334	239	77	4	113	125	136	172	324	450	93	7					
7	Число избирательных бюллетеней в переносных ящиках	854	26	46	37	7	61	22	25	15	47	14	46	65	54	44	22	19	20	71	18	48	40	61	46	0					
8	Число бюллетеней в стационарных ящиках для голосования	10077	165	907	677	137	617	416	435	331	292	180	676	500	777	917	146	67	337	304	346	459	486	527	261	117					
9	Число недействительных избирательных бюллетеней	167	6	8	3	3	9	13	7	4	2	0	6	5	22	19	4	0	5	7	5	7	13	15	3	1					
10	Число действительных избирательных бюллетеней	10764	185	945	711	141	669	425	453	342	337	194	716	560	809	942	164	86	352	368	359	500	513	573	304	116					
11	Число полученных открепительных  удостоверений	799	19	40	40	20	40	35	40	30	20	20	40	40	50	50	20	10	35	30	30	30	50	50	40	20					
12	Число выданных открепительных удостоверений	199	10	12	6	5	36	6	37	8	2	2	5	9	9	15	0	1	11	5	1	10	6	1	1	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	173	7	9	17	2	14	15	7	19	4	1	5	6	12	15	1	0	3	12	3	7	3	5	6	0					
14	Число неиспользованных открепительных удостоверений	600	9	28	34	15	4	29	3	22	18	18	35	31	41	35	20	9	24	25	29	20	44	49	39	19					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																															
18	. Глазьев Сергей Юрьевич	317	3	28	26	4	17	7	16	13	5	4	16	10	32	34	4	1	6	10	6	20	22	17	11	5					
		2.90%	1.57%	2.94%	3.64%	2.78%	2.51%	1.60%	3.48%	3.76%	1.47%	2.06%	2.22%	1.77%	3.85%	3.54%	2.38%	1.16%	1.68%	2.67%	1.65%	3.94%	4.18%	2.89%	3.58%	4.27%					
19	. Малышкин Олег Александрович	153	7	20	15	1	18	4	2	4	5	3	7	2	8	10	3	1	1	4	4	1	18	4	9	2					
		1.40%	3.66%	2.10%	2.10%	0.69%	2.65%	0.91%	0.43%	1.16%	1.47%	1.55%	0.97%	0.35%	0.96%	1.04%	1.79%	1.16%	0.28%	1.07%	1.10%	0.20%	3.42%	0.68%	2.93%	1.71%					
20	. Миронов Сергей Михайлович	105	1	7	4	0	2	1	3	2	1	1	9	4	12	39	1	1	3	3	2	2	3	2	0	2					
		0.96%	0.52%	0.73%	0.56%	0.00%	0.29%	0.23%	0.65%	0.58%	0.29%	0.52%	1.25%	0.71%	1.44%	4.06%	0.60%	1.16%	0.84%	0.80%	0.55%	0.39%	0.57%	0.34%	0.00%	1.71%					
21	. Путин Владимир Владимирович	7315	125	675	437	70	455	289	264	223	258	134	494	375	527	567	125	67	266	285	312	366	308	410	215	68					
		66.92%	65.45%	70.83%	61.20%	48.61%	67.11%	65.98%	57.39%	64.45%	76.11%	69.07%	68.42%	66.37%	63.42%	59.00%	74.40%	77.91%	74.51%	76.00%	85.71%	72.19%	58.56%	69.73%	70.03%	58.12%					
22	. Хакамада Ирина Муцуовна	1225	5	62	93	44	77	75	101	54	36	10	94	64	110	151	6	3	58	17	17	51	25	65	4	3					
		11.21%	2.62%	6.51%	13.03%	30.56%	11.36%	17.12%	21.96%	15.61%	10.62%	5.15%	13.02%	11.33%	13.24%	15.71%	3.57%	3.49%	16.25%	4.53%	4.67%	10.06%	4.75%	11.05%	1.30%	2.56%					
23	. Харитонов Николай Михайлович	1493	43	137	117	20	85	46	57	36	30	40	87	89	105	127	20	13	18	45	17	60	130	74	63	34					
		13.66%	22.51%	14.38%	16.39%	13.89%	12.54%	10.50%	12.39%	10.40%	8.85%	20.62%	12.05%	15.75%	12.64%	13.22%	11.90%	15.12%	5.04%	12.00%	4.67%	11.83%	24.71%	12.59%	20.52%	29.06%					
																															
24	Против всех	156	1	16	19	2	15	3	10	10	2	2	9	16	15	14	5	0	0	4	1	0	7	1	2	2					
		1.43%	0.52%	1.68%	2.66%	1.39%	2.21%	0.68%	2.17%	2.89%	0.59%	1.03%	1.25%	2.83%	1.81%	1.46%	2.98%	0.00%	0.00%	1.07%	0.27%	0.00%	1.33%	0.17%	0.65%	1.71%					
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
