Выборы Президента Российской Федерации																														
																														
Наименование Избирательной комиссии:    Юринская																														
																														
Итоги голосования 																														
																														
		Сумма	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557					
1	"Число избирателей, внесенных в список"	8399	765	1311	1041	217	693	515	231	133	253	82	74	418	252	141	375	92	82	124	890	43	78	476	113					
2	Число полученных избирательных бюллетеней	8600	780	1280	1040	220	700	530	240	150	270	90	80	420	260	150	400	100	100	140	900	50	90	490	120					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5127	463	794	601	150	432	233	138	97	142	61	64	311	206	91	235	69	33	78	508	27	45	266	83					
5	"Число избирательных бюллетеней, выданных вне помещения"	1070	76	72	76	36	93	167	50	17	55	15	10	29	8	45	52	10	49	40	55	14	24	60	17					
6	Число погашенных избирательных бюллетеней	2403	241	414	363	34	175	130	52	36	73	14	6	80	46	14	113	21	18	22	337	9	21	164	20					
7	Число избирательных бюллетеней в переносных ящиках	1070	76	72	76	36	93	167	50	17	55	15	10	29	8	45	52	10	49	40	55	14	24	60	17					
8	Число бюллетеней в стационарных ящиках для голосования	5127	463	794	601	150	432	233	138	97	142	61	64	311	206	91	235	69	33	78	508	27	45	266	83					
9	Число недействительных избирательных бюллетеней	60	5	7	6	0	8	5	2	2	3	1	0	3	0	0	2	1	0	1	6	0	2	5	1					
10	Число действительных избирательных бюллетеней	6137	534	859	671	186	517	395	186	112	194	75	74	337	214	136	285	78	82	117	557	41	67	321	99					
11	Число полученных открепительных  удостоверений	190	25	30	30	10	15	7	5	3	5	3	3	6	5	3	5	3	3	5	10	2	3	6	3					
12	Число выданных открепительных удостоверений	92	9	26	13	0	9	6	5	1	3	0	0	0	2	1	2	0	0	2	9	0	0	4	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	77	3	24	2	2	1	2	3	2	1	4	3	6	2	2	3	2	2	1	4	0	1	2	5					
14	Число неиспользованных открепительных удостоверений	98	16	4	17	10	6	1	0	2	2	3	3	6	3	2	3	3	3	3	1	2	3	2	3					
15	"Число открепительных удостоверений, выданных в ТИК"	6	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																														
18	. Глазьев Сергей Юрьевич	130	9	28	19	7	8	7	3	1	6	2	3	8	6	0	5	2	0	1	13	0	1	1	0					
		2.10%	1.67%	3.23%	2.81%	3.76%	1.52%	1.75%	1.60%	0.88%	3.05%	2.63%	4.05%	2.35%	2.80%	0.00%	1.74%	2.53%	0.00%	0.85%	2.31%	0.00%	1.45%	0.31%	0.00%					
19	. Малышкин Олег Александрович	199	19	27	23	12	25	24	4	0	8	4	0	8	3	1	7	2	0	1	17	1	1	6	6					
		3.21%	3.53%	3.12%	3.40%	6.45%	4.76%	6.00%	2.13%	0.00%	4.06%	5.26%	0.00%	2.35%	1.40%	0.74%	2.44%	2.53%	0.00%	0.85%	3.02%	2.44%	1.45%	1.84%	6.00%					
20	. Миронов Сергей Михайлович	52	6	6	6	2	2	5	1	0	2	1	0	8	2	0	1	1	0	0	4	0	0	4	1					
		0.84%	1.11%	0.69%	0.89%	1.08%	0.38%	1.25%	0.53%	0.00%	1.02%	1.32%	0.00%	2.35%	0.93%	0.00%	0.35%	1.27%	0.00%	0.00%	0.71%	0.00%	0.00%	1.23%	1.00%					
21	. Путин Владимир Владимирович	4229	420	608	483	117	360	251	132	88	116	53	59	228	159	97	131	40	57	80	350	33	54	236	77					
		68.24%	77.92%	70.21%	71.34%	62.90%	68.57%	62.75%	70.21%	77.19%	58.88%	69.74%	79.73%	67.06%	74.30%	71.32%	45.64%	50.63%	69.51%	67.80%	62.17%	80.49%	78.26%	72.39%	77.00%					
22	. Хакамада Ирина Муцуовна	135	12	26	7	7	15	1	5	3	3	2	0	12	0	4	14	0	3	0	12	1	0	5	3					
		2.18%	2.23%	3.00%	1.03%	3.76%	2.86%	0.25%	2.66%	2.63%	1.52%	2.63%	0.00%	3.53%	0.00%	2.94%	4.88%	0.00%	3.66%	0.00%	2.13%	2.44%	0.00%	1.53%	3.00%					
23	. Харитонов Николай Михайлович	1284	64	147	106	39	98	106	37	17	48	13	11	68	42	33	126	33	22	34	153	4	9	64	10					
		20.72%	11.87%	16.97%	15.66%	20.97%	18.67%	26.50%	19.68%	14.91%	24.37%	17.11%	14.86%	20.00%	19.63%	24.26%	43.90%	41.77%	26.83%	28.81%	27.18%	9.76%	13.04%	19.63%	10.00%					
																														
24	Против всех	108	4	17	27	2	9	1	4	3	11	0	1	5	2	1	1	0	0	1	8	2	2	5	2					
		1.74%	0.74%	1.96%	3.99%	1.08%	1.71%	0.25%	2.13%	2.63%	5.58%	0.00%	1.35%	1.47%	0.93%	0.74%	0.35%	0.00%	0.00%	0.85%	1.42%	4.88%	2.90%	1.53%	2.00%					
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
