Выборы Президента Российской Федерации																											
																											
Наименование Избирательной комиссии:    Правобережная																											
																											
Итоги голосования 																											
																											
		Сумма	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159					
1	"Число избирателей, внесенных в список"	33789	1903	1464	1830	1000	2300	947	924	274	528	1002	1744	2623	1870	2659	2562	1027	2500	2059	2080	2493					
2	Число полученных избирательных бюллетеней	30272	1703	1277	1605	901	2087	840	831	232	461	849	1563	2399	1688	2392	2305	908	2161	1864	1916	2290					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	27573	1572	1207	1508	825	1806	800	812	222	442	786	1399	2096	1513	2286	2219	795	1953	1657	1705	1970					
5	"Число избирательных бюллетеней, выданных вне помещения"	1188	60	38	94	15	25	38	10	10	19	54	83	68	87	53	78	40	149	132	32	103					
6	Число погашенных избирательных бюллетеней	1511	71	32	3	61	256	2	9	0	0	9	81	235	88	53	8	73	59	75	179	217					
7	Число избирательных бюллетеней в переносных ящиках	1188	60	38	94	15	25	38	10	10	19	54	83	68	87	53	78	40	149	132	32	103					
8	Число бюллетеней в стационарных ящиках для голосования	27573	1572	1207	1508	825	1806	800	812	222	442	786	1399	2096	1513	2286	2219	795	1953	1657	1705	1970					
9	Число недействительных избирательных бюллетеней	177	13	6	5	4	0	2	19	0	0	8	10	26	11	4	5	8	8	7	15	26					
10	Число действительных избирательных бюллетеней	28584	1619	1239	1597	836	1831	836	803	232	461	832	1472	2138	1589	2335	2292	827	2094	1782	1722	2047					
11	Число полученных открепительных  удостоверений	800	30	30	30	30	30	30	30	30	30	30	50	50	50	50	50	50	50	50	50	50					
12	Число выданных открепительных удостоверений	182	25	3	8	7	8	2	10	0	2	3	14	13	5	18	18	6	7	11	13	9					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	77	0	0	1	2	0	2	4	1	0	2	3	2	44	1	4	0	1	4	4	2					
14	Число неиспользованных открепительных удостоверений	618	5	27	22	23	22	28	20	30	28	27	36	37	45	32	32	44	43	39	37	41					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																											
18	. Глазьев Сергей Юрьевич	167	7	1	9	0	0	2	4	0	0	4	15	25	14	8	10	7	20	7	17	17					
		0.58%	0.43%	0.08%	0.56%	0.00%	0.00%	0.24%	0.49%	0.00%	0.00%	0.48%	1.01%	1.16%	0.88%	0.34%	0.44%	0.84%	0.95%	0.39%	0.98%	0.82%					
19	. Малышкин Олег Александрович	85	4	0	3	0	2	0	3	1	1	6	3	8	5	1	3	5	13	17	5	5					
		0.30%	0.25%	0.00%	0.19%	0.00%	0.11%	0.00%	0.36%	0.43%	0.22%	0.71%	0.20%	0.37%	0.31%	0.04%	0.13%	0.60%	0.62%	0.95%	0.29%	0.24%					
20	. Миронов Сергей Михайлович	68	2	0	2	0	0	3	3	0	0	3	4	9	1	2	2	9	4	2	1	21					
		0.24%	0.12%	0.00%	0.12%	0.00%	0.00%	0.36%	0.36%	0.00%	0.00%	0.36%	0.27%	0.42%	0.06%	0.09%	0.09%	1.08%	0.19%	0.11%	0.06%	1.01%					
21	. Путин Владимир Владимирович	26692	1496	1126	1536	753	1710	772	740	220	441	713	1370	1982	1456	2248	2180	767	1957	1673	1641	1911					
		92.81%	91.67%	90.44%	95.88%	89.64%	93.39%	92.12%	90.02%	94.83%	95.66%	84.88%	92.44%	91.59%	91.00%	96.11%	94.91%	91.86%	93.10%	93.52%	94.47%	92.19%					
22	. Хакамада Ирина Муцуовна	140	13	1	1	6	0	0	9	0	2	5	9	21	5	4	19	6	9	12	7	11					
		0.49%	0.80%	0.08%	0.06%	0.71%	0.00%	0.00%	1.09%	0.00%	0.43%	0.60%	0.61%	0.97%	0.31%	0.17%	0.83%	0.72%	0.43%	0.67%	0.40%	0.53%					
23	. Харитонов Николай Михайлович	1311	94	110	41	77	115	59	42	11	14	100	61	78	100	68	72	22	74	61	43	69					
		4.56%	5.76%	8.84%	2.56%	9.17%	6.28%	7.04%	5.11%	4.74%	3.04%	11.90%	4.12%	3.60%	6.25%	2.91%	3.13%	2.63%	3.52%	3.41%	2.48%	3.33%					
																											
24	Против всех	121	3	1	5	0	4	0	2	0	3	1	10	15	8	4	6	11	17	10	8	13					
		0.42%	0.18%	0.08%	0.31%	0.00%	0.22%	0.00%	0.24%	0.00%	0.65%	0.12%	0.67%	0.69%	0.50%	0.17%	0.26%	1.32%	0.81%	0.56%	0.46%	0.63%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
