Выборы Президента Российской Федерации																																																
																																																
Наименование Избирательной комиссии:    Иловлинская																																																
																																																
Итоги голосования 																																																
																																																
		Сумма	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847					
1	"Число избирателей, внесенных в список"	24901	1806	1510	1870	1701	1269	803	310	196	565	198	324	1361	1346	170	427	99	544	197	663	755	231	148	246	606	178	942	1153	137	103	1673	347	211	790	110	85	63	715	114	142	615	178					
2	Число полученных избирательных бюллетеней	22480	1600	1400	1700	1500	1100	700	300	200	500	200	300	1200	1200	140	400	100	500	200	600	700	200	130	240	550	160	800	1000	130	100	1500	300	250	700	110	95	65	640	120	140	550	160					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	14194	916	806	919	785	552	345	206	136	350	132	227	818	835	128	333	70	412	164	409	426	131	90	174	468	126	491	671	120	84	833	164	164	384	68	53	58	412	88	98	412	136					
5	"Число избирательных бюллетеней, выданных вне помещения"	1407	38	33	30	28	20	85	34	0	33	22	33	54	59	12	23	15	82	18	59	108	11	10	12	45	9	70	47	10	11	74	52	0	55	16	0	0	59	19	18	79	24					
6	Число погашенных избирательных бюллетеней	6879	646	561	751	687	528	270	60	64	117	46	40	328	306	0	44	15	6	18	132	166	58	30	54	37	25	239	282	0	5	593	84	86	261	26	42	7	169	13	24	59	0					
7	Число избирательных бюллетеней в переносных ящиках	1407	38	33	30	28	20	85	34	0	33	22	33	54	59	12	23	15	82	18	59	108	11	10	12	45	9	70	47	10	11	74	52	0	55	16	0	0	59	19	18	79	24					
8	Число бюллетеней в стационарных ящиках для голосования	14192	916	806	918	785	551	345	206	136	350	132	227	818	835	128	333	70	412	164	409	426	131	90	174	468	126	491	671	120	84	833	164	164	384	68	53	58	412	88	98	412	136					
9	Число недействительных избирательных бюллетеней	127	3	3	6	10	7	4	2	0	1	1	4	6	0	2	1	2	4	0	3	10	1	0	3	0	1	16	8	0	1	5	0	2	10	1	0	0	3	2	0	4	1					
10	Число действительных избирательных бюллетеней	15472	951	836	942	803	564	426	238	136	382	153	256	866	894	138	355	83	490	182	465	524	141	100	183	513	134	545	710	130	94	902	216	162	429	83	53	58	468	105	116	487	159					
