Выборы Президента Российской Федерации																																																											
																																																											
Наименование Избирательной комиссии:    Черкесская городская																																																											
																																																											
Итоги голосования 																																																											
																																																											
		Сумма	УИК  1	УИК  2	УИК  3	УИК  4	УИК  5	УИК  6	УИК  7	УИК  8	УИК  9	УИК  10	УИК  11	УИК  12	УИК  13	УИК  14	УИК  15	УИК  16	УИК  17	УИК  18	УИК  19	УИК  20	УИК  21	УИК  22	УИК  23	УИК  24	УИК  25	УИК  26	УИК  27	УИК  28	УИК  29	УИК  30	УИК  31	УИК  32	УИК  33	УИК  34	УИК  35	УИК  36	УИК  37	УИК  38	УИК  39	УИК  40	УИК  41	УИК  42	УИК  43	УИК  44	УИК  45	УИК  46	УИК  47	УИК  48	УИК  49	УИК  50	УИК  51	УИК  52					
1	"Число избирателей, внесенных в список"	78950	1367	2120	1725	1617	1574	2254	2296	1402	1190	760	1890	2570	1333	1751	1370	528	1553	1038	1300	1046	1253	1278	1038	921	1592	1880	1394	1722	1552	973	793	2130	2005	891	1630	1549	1116	1396	2200	757	1340	898	1388	1960	1800	1076	1544	2873	1349	2592	1535	1841					
2	Число полученных избирательных бюллетеней	72495	1380	1900	1730	1345	1460	1950	1955	1265	1020	725	1700	2380	1200	1640	1270	505	1530	980	1190	960	1260	1150	975	800	1360	1820	1395	1745	1350	795	775	2135	1965	845	1645	1350	965	1055	1965	790	1305	870	1350	1855	1700	1065	1515	2360	1210	1980	1415	1645					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	47961	1148	1439	1266	1016	927	1119	1395	679	692	493	1035	1294	583	901	798	345	1048	562	696	534	630	491	557	362	880	1263	859	1159	829	663	646	1292	1004	508	819	1130	677	960	1613	450	864	693	1085	1063	1090	618	1109	1952	843	1732	759	1391					
5	"Число избирательных бюллетеней, выданных вне помещения"	2310	12	30	15	31	31	9	31	14	22	29	36	28	50	157	37	19	33	41	37	21	50	21	41	25	24	24	130	47	33	28	69	47	265	31	41	43	25	26	44	61	76	77	37	43	54	132	19	25	36	19	10	24					
6	Число погашенных избирательных бюллетеней	22224	220	431	449	298	502	822	529	572	306	203	629	1058	567	582	435	141	449	377	457	405	580	638	377	413	456	533	406	539	488	104	60	796	696	306	785	177	263	69	308	279	365	100	228	749	556	315	387	383	331	229	646	230					
7	Число избирательных бюллетеней в переносных ящиках	2310	12	30	15	31	31	9	31	14	22	29	36	28	50	157	37	19	33	41	37	21	50	21	41	25	24	24	130	47	33	28	69	47	265	31	41	43	25	26	44	61	76	77	37	43	54	132	19	25	36	19	10	24					
8	Число бюллетеней в стационарных ящиках для голосования	47960	1148	1438	1266	1016	927	1119	1395	679	692	493	1035	1294	583	901	798	345	1048	562	696	534	630	491	557	362	880	1263	859	1159	829	663	646	1292	1004	508	819	1130	677	960	1613	450	864	693	1085	1063	1090	618	1109	1952	843	1732	759	1391					
9	Число недействительных избирательных бюллетеней	478	19	16	14	12	6	15	13	3	5	9	11	9	3	18	7	4	8	2	7	1	9	7	2	5	6	18	5	11	2	8	2	6	19	2	6	13	11	9	18	2	7	6	17	0	5	3	15	20	11	21	9	21					
10	Число действительных избирательных бюллетеней	49792	1141	1452	1267	1035	952	1113	1413	690	709	513	1060	1313	630	1040	828	360	1073	601	726	554	671	505	596	382	898	1269	984	1195	860	683	713	1333	1250	537	854	1160	691	977	1639	509	933	764	1105	1106	1139	747	1113	1957	868	1730	760	1394					
