Выборы Президента Российской Федерации																																											
																																											
Наименование Избирательной комиссии:    Таштагольская городская																																											
																																											
Итоги голосования 																																											
																																											
		Сумма	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000					
1	"Число избирателей, внесенных в список"	37311	455	762	1475	994	1446	1984	1494	1638	1167	612	1276	686	1392	1671	267	1355	2493	740	756	1283	2126	875	1835	1791	1927	384	313	700	384	399	467	1023	175	655	158	153					
2	Число полученных избирательных бюллетеней	36957	460	756	1370	998	1443	1971	1495	1609	1175	621	1275	683	1328	1636	267	1336	2493	758	775	1299	2084	853	1788	1776	1904	373	320	667	384	403	483	1023	175	660	158	158					
3	"Число избирательных бюллетеней, выданных  досрочно"	338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	70	158	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	32958	359	720	1253	919	1269	1880	1345	1527	1111	577	1162	640	1250	1493	253	1212	2011	570	685	1192	1947	763	1516	1570	1623	357	192	653	372	387	449	812	175	564	0	150					
5	"Число избирательных бюллетеней, выданных вне помещения"	1387	30	22	104	25	105	71	32	13	26	23	19	21	24	77	8	57	152	75	33	75	79	46	30	63	41	5	0	0	0	0	4	127	0	0	0	0					
6	Число погашенных избирательных бюллетеней	2274	71	14	13	54	69	20	118	69	38	21	94	22	54	66	6	67	330	113	57	32	58	44	242	143	240	11	18	14	12	16	30	84	0	26	0	8					
7	Число избирательных бюллетеней в переносных ящиках	1725	30	22	104	25	105	71	32	13	26	23	19	21	24	77	8	57	152	75	33	75	79	46	30	63	41	5	110	0	0	0	4	127	0	70	158	0					
8	Число бюллетеней в стационарных ящиках для голосования	32910	359	720	1253	919	1269	1880	1345	1527	1111	577	1162	640	1248	1493	253	1212	2011	570	685	1192	1947	717	1516	1570	1623	357	192	653	372	387	449	812	175	564	0	150					
9	Число недействительных избирательных бюллетеней	132	0	3	0	0	0	2	11	0	0	0	23	0	3	11	1	5	0	7	0	2	0	2	10	10	15	3	15	0	0	2	7	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	34503	389	739	1357	944	1374	1949	1366	1540	1137	600	1158	661	1269	1559	260	1264	2163	638	718	1265	2026	761	1536	1623	1649	359	287	653	372	385	446	939	175	634	158	150					
11	Число полученных открепительных  удостоверений	599	14	16	28	21	29	32	30	30	23	15	25	15	26	22	6	18	30	10	11	17	28	12	20	20	24	8	6	10	6	6	6	14	4	10	4	3					
12	Число выданных открепительных удостоверений	68	0	1	5	4	2	7	4	6	5	0	0	0	2	2	0	2	4	0	0	5	1	3	2	1	3	4	1	0	0	0	1	3	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	102	0	1	10	0	1	4	4	4	2	0	0	1	5	9	0	4	17	0	2	9	8	2	1	1	8	0	0	0	0	2	1	6	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	531	14	15	23	17	27	25	26	24	18	15	25	15	24	20	6	16	26	10	11	12	27	9	18	19	21	4	5	10	6	6	5	11	4	10	4	3					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																											
18	. Глазьев Сергей Юрьевич	581	1	2	12	14	15	33	14	8	8	4	26	2	28	62	2	38	36	5	9	10	20	11	51	76	71	5	3	5	4	2	1	0	0	3	0	0					
		1.68%	0.26%	0.27%	0.88%	1.48%	1.09%	1.69%	1.02%	0.52%	0.70%	0.67%	2.20%	0.30%	2.20%	3.95%	0.77%	2.99%	1.66%	0.78%	1.25%	0.79%	0.99%	1.44%	3.30%	4.65%	4.27%	1.38%	0.99%	0.77%	1.08%	0.52%	0.22%	0.00%	0.00%	0.47%	0.00%	0.00%					
19	. Малышкин Олег Александрович	410	0	0	2	13	5	16	6	3	4	0	9	4	18	58	1	63	2	3	13	18	20	12	24	26	49	7	3	5	9	7	3	5	0	2	0	0					
		1.18%	0.00%	0.00%	0.15%	1.38%	0.36%	0.82%	0.44%	0.19%	0.35%	0.00%	0.76%	0.61%	1.42%	3.69%	0.38%	4.96%	0.09%	0.47%	1.81%	1.42%	0.99%	1.57%	1.55%	1.59%	2.94%	1.93%	0.99%	0.77%	2.42%	1.81%	0.66%	0.53%	0.00%	0.32%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	178	0	0	1	2	3	11	5	0	3	0	7	1	5	26	0	16	17	2	11	2	3	8	12	17	11	0	2	3	0	3	1	1	2	2	0	1					
		0.51%	0.00%	0.00%	0.07%	0.21%	0.22%	0.56%	0.36%	0.00%	0.26%	0.00%	0.59%	0.15%	0.39%	1.66%	0.00%	1.26%	0.79%	0.31%	1.53%	0.16%	0.15%	1.05%	0.78%	1.04%	0.66%	0.00%	0.66%	0.46%	0.00%	0.78%	0.22%	0.11%	1.14%	0.32%	0.00%	0.67%					
21	. Путин Владимир Владимирович	30667	367	724	1289	868	1265	1799	1281	1490	1098	571	1056	635	1043	1015	247	904	2034	609	670	1156	1828	687	1219	1262	1260	326	266	624	353	359	432	898	172	562	151	147					
		88.54%	94.34%	97.57%	94.99%	91.95%	92.07%	92.21%	93.03%	96.75%	96.57%	95.17%	89.42%	96.07%	82.00%	64.65%	94.64%	71.24%	94.04%	94.42%	93.31%	91.24%	90.23%	90.04%	78.85%	77.28%	75.72%	90.06%	88.08%	95.56%	94.89%	92.76%	95.36%	95.63%	98.29%	88.64%	95.57%	98.00%					
22	. Хакамада Ирина Муцуовна	432	1	4	21	4	10	53	16	5	5	6	11	2	17	55	0	23	16	2	3	4	13	4	42	32	55	3	2	0	3	7	2	3	0	7	0	1					
		1.25%	0.26%	0.54%	1.55%	0.42%	0.73%	2.72%	1.16%	0.32%	0.44%	1.00%	0.93%	0.30%	1.34%	3.50%	0.00%	1.81%	0.74%	0.31%	0.42%	0.32%	0.64%	0.52%	2.72%	1.96%	3.31%	0.83%	0.66%	0.00%	0.81%	1.81%	0.44%	0.32%	0.00%	1.10%	0.00%	0.67%					
23	. Харитонов Николай Михайлович	1775	19	8	23	28	72	36	27	30	13	19	27	15	119	276	10	182	53	9	11	71	140	30	143	148	142	11	6	11	2	4	4	31	1	50	4	0					
		5.12%	4.88%	1.08%	1.69%	2.97%	5.24%	1.85%	1.96%	1.95%	1.14%	3.17%	2.29%	2.27%	9.36%	17.58%	3.83%	14.34%	2.45%	1.40%	1.53%	5.60%	6.91%	3.93%	9.25%	9.06%	8.53%	3.04%	1.99%	1.68%	0.54%	1.03%	0.88%	3.30%	0.57%	7.89%	2.53%	0.00%					
																																											
24	Против всех	460	1	1	9	15	4	1	17	4	6	0	22	2	39	67	0	38	5	8	1	4	2	9	45	62	61	7	5	5	1	3	3	1	0	8	3	1					
		1.33%	0.26%	0.13%	0.66%	1.59%	0.29%	0.05%	1.23%	0.26%	0.53%	0.00%	1.86%	0.30%	3.07%	4.27%	0.00%	2.99%	0.23%	1.24%	0.14%	0.32%	0.10%	1.18%	2.91%	3.80%	3.67%	1.93%	1.66%	0.77%	0.27%	0.78%	0.66%	0.11%	0.00%	1.26%	1.90%	0.67%					
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
