Выборы Президента Российской Федерации																																																						
Дата голосования: 02.03.2008																																																						
																																																						
"Наименование Избирательной комиссии:    Воронеж, Ленинская"																																																						
																																																						
Сводная таблица результатов выборов																																																						
																																																						
	Число участковых избирательных комиссий	47																																																				
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	47																																																				
																																																						
		Сумма	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	"Число открепительных удостоверений, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																						
18	Богданов Андрей Владимирович	853	31	19	18	30	11	13	18	26	12	18	24	15	18	7	17	17	22	21	21	6	13	22	14	12	16	29	13	21	12	20	15	26	18	15	23	20	10	24	26	22	28	10	7	13	20	13	27					
		1.48%	1.68%	1.08%	1.77%	2.07%	1.11%	1.18%	1.32%	1.71%	1.08%	1.56%	2.04%	1.54%	1.36%	0.73%	0.88%	1.38%	1.17%	1.26%	1.21%	2.21%	1.03%	1.81%	1.10%	1.02%	1.71%	2.30%	1.08%	2.12%	1.38%	1.65%	1.53%	2.02%	1.64%	1.27%	2.65%	2.49%	1.32%	1.74%	1.62%	1.45%	2.03%	1.06%	0.97%	0.86%	1.37%	1.22%	2.00%					
19	Жириновский Владимир Вольфович	5815	204	177	108	149	127	142	140	156	110	128	127	100	130	119	248	129	256	151	162	9	133	148	136	110	94	152	127	124	90	83	87	101	92	107	83	63	75	127	137	108	127	95	78	131	137	105	93					
		10.07%	11.04%	10.05%	10.64%	10.28%	12.76%	12.90%	10.23%	10.28%	9.89%	11.08%	10.77%	10.29%	9.81%	12.49%	12.86%	10.49%	13.60%	9.08%	9.30%	3.31%	10.49%	12.15%	10.68%	9.39%	10.04%	12.03%	10.59%	12.51%	10.36%	6.87%	8.85%	7.85%	8.39%	9.08%	9.57%	7.86%	9.88%	9.23%	8.51%	7.12%	9.22%	10.11%	10.85%	8.65%	9.36%	9.83%	6.89%					
20	Зюганов Геннадий Андреевич	16359	431	380	325	420	294	312	431	435	340	344	336	287	445	304	332	346	427	582	433	43	306	314	332	328	268	333	363	225	239	432	323	417	327	361	251	253	204	426	437	493	338	296	200	470	461	326	389					
		28.32%	23.32%	21.57%	32.02%	28.99%	29.55%	28.34%	31.51%	28.66%	30.58%	29.78%	28.50%	29.53%	33.58%	31.90%	17.22%	28.13%	22.68%	34.99%	24.87%	15.81%	24.13%	25.78%	26.08%	27.99%	28.63%	26.37%	30.28%	22.70%	27.50%	35.73%	32.86%	32.43%	29.81%	30.62%	28.95%	31.55%	26.88%	30.96%	27.16%	32.52%	24.53%	31.49%	27.82%	31.04%	31.49%	30.52%	28.84%					
21	Медведев Дмитрий Анатольевич	33924	1161	1161	546	826	550	618	756	880	634	657	669	560	714	513	1314	722	1148	887	1091	210	806	714	775	705	547	727	672	607	519	651	543	715	649	681	499	455	458	776	977	878	862	532	425	881	829	604	820					
		58.72%	62.82%	65.89%	53.79%	57.00%	55.28%	56.13%	55.26%	57.97%	57.01%	56.88%	56.74%	57.61%	53.89%	53.83%	68.15%	58.70%	60.97%	53.34%	62.67%	77.21%	63.56%	58.62%	60.88%	60.15%	58.44%	57.56%	56.05%	61.25%	59.72%	53.85%	55.24%	55.60%	59.16%	57.76%	57.55%	56.73%	60.34%	56.40%	60.72%	57.92%	62.55%	56.60%	59.11%	58.19%	56.63%	56.55%	60.79%					
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
